summary_group	analysis_profile	pathway_collection	collection_order	collection_role	pathway_id	pathway_name	hierarchy	hierarchy_depth	level_1	level_2	pathway_scope	schema_version	summary_group_type	broad_cell_type	sex	apoe_group	analysis_method	deg_tier	query_mode	structural_contrasts	available_contrasts	testable_records	positive_records	negative_records	locally_significant_records	globally_significant_records	median_effect	minimum_effect	maximum_effect	significant_secondary_groups	signal_confined_to_one_secondary_group	gene_union	gene_union_count	recurrent_genes	recurrent_gene_count
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Carbohydrate metabolism	Carbohydrate metabolism	Metabolism > Carbohydrate metabolism	2	Metabolism	Carbohydrate metabolism	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	0	4	1	0	-1.32172145628014	-1.6222295827052	-1.07316717830956	1	TRUE	BDH1,CLYBL,DLAT,DLD,DLST,GPD2,HADHB,HMGCS2,IDH2,IDH3A,L2HGDH,MCEE,PC,PCCA,PCK2,PDK1,PDPR,RPIA,SDHA,SDHC	20		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Complex I	Complex I	OXPHOS > Complex I	2	OXPHOS	Complex I	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	3	1	1	1	1.18648633991243	-0.800439296566594	1.93439964288324	1	TRUE	DMAC1,MT-ND1,NDUFA1,NDUFA11,NDUFA12,NDUFA13,NDUFA2,NDUFA3,NDUFA6,NDUFA8,NDUFAB1,NDUFAF3,NDUFB1,NDUFB10,NDUFB11,NDUFB2,NDUFB3,NDUFB4,NDUFB6,NDUFB7,NDUFB9,NDUFC1,NDUFS3,NDUFS5,NDUFS6,NDUFS7,NDUFS8,NDUFV2,NUBPL,TMEM126A,TMEM70	31		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Complex II	Complex II	OXPHOS > Complex II	2	OXPHOS	Complex II	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	0	4	0	0	-1.30950215372628	-1.60181209907423	-0.587092308101742	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Complex III	Complex III	OXPHOS > Complex III	2	OXPHOS	Complex III	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	2	2	0	0	0.149640551770482	-1.12080477212872	1.25111000941144	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Complex IV	Complex IV	OXPHOS > Complex IV	2	OXPHOS	Complex IV	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	4	0	1	0	1.32505444179303	1.03981636852824	1.71769691357042	1	TRUE	COA6,COX17,COX4I1,COX5A,COX5B,COX6A1,COX6A2,COX6B1,COX6C,COX7A2,COX7A2L,COX7B,COX7C,COX8A,PET100,SCO1,TACO1	17		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Complex V	Complex V	OXPHOS > Complex V	2	OXPHOS	Complex V	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	3	1	1	0	1.15184119851449	-0.69226566913633	1.66418895821762	1	TRUE	ATP5F1C,ATP5F1D,ATP5F1E,ATP5IF1,ATP5MC1,ATP5MC2,ATP5MC3,ATP5ME,ATP5MF,ATP5MG,ATP5PD,ATP5PF,MT-ATP6,TMEM70	14		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Cristae formation	Cristae formation	Mitochondrial dynamics and surveillance > Cristae formation	2	Mitochondrial dynamics and surveillance	Cristae formation	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	1	3	0	0	-1.11322311034747	-1.26518560025869	0.892614942471321	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Cytochrome C	Cytochrome C	OXPHOS > Cytochrome C	2	OXPHOS	Cytochrome C	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	0	0	0	0	0	NA	NA	NA	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Detoxification	Detoxification	Metabolism > Detoxification	2	Metabolism	Detoxification	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	3	1	0	0	0.981496479184267	-0.709362982644606	1.33259023218768	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Electron carriers	Electron carriers	Metabolism > Electron carriers	2	Metabolism	Electron carriers	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	2	2	0	0	-0.0459947761222579	-1.10942281528724	1.31938575505938	0	FALSE		0		0
