summary_group	analysis_profile	pathway_collection	collection_order	collection_role	pathway_id	pathway_name	hierarchy	hierarchy_depth	level_1	level_2	pathway_scope	schema_version	summary_group_type	broad_cell_type	sex	apoe_group	analysis_method	deg_tier	query_mode	structural_contrasts	available_contrasts	testable_records	positive_records	negative_records	locally_significant_records	globally_significant_records	median_effect	minimum_effect	maximum_effect	significant_secondary_groups	signal_confined_to_one_secondary_group	gene_union	gene_union_count	recurrent_genes	recurrent_gene_count
Astrocytes	composition_adjusted	legacy_four	1	compatibility_benchmark	mib_micos_inner_membrane_19	MIB/MICOS inner membrane	NA	NA	NA	NA	legacy_module	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	6	0	6	0	0	-1.10927308922131	-1.34402729905043	-0.850583737701408	0	FALSE		0		0
Astrocytes	composition_adjusted	legacy_four	1	compatibility_benchmark	mitochondrial_translation_155	Mitochondrial translation	NA	NA	NA	NA	legacy_module	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	6	1	5	2	2	-1.23066877463048	-1.46569914952332	1.08301333006483	2	FALSE	CARS2,COA3,DAP3,ERAL1,EXD2,FARS2,FASTKD2,GARS1,GATB,GATC,GFM1,GFM2,GRSF1,HARS2,IARS2,KARS1,KGD4,LARS2,LRPPRC,MALSU1,METAP1D,MPV17L2,MRM2,MRM3,MRPL1,MRPL10,MRPL13,MRPL15,MRPL16,MRPL18,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL24,MRPL27,MRPL3,MRPL32,MRPL33,MRPL35,MRPL37,MRPL39,MRPL4,MRPL40,MRPL45,MRPL46,MRPL49,MRPL50,MRPL51,MRPL55,MRPL57,MRPL58,MRPS10,MRPS12,MRPS15,MRPS16,MRPS22,MRPS23,MRPS25,MRPS27,MRPS31,MRPS33,MRPS35,MRPS5,MRPS7,MRPS9,MRRF,MTERF4,MTFMT,MTG2,MTIF3,MTRF1,MTRF1L,NARS2,NOA1,PTCD3,RARS2,RMND1,TARS2,TFB1M,TRMT61B,TSFM,TUFM,VARS2,WARS2,YBEY	87	GARS1,GFM2,GRSF1,HARS2,LRPPRC,METAP1D,MRM2,MRPL1,MRPL13,MRPL21,MRPL32,MRPL33,MRPL39,MRPL4,MRPL40,MRPL46,MRPL51,MRPL57,MRPS23,MRPS27,MRPS33,MRPS35,MTIF3,RARS2,TFB1M,TRMT61B,TUFM,YBEY	28
Astrocytes	composition_adjusted	legacy_four	1	compatibility_benchmark	mtdna_oxphos_13	mtDNA-encoded OXPHOS	NA	NA	NA	NA	legacy_module	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	6	4	2	3	3	1.75845205756273	-0.932095866455247	2.06318616901182	3	FALSE	MT-ATP6,MT-ATP8,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5	11	MT-ATP6,MT-ATP8,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L	10
Astrocytes	composition_adjusted	legacy_four	1	compatibility_benchmark	nuclear_oxphos_structural_86	Nuclear structural OXPHOS	NA	NA	NA	NA	legacy_module	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	6	2	4	2	2	-0.66637653449546	-2.1837914927523	2.12535095022745	2	FALSE	ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1D,ATP5F1E,ATP5MC2,ATP5MC3,ATP5ME,ATP5MG,ATP5MJ,ATP5MK,ATP5PB,ATP5PD,ATP5PF,COX4I1,COX5A,COX5B,COX6A1,COX6B1,COX6C,COX7A1,COX7A2,COX7A2L,COX7B,COX7B2,COX7C,COX8A,COXFA4,CYC1,NDUFA1,NDUFA10,NDUFA12,NDUFA2,NDUFA3,NDUFA5,NDUFA6,NDUFA8,NDUFB1,NDUFB10,NDUFB11,NDUFB2,NDUFB3,NDUFB4,NDUFB6,NDUFB7,NDUFB9,NDUFC1,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS5,NDUFS6,NDUFS7,NDUFS8,NDUFV2,SDHA,SDHB,UQCR10,UQCR11,UQCRB,UQCRC1,UQCRH,UQCRQ	64	ATP5F1B,ATP5F1E,ATP5MC2,ATP5ME,ATP5MG,ATP5MJ,ATP5MK,ATP5PB,COX4I1,COX5A,COX5B,COX6B1,COX6C,COX7A2,COX7B,COX7C,COXFA4,CYC1,NDUFA1,NDUFA3,NDUFA6,NDUFA8,NDUFB11,NDUFB4,NDUFB6,NDUFB9,NDUFS6,SDHA,UQCR11,UQCRB,UQCRQ	31
Astrocytes	composition_adjusted	mitocarta_broad_46	2	primary_expanded	ABC transporters	ABC transporters	Small molecule transport > ABC transporters	2	Small molecule transport	ABC transporters	broad_program	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	6	3	3	0	0	0.175897696025816	-1.43732542122606	1.15000672355065	0	FALSE		0		0
Astrocytes	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Amino acid metabolism	Amino acid metabolism	Metabolism > Amino acid metabolism	2	Metabolism	Amino acid metabolism	broad_program	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	6	1	5	0	0	-1.04727426211427	-1.50311329046438	1.04043341651128	0	FALSE		0		0
Astrocytes	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Apoptosis	Apoptosis	Mitochondrial dynamics and surveillance > Apoptosis	2	Mitochondrial dynamics and surveillance	Apoptosis	broad_program	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	6	4	2	0	0	0.798382555760461	-1.18754493846427	1.33313106380539	0	FALSE		0		0
Astrocytes	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Autophagy	Autophagy	Mitochondrial dynamics and surveillance > Autophagy	2	Mitochondrial dynamics and surveillance	Autophagy	broad_program	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	6	4	2	0	0	0.663961573804472	-1.37646407703287	1.68103079304976	0	FALSE		0		0
Astrocytes	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Calcium homeostasis	Calcium homeostasis	Signaling > Calcium homeostasis	2	Signaling	Calcium homeostasis	broad_program	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	6	1	5	0	0	-1.08370683903183	-1.55649093461646	0.713813355224144	0	FALSE		0		0
Astrocytes	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Calcium uniporter	Calcium uniporter	Small molecule transport > Calcium uniporter	2	Small molecule transport	Calcium uniporter	broad_program	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	6	2	4	0	0	-0.623659193880626	-1.24390604344443	0.834778538563442	0	FALSE		0		0
Astrocytes	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Carbohydrate metabolism	Carbohydrate metabolism	Metabolism > Carbohydrate metabolism	2	Metabolism	Carbohydrate metabolism	broad_program	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	6	2	4	1	1	-0.899294887769324	-1.49460402270142	1.92073905128793	1	TRUE	ACAT1,ACLY,ACO2,AUH,CS,DLD,DLST,HMGCL,IDH3A,IDH3G,MDH2,MPC2,NEU4,OGDH,OGDHL,PDHA1,PDHB,PDK1,PDK3,PDK4,PDP1,SDHB,SLC25A11	23		0
Astrocytes	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Complex I	Complex I	OXPHOS > Complex I	2	OXPHOS	Complex I	broad_program	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	6	3	3	0	0	0.0550671423168269	-1.60396500865692	1.58641077111396	0	FALSE		0		0
Astrocytes	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Complex II	Complex II	OXPHOS > Complex II	2	OXPHOS	Complex II	broad_program	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	6	3	3	0	0	0.0796801040021939	-1.39231483214147	1.19664771627584	0	FALSE		0		0
Astrocytes	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Complex III	Complex III	OXPHOS > Complex III	2	OXPHOS	Complex III	broad_program	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	6	3	3	0	0	0.122886042636208	-1.21606547732973	1.08125012900004	0	FALSE		0		0
Astrocytes	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Complex IV	Complex IV	OXPHOS > Complex IV	2	OXPHOS	Complex IV	broad_program	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	6	2	4	0	0	-0.587633902936978	-1.63230964679019	1.18653773224347	0	FALSE		0		0
Astrocytes	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Complex V	Complex V	OXPHOS > Complex V	2	OXPHOS	Complex V	broad_program	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	6	3	3	0	0	-0.0305127217909696	-1.33133274483179	1.64007694513436	0	FALSE		0		0
Astrocytes	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Cristae formation	Cristae formation	Mitochondrial dynamics and surveillance > Cristae formation	2	Mitochondrial dynamics and surveillance	Cristae formation	broad_program	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	6	1	5	0	0	-1.099439727402	-1.37860212271362	0.417690653160795	0	FALSE		0		0
Astrocytes	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Cytochrome C	Cytochrome C	OXPHOS > Cytochrome C	2	OXPHOS	Cytochrome C	broad_program	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	0	0	0	0	0	NA	NA	NA	0	FALSE		0		0
Astrocytes	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Detoxification	Detoxification	Metabolism > Detoxification	2	Metabolism	Detoxification	broad_program	broad_deg_pathway_broad_cell_summary_v1	broad_cell_type	Astrocytes	NA	NA	GSEA	NA	NA	6	6	6	2	4	0	0	-0.921834982355294	-1.49880193626765	0.886399809404194	0	FALSE		0		0
