schema_version	figure_id	directory	plot_data_rows	validation_status
phase20_sex_apoe_non_mt_figure_v2_manifest_v1	category_coverage	/Users/rzhuang/Documents/VscodeProjects/alzheimer/results/figures/analysis/phase_20_sex_apoe_kda/category_coverage	42	validated_complete
phase20_sex_apoe_non_mt_figure_v2_manifest_v1	driver_category_evidence	/Users/rzhuang/Documents/VscodeProjects/alzheimer/results/figures/analysis/phase_20_sex_apoe_kda/driver_category_evidence	74	validated_complete
phase20_sex_apoe_non_mt_figure_v2_manifest_v1	top5_candidates	/Users/rzhuang/Documents/VscodeProjects/alzheimer/results/figures/analysis/phase_20_sex_apoe_kda/top5_candidates	48	validated_complete
phase20_sex_apoe_non_mt_figure_v2_manifest_v1	driver_recurrence	/Users/rzhuang/Documents/VscodeProjects/alzheimer/results/figures/analysis/phase_20_sex_apoe_kda/driver_recurrence	20	validated_complete
phase20_sex_apoe_non_mt_figure_v2_manifest_v1	stability_summary	/Users/rzhuang/Documents/VscodeProjects/alzheimer/results/figures/analysis/phase_20_sex_apoe_kda/stability_summary	63	validated_complete
