schema_version	network	gene	pathway	pathway_code	pathway_display_label	pathway_color	pathway_url	pathway_background_gene_count	display_overlap_gene_count	raw_hypergeometric_p	bh_fdr
phase18_rpl11_astrocyte_consensus_v2	Astrocytes	RPL11	KEGG_RIBOSOME	R	Cytosolic ribosome	#6F4E9C	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	58	3	0.0007070456835439374	0.0805022013977883
phase18_rpl11_astrocyte_consensus_v2	Astrocytes	RPLP1	KEGG_RIBOSOME	R	Cytosolic ribosome	#6F4E9C	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	58	3	0.0007070456835439374	0.0805022013977883
phase18_rpl11_astrocyte_consensus_v2	Astrocytes	RPS25	KEGG_RIBOSOME	R	Cytosolic ribosome	#6F4E9C	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	58	3	0.0007070456835439374	0.0805022013977883
phase18_rpl11_astrocyte_consensus_v2	Astrocytes	ATP5F1E	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	70	8	1.2391343385832695e-11	1.9751801357017316e-08
phase18_rpl11_astrocyte_consensus_v2	Astrocytes	ATP5ME	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	70	8	1.2391343385832695e-11	1.9751801357017316e-08
phase18_rpl11_astrocyte_consensus_v2	Astrocytes	ATP5PF	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	70	8	1.2391343385832695e-11	1.9751801357017316e-08
phase18_rpl11_astrocyte_consensus_v2	Astrocytes	COX6C	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	70	8	1.2391343385832695e-11	1.9751801357017316e-08
phase18_rpl11_astrocyte_consensus_v2	Astrocytes	COX7C	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	70	8	1.2391343385832695e-11	1.9751801357017316e-08
phase18_rpl11_astrocyte_consensus_v2	Astrocytes	NDUFB4	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	70	8	1.2391343385832695e-11	1.9751801357017316e-08
phase18_rpl11_astrocyte_consensus_v2	Astrocytes	UQCRB	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	70	8	1.2391343385832695e-11	1.9751801357017316e-08
phase18_rpl11_astrocyte_consensus_v2	Astrocytes	UQCRH	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	70	8	1.2391343385832695e-11	1.9751801357017316e-08
phase18_rpl11_astrocyte_consensus_v2	Astrocytes	ATP5F1E	REACTOME_CRISTAE_FORMATION	C	Cristae formation	#009E73	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CRISTAE_FORMATION	21	3	3.276039438935747e-05	0.004747278968785073
phase18_rpl11_astrocyte_consensus_v2	Astrocytes	ATP5ME	REACTOME_CRISTAE_FORMATION	C	Cristae formation	#009E73	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CRISTAE_FORMATION	21	3	3.276039438935747e-05	0.004747278968785073
phase18_rpl11_astrocyte_consensus_v2	Astrocytes	ATP5PF	REACTOME_CRISTAE_FORMATION	C	Cristae formation	#009E73	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CRISTAE_FORMATION	21	3	3.276039438935747e-05	0.004747278968785073
