schema_version	class_order	case_id	case_label	broad_network	network_display_order	display_network	network_color	slot_rank	slot_status	total_passing_candidate_count	displayed_candidate_count	current_symbol	display_rank	is_core_mito	is_mtdna_gene	extended_reference_member	coverage_fraction	conservative_support_count	aggregate_acat_p	aggregate_acat_q	negative_log10_acat_q	capped_negative_log10_acat_q	display_score	evidence_tier	selected_network_count_within_class	sector_start_degrees	sector_end_degrees	sector_mid_degrees	source_call_key_driver_returns_sha256
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Inhibitory_neurons	3	Inhibitory neurons	#0072B2	1	ranked_candidate	11	5	MT-CO2	1	TRUE	TRUE	FALSE	1	8	1.03820621408807e-21	7.46470267929324e-18	17.1269874856367	15	1	tier1_recurrent_stable	7	-12.8571428571429	-21.1428571428572	-17	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Inhibitory_neurons	3	Inhibitory neurons	#0072B2	2	ranked_candidate	11	5	MT-CO3	2	TRUE	TRUE	FALSE	1	8	2.12707886854677e-11	6.88758043299724e-08	7.16193331643012	7.16193331643012	0.477462221095341	tier1_recurrent_stable	4	-22.1428571428572	-30.4285714285714	-26.2857142857143	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Inhibitory_neurons	3	Inhibitory neurons	#0072B2	3	ranked_candidate	11	5	MT-CYB	3	TRUE	TRUE	FALSE	1	8	2.87381659234933e-11	6.88758043299724e-08	7.16193331643012	7.16193331643012	0.477462221095341	tier1_recurrent_stable	2	-31.4285714285714	-39.7142857142857	-35.5714285714286	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Inhibitory_neurons	3	Inhibitory neurons	#0072B2	4	ranked_candidate	11	5	MT-ND5	4	TRUE	TRUE	FALSE	1	8	1.49750221272029e-09	2.69176022736473e-06	5.56996362816653	5.56996362816653	0.371330908544436	tier1_recurrent_stable	1	-40.7142857142857	-49	-44.8571428571429	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Inhibitory_neurons	3	Inhibitory neurons	#0072B2	5	ranked_candidate	11	5	COX7C	5	TRUE	FALSE	FALSE	1	6	4.33880351362941e-09	6.23919945259909e-06	5.20487113076992	5.20487113076992	0.346991408717995	tier1_recurrent_stable	2	-50	-58.2857142857143	-54.1428571428572	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Microglia	4	Microglia	#CC79A7	1	ranked_candidate	2	2	MT-CO2	1	TRUE	TRUE	FALSE	1	3	2.34986700730902e-18	9.2796248118633e-15	14.0324695825561	14.0324695825561	0.935497972170405	tier1_recurrent_stable	7	-64.2857142857143	-72.5714285714286	-68.4285714285714	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Microglia	4	Microglia	#CC79A7	2	ranked_candidate	2	2	MT-ND4	2	TRUE	TRUE	FALSE	1	3	6.47981624883557e-06	0.0105830909134852	1.97538747307354	1.97538747307354	0.131692498204903	tier1_recurrent_stable	4	-73.5714285714286	-81.8571428571429	-77.7142857142857	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Microglia	4	Microglia	#CC79A7	3	unused_display_slot	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-82.8571428571429	-91.1428571428572	-87	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Microglia	4	Microglia	#CC79A7	4	unused_display_slot	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-92.1428571428572	-100.428571428571	-96.2857142857143	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Microglia	4	Microglia	#CC79A7	5	unused_display_slot	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-101.428571428571	-109.714285714286	-105.571428571429	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	OPCs	5	OPCs	#56B4E9	1	ranked_candidate	3	3	MT-CO3	1	TRUE	TRUE	FALSE	1	3	1.91311455936708e-12	6.47206655433882e-09	8.1889570253832	8.1889570253832	0.54593046835888	tier_not_assessable	4	-115.714285714286	-124	-119.857142857143	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	OPCs	5	OPCs	#56B4E9	2	ranked_candidate	3	3	MT-CO2	2	TRUE	TRUE	FALSE	1	2	5.1990931431038e-07	0.000711782782048549	3.14765252174345	3.14765252174345	0.209843501449563	tier_not_assessable	7	-125	-133.285714285714	-129.142857142857	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	OPCs	5	OPCs	#56B4E9	3	ranked_candidate	3	3	MT-ND4	3	TRUE	TRUE	FALSE	1	2	1.01094178164959e-05	0.0114000534910686	1.94309311087218	1.94309311087218	0.129539540724812	tier_not_assessable	4	-134.285714285714	-142.571428571429	-138.428571428571	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	OPCs	5	OPCs	#56B4E9	4	unused_display_slot	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-143.571428571429	-151.857142857143	-147.714285714286	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
