schema_version	case_id	current_symbol	selected_network_count_within_class	anchor_broad_network	target_broad_network	anchor_sector_mid_degrees	target_sector_mid_degrees	link_rule
phase18_two_case_circular_links_v1	mt_driver	COX4I1	2	Excitatory_neurons	Astrocytes	15.8571428571429	48.7142857142857	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	mt_driver	COX7C	2	Inhibitory_neurons	Astrocytes	-54.1428571428572	58	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	mt_driver	MT-ATP6	2	Astrocytes	Vasculature_cells	67.2857142857143	-241.285714285714	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	mt_driver	MT-CO2	7	Excitatory_neurons	Astrocytes	34.4285714285714	85.8571428571429	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	mt_driver	MT-CO2	7	Excitatory_neurons	Inhibitory_neurons	34.4285714285714	-17	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	mt_driver	MT-CO2	7	Excitatory_neurons	Microglia	34.4285714285714	-68.4285714285714	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	mt_driver	MT-CO2	7	Excitatory_neurons	OPCs	34.4285714285714	-129.142857142857	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	mt_driver	MT-CO2	7	Excitatory_neurons	Oligodendrocytes	34.4285714285714	-171.285714285714	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	mt_driver	MT-CO2	7	Excitatory_neurons	Vasculature_cells	34.4285714285714	-232	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	mt_driver	MT-CO3	4	Vasculature_cells	Astrocytes	-222.714285714286	76.5714285714286	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	mt_driver	MT-CO3	4	Vasculature_cells	Inhibitory_neurons	-222.714285714286	-26.2857142857143	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	mt_driver	MT-CO3	4	Vasculature_cells	OPCs	-222.714285714286	-119.857142857143	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	mt_driver	MT-CYB	2	Inhibitory_neurons	Excitatory_neurons	-35.5714285714286	-2.71428571428572	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	mt_driver	MT-ND4	4	Oligodendrocytes	Microglia	-180.571428571429	-77.7142857142857	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	mt_driver	MT-ND4	4	Oligodendrocytes	OPCs	-180.571428571429	-138.428571428571	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	mt_driver	MT-ND4	4	Oligodendrocytes	Vasculature_cells	-180.571428571429	-250.571428571429	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	non_mt_driver	LAMTOR5	2	Excitatory_neurons	Inhibitory_neurons	6.57142857142856	-26.2857142857143	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	non_mt_driver	RPL11	4	Excitatory_neurons	Astrocytes	34.4285714285714	85.8571428571429	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	non_mt_driver	RPL11	4	Excitatory_neurons	Microglia	34.4285714285714	-68.4285714285714	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	non_mt_driver	RPL11	4	Excitatory_neurons	Oligodendrocytes	34.4285714285714	-171.285714285714	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	non_mt_driver	RPLP1	2	Astrocytes	Inhibitory_neurons	76.5714285714286	-35.5714285714286	highest_uncapped_evidence_to_each_other_occurrence
phase18_two_case_circular_links_v1	non_mt_driver	RPS15	2	OPCs	Inhibitory_neurons	-119.857142857143	-17	highest_uncapped_evidence_to_each_other_occurrence
