check_id	observed	expected	passed
input_rows	95557	95557	TRUE
input_columns	104	104	TRUE
included_runs	161	161	TRUE
aggregate_records	10433	10433	TRUE
driver_candidates	78	78	TRUE
displayed_records	47	47	TRUE
driver_classes	2	2	TRUE
fixed_slots	70	70	TRUE
figure_files	6	6	TRUE
figure_files_nonempty	6	6	TRUE
