schema_version	signature_group	sex	apoe_group	broad_network	current_symbol	case_id	is_core_mito	eligible_run_count	usable_run_count	explicit_run_count	implicit_run_count	missing_run_count	coverage_numerator	coverage_denominator	coverage_fraction	strict_coverage_pass	relaxed_coverage_pass	conservative_support_count	relaxed_support_count	conservative_support_pass	relaxed_support_pass	recurrence_fraction	supporting_fine_cell_type_count	supporting_fine_cell_types	supporting_direction_count	supporting_directions	median_support_fold_enrichment	maximum_support_fold_enrichment	category_acat_p	relaxed_category_acat_q	strict_category_acat_q	studywide_acat_q	missing_as_one_acat_p	missing_as_one_acat_q	mean_log_p_score	strict_non_mt_reference	relaxed_phase20_candidate	exploratory_q20	exploratory_inclusive	terminal_candidate_status	strict_rank	relaxed_rank	exploratory_inclusive_rank	top5_summary	top10_display	stability_assessable_repetitions	stability_nominal_fraction	stability_q_fraction	stability_candidate_fraction	stability_worst_rank	evidence_label	category_label	neg_log10_q
phase20_sex_apoe_non_mt_kda_v1_relaxed_candidates_v1	F_e2	Female	e2	Astrocytes	RPL11	case3_not_core_mito	FALSE	2	2	2	0	0	2	2	1	TRUE	TRUE	1	1	TRUE	TRUE	0.5	1	Ast GRM3	1	AD_up_mito	33.52	33.52	2.7856620203179e-08	0.000168727548570655	0.000168727548570655	0.000462262885331626	2.7856620203179e-08	0.000168727548570655	4.51307539649451	TRUE	TRUE	FALSE	TRUE	driver_candidate	1	1	1	TRUE	TRUE	0	NA	NA	NA	NA	localized_single_fine_type	F_e2 · Astrocytes	3.77281400327066
phase20_sex_apoe_non_mt_kda_v1_relaxed_candidates_v1	F_e2	Female	e2	Astrocytes	RPL15	case3_not_core_mito	FALSE	2	2	1	1	0	2	2	1	TRUE	TRUE	1	1	TRUE	TRUE	0.5	1	Ast GRM3	1	AD_up_mito	20.69	20.69	6.70771978621097e-06	0.0146706759675635	0.0146706759675635	0.0284747384729158	6.70771978621097e-06	0.0146706759675635	2.73722754195184	TRUE	TRUE	FALSE	TRUE	driver_candidate	2	2	2	TRUE	TRUE	0	NA	NA	NA	NA	localized_single_fine_type	F_e2 · Astrocytes	1.83354987509882
phase20_sex_apoe_non_mt_kda_v1_relaxed_candidates_v1	F_e2	Female	e2	Astrocytes	RPLP1	case3_not_core_mito	FALSE	2	2	2	0	0	2	2	1	TRUE	TRUE	1	1	TRUE	TRUE	0.5	1	Ast GRM3	1	AD_up_mito	13.97	13.97	7.26630805723797e-06	0.0146706759675635	0.0146706759675635	0.0301449395489115	7.26630805723797e-06	0.0146706759675635	3.12477485372261	TRUE	TRUE	FALSE	TRUE	driver_candidate	3	3	3	TRUE	TRUE	0	NA	NA	NA	NA	localized_single_fine_type	F_e2 · Astrocytes	1.83354987509882
phase20_sex_apoe_non_mt_kda_v1_relaxed_candidates_v1	F_e2	Female	e2	Astrocytes	FAU	case3_not_core_mito	FALSE	2	2	1	1	0	2	2	1	TRUE	TRUE	1	1	TRUE	TRUE	0.5	1	Ast GRM3	1	AD_up_mito	9.42	9.42	1.56122582459709e-05	0.0236408620489614	0.0236408620489614	0.0535400668333233	1.56122582459709e-05	0.0236408620489614	2.55378213454995	TRUE	TRUE	FALSE	TRUE	driver_candidate	4	4	4	TRUE	TRUE	0	NA	NA	NA	NA	localized_single_fine_type	F_e2 · Astrocytes	1.62633669123067
phase20_sex_apoe_non_mt_kda_v1_relaxed_candidates_v1	F_e2	Female	e2	Astrocytes	RPS15	case3_not_core_mito	FALSE	2	2	1	1	0	2	2	1	TRUE	TRUE	1	1	TRUE	TRUE	0.5	1	Ast GRM3	1	AD_up_mito	9.86	9.86	5.64417713649135e-05	0.0683735618314562	0.0683735618314562	0.135562737650113	5.64417713649135e-05	0.0683735618314562	2.27471467939576	FALSE	TRUE	FALSE	TRUE	driver_candidate	NA	5	5	TRUE	TRUE	0	NA	NA	NA	NA	localized_single_fine_type	F_e2 · Astrocytes	1.1651117955065
phase20_sex_apoe_non_mt_kda_v1_relaxed_candidates_v1	F_e2	Female	e2	Excitatory_neurons	RPL11	case3_not_core_mito	FALSE	14	14	11	3	0	14	14	1	TRUE	TRUE	5	6	TRUE	TRUE	0.428571428571429	6	Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	1	AD_up_mito	10.12	13.05	6.09217859397482e-12	5.3952333628241e-08	4.89811158955575e-08	3.70684698728992e-07	6.09217859397482e-12	5.3952333628241e-08	3.54716618522306	TRUE	TRUE	FALSE	TRUE	driver_candidate	1	1	1	TRUE	TRUE	12	1	1	1	1	recurrent_stable	F_e2 · Excitatory_neurons	7.26798976581056
phase20_sex_apoe_non_mt_kda_v1_relaxed_candidates_v1	F_e2	Female	e2	Excitatory_neurons	SELENOW	case3_not_core_mito	FALSE	14	14	8	6	0	14	14	1	TRUE	TRUE	5	5	TRUE	TRUE	0.357142857142857	5	Exc L3-4 RORB CUX2|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	1	AD_up_mito	14.9	16.28	1.36218820953867e-08	6.03176939183723e-05	5.47599660234545e-05	0.00024865111139277	1.36218820953867e-08	6.03176939183723e-05	2.4058339390752	TRUE	TRUE	FALSE	TRUE	driver_candidate	2	2	2	TRUE	TRUE	12	1	1	1	4	recurrent_stable	F_e2 · Excitatory_neurons	4.21955527087951
phase20_sex_apoe_non_mt_kda_v1_relaxed_candidates_v1	F_e2	Female	e2	Excitatory_neurons	RPS13	case3_not_core_mito	FALSE	14	14	11	3	0	14	14	1	TRUE	TRUE	3	3	TRUE	TRUE	0.214285714285714	3	Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	1	AD_up_mito	14.54	16.45	3.77340396736586e-08	0.00011139088511664	0.000101127226325405	0.000529838164150022	3.77340396736586e-08	0.00011139088511664	1.58047916281949	TRUE	TRUE	FALSE	TRUE	driver_candidate	3	3	3	TRUE	TRUE	12	1	1	1	3	recurrent_stable	F_e2 · Excitatory_neurons	3.95315034511832
phase20_sex_apoe_non_mt_kda_v1_relaxed_candidates_v1	F_e2	Female	e2	Excitatory_neurons	TMEM147	case3_not_core_mito	FALSE	14	13	9	4	1	13	14	0.928571428571429	TRUE	TRUE	6	6	TRUE	TRUE	0.461538461538462	6	Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	1	AD_up_mito	23.95	42.06	9.26750405235491e-07	0.00205182539719138	0.00186276831452334	0.00768941661231255	9.98038921250601e-07	0.00220965817164883	2.86794415270145	TRUE	TRUE	FALSE	TRUE	driver_candidate	4	4	4	TRUE	TRUE	12	1	1	1	5	recurrent_stable	F_e2 · Excitatory_neurons	2.68785959885389
phase20_sex_apoe_non_mt_kda_v1_relaxed_candidates_v1	F_e2	Female	e2	Excitatory_neurons	RPL6	case3_not_core_mito	FALSE	14	14	11	3	0	14	14	1	TRUE	TRUE	4	4	TRUE	TRUE	0.285714285714286	4	Exc L3-4 RORB CUX2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	1	AD_up_mito	25.825	40.97	4.94479712098688e-06	0.00875822466069196	0.0079512337705469	0.0225438970735297	4.94479712098688e-06	0.00875822466069196	1.47998861077334	TRUE	TRUE	FALSE	TRUE	driver_candidate	5	5	5	TRUE	TRUE	12	1	1	1	6	recurrent_stable	F_e2 · Excitatory_neurons	2.05758391874113
