schema_version	figure_id	case_id	atlas_display_order	current_symbol	network_order	broad_network	context_display_order	network_label	network_color	circle_displayed	within_case_rank	signature_direction	direction_label	direction_order	signature_group	group_label	group_order	column_order	eligible_query_count	usable_query_count	explicit_query_count	implicit_query_count	missing_query_count	coverage_fraction	conservative_support_count	support_fraction	stratum_acat_p	stratum_missing_as_one_acat_p	negative_log10_stratum_acat_p	capped_negative_log10_stratum_acat_p	cell_state
phase18_sex_apoe_mt_v1_plot_data_v1	phase18_sex_apoe_mt	mt_driver	1	MT-CO2	1	Astrocytes	1	Astrocytes	#009E73	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	F_e2	APOE ε2	1	1	1	1	0	1	0	1.0	0	0.0	1.0	1.0	-0.0	-0.0	tested_zero_support
phase18_sex_apoe_mt_v1_plot_data_v1	phase18_sex_apoe_mt	mt_driver	1	MT-CO2	1	Astrocytes	1	Astrocytes	#009E73	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	F_e33	APOE ε3/ε3	2	2	1	1	1	0	0	1.0	0	0.0	0.0007536757532963678	0.0007536757532963678	3.122815456307055	3.122815456307055	tested_zero_support
phase18_sex_apoe_mt_v1_plot_data_v1	phase18_sex_apoe_mt	mt_driver	1	MT-CO2	1	Astrocytes	1	Astrocytes	#009E73	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	F_e4	APOE ε4	3	3	2	2	0	2	0	1.0	0	0.0	1.0	1.0	-0.0	-0.0	tested_zero_support
phase18_sex_apoe_mt_v1_plot_data_v1	phase18_sex_apoe_mt	mt_driver	1	MT-CO2	1	Astrocytes	1	Astrocytes	#009E73	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	M_e2	APOE ε2	4	4	3	3	1	2	0	1.0	0	0.0	0.4897080765273847	0.4897080765273847	0.3100627333059571	0.3100627333059571	tested_zero_support
phase18_sex_apoe_mt_v1_plot_data_v1	phase18_sex_apoe_mt	mt_driver	1	MT-CO2	1	Astrocytes	1	Astrocytes	#009E73	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	M_e33	APOE ε3/ε3	5	5	1	1	1	0	0	1.0	1	1.0	1.4063464318697939e-05	1.4063464318697939e-05	4.851907684353936	4.851907684353936	supporting_tested
phase18_sex_apoe_mt_v1_plot_data_v1	phase18_sex_apoe_mt	mt_driver	1	MT-CO2	1	Astrocytes	1	Astrocytes	#009E73	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	M_e4	APOE ε4	6	6	3	3	2	1	0	1.0	2	0.6666666666666666	7.593884307056869e-17	7.593884307056869e-17	16.11953602362887	16.0	supporting_tested
phase18_sex_apoe_mt_v1_plot_data_v1	phase18_sex_apoe_mt	mt_driver	1	MT-CO2	1	Astrocytes	1	Astrocytes	#009E73	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	F_e2	APOE ε2	1	7	1	1	0	1	0	1.0	0	0.0	1.0	1.0	-0.0	-0.0	tested_zero_support
phase18_sex_apoe_mt_v1_plot_data_v1	phase18_sex_apoe_mt	mt_driver	1	MT-CO2	1	Astrocytes	1	Astrocytes	#009E73	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	F_e33	APOE ε3/ε3	2	8	1	1	0	1	0	1.0	0	0.0	1.0	1.0	-0.0	-0.0	tested_zero_support
phase18_sex_apoe_mt_v1_plot_data_v1	phase18_sex_apoe_mt	mt_driver	1	MT-CO2	1	Astrocytes	1	Astrocytes	#009E73	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	F_e4	APOE ε4	3	9	3	3	1	2	0	1.0	1	0.3333333333333333	1.421305657080315e-10	1.421305657080315e-10	9.847312515381018	9.847312515381018	supporting_tested
phase18_sex_apoe_mt_v1_plot_data_v1	phase18_sex_apoe_mt	mt_driver	1	MT-CO2	1	Astrocytes	1	Astrocytes	#009E73	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	M_e2	APOE ε2	4	10	2	2	2	0	0	1.0	2	1.0	2.549005666230706e-12	2.549005666230706e-12	11.593629199128616	11.593629199128616	supporting_tested
