schema_version	figure_id	case_id	atlas_display_order	current_symbol	network_order	broad_network	context_display_order	network_label	network_color	circle_displayed	circle_display_rank	within_case_rank	evidence_tier	extended_reference_member	eligible_run_count	usable_run_count	conservative_support_count	coverage_fraction	recurrence_fraction	aggregate_acat_p	aggregate_acat_q	negative_log10_aggregate_acat_q
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	1	MT-CO2	1	Astrocytes	1	Astrocytes	#009E73	TRUE	1	1	tier1_recurrent_stable	FALSE	21	21	6	1.0	0.2857142857142857	5.315610601318248e-16	3.0862435151253747e-12	11.510569809607025
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	1	MT-CO2	2	Excitatory_neurons	2	Excitatory neurons	#E69F00	TRUE	1	1	tier1_recurrent_stable	FALSE	97	97	41	1.0	0.422680412371134	9.822658950496607e-25	8.33845518307657e-21	20.07891440111393
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	1	MT-CO2	3	Inhibitory_neurons	3	Inhibitory neurons	#0072B2	TRUE	1	1	tier1_recurrent_stable	FALSE	28	28	8	1.0	0.2857142857142857	1.0382062140880728e-21	7.464702679293243e-18	17.126987485636718
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	1	MT-CO2	4	Microglia	4	Microglia	#CC79A7	TRUE	1	1	tier1_recurrent_stable	FALSE	6	6	3	1.0	0.5	2.3498670073090155e-18	9.279624811863303e-15	14.032469582556072
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	1	MT-CO2	5	OPCs	5	OPCs	#56B4E9	TRUE	2	2	tier_not_assessable	FALSE	6	6	2	1.0	0.3333333333333333	5.199093143103802e-07	0.0007117827820485487	3.147652521743449
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	1	MT-CO2	6	Oligodendrocytes	6	Oligodendrocytes	#F0E442	TRUE	1	1	tier_not_assessable	FALSE	2	2	1	1.0	0.5	2.0116573437307146e-17	9.317996816160671e-14	13.030677442280595
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	1	MT-CO2	7	Vasculature_cells	7	Vasculature	#D55E00	TRUE	2	2	tier_not_assessable	FALSE	1	1	1	1.0	1.0	4.980487313806649e-10	9.179038119345654e-07	6.037202826570798
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	2	MT-ND4	2	Excitatory_neurons	8	Excitatory neurons	#E69F00	FALSE	NA	10	tier1_recurrent_stable	FALSE	97	97	24	1.0	0.24742268041237114	1.2981464134507491e-05	0.005247602335134957	2.28003908335041
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	2	MT-ND4	4	Microglia	9	Microglia	#CC79A7	TRUE	2	2	tier1_recurrent_stable	FALSE	6	6	3	1.0	0.5	6.479816248835569e-06	0.010583090913485178	1.975387473073541
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	2	MT-ND4	5	OPCs	10	OPCs	#56B4E9	TRUE	3	3	tier_not_assessable	FALSE	6	6	2	1.0	0.3333333333333333	1.010941781649593e-05	0.011400053491068577	1.9430931108721754
