schema_version	rds_id	cell_type_high_resolution	sex	apoe_group	diagnosis	nuclei	donors	median_nCount_RNA	median_nFeature_RNA	median_nCount_MT	median_percent_mt	q25_percent_mt	q75_percent_mt	median_nFeature_MT	median_percent_mitocarta	zero_mt_nuclei	zero_mt_fraction	robust_flagged_nuclei	robust_flagged_fraction	donor_celltype_samples	median_nuclei_per_donor	q25_nuclei_per_donor	q75_nuclei_per_donor	primary_eligible_donors	sensitivity_eligible_donors	primary_ineligible_donors	sensitivity_ineligible_donors	group_has_nuclei	primary_side_eligible	sensitivity_side_eligible	minimum_donors_per_contrast_side
descriptive_group_coverage_v1	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Female	e2	AD	3671	8	10642	4034	261	2.36497283477149	1.31951387489764	3.78575352520305	11	5.94315245478036	2	0.000544810678289294	51	0.013892672296377	8	258	212.25	405	8	8	0	0	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Female	e2	NCI	12562	17	10674.5	4027.5	165	1.73964620680242	0.906382049612467	2.91508974673097	10	5.30080532364296	9	0.000716446425728387	90	0.00716446425728387	17	784	293	1056	17	16	0	1	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Female	e33	AD	26574	37	11221	4077	200	2.01258969781572	0.936437788618921	3.59754124201733	11	5.41089658076107	24	0.000903138405960713	542	0.0203958756679461	37	624	356	1019	36	35	1	2	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Female	e33	NCI	34425	45	12045	4378	157	1.38291908054569	0.581395348837209	2.54026450176771	10	4.90405117270789	217	0.00630355846042121	237	0.00688453159041394	45	563	337	1098	45	45	0	0	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Female	e4	AD	15950	26	13140	4443.5	264	1.93422669390874	0.988996034923404	3.27644504997555	11	5.33892066921515	31	0.0019435736677116	324	0.0203134796238245	26	506	201.75	847	25	25	1	1	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Female	e4	NCI	14571	11	8560	3502	141	2.24013274860733	1.0399484136888	3.92735402563329	10	6.0874793326319	12	0.00082355363393041	335	0.0229908722805573	11	491	369	1241	11	11	0	0	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Male	e2	AD	4010	7	13383.5	4583.5	188	1.43026762773173	0.704986468245467	2.48152439941364	10	4.88799632727854	1	0.000249376558603491	37	0.00922693266832918	7	420	280	688.5	7	7	0	0	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Male	e2	NCI	3277	6	4563	2320	59	1.30676949443016	0.588354635828768	2.39445494643982	10	4.95793683629844	21	0.00640830027464144	87	0.0265486725663717	6	377.5	152.25	885.5	6	6	0	0	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Male	e33	AD	19824	29	9244	3730	126	1.61200689872304	0.714638083761103	3.03312236416383	10	5.2183652335518	76	0.00383373688458434	369	0.0186138014527845	29	447	250	976	28	28	1	1	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Male	e33	NCI	46703	53	11709	4325	149	1.3727443817115	0.589017559235094	2.57387008564362	10	4.95900346893724	105	0.00224824957711496	371	0.00794381517247286	53	679	342	1252	52	51	1	2	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Male	e4	AD	15661	27	10962	4120	197	1.99007141612959	1.00109681922425	3.4375	10	5.53888130968622	5	0.000319264414788328	328	0.0209437456101143	27	536	280	841	27	25	0	2	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Male	e4	NCI	6766	10	10268	3985	139	1.60492201843396	0.663104860045832	2.98259281532218	10	5.20774743929693	41	0.00605971031628732	117	0.0172923440733077	10	732	243.25	919.5	10	10	0	0	TRUE	TRUE	TRUE	5
