schema_version	rds_id	cell_type_high_resolution	sex	apoe_group	diagnosis	nuclei	donors	median_nCount_RNA	median_nFeature_RNA	median_nCount_MT	median_percent_mt	q25_percent_mt	q75_percent_mt	median_nFeature_MT	median_percent_mitocarta	zero_mt_nuclei	zero_mt_fraction	robust_flagged_nuclei	robust_flagged_fraction	donor_celltype_samples	median_nuclei_per_donor	q25_nuclei_per_donor	q75_nuclei_per_donor	primary_eligible_donors	sensitivity_eligible_donors	primary_ineligible_donors	sensitivity_ineligible_donors	group_has_nuclei	primary_side_eligible	sensitivity_side_eligible	minimum_donors_per_contrast_side
descriptive_group_coverage_v1	inhibitory	Inh ALCAM TRPM3	Female	e2	AD	132	8	8176.5	3323.5	235.5	3.15119455867889	1.7913553504392	4.98936859580881	11	7.05299801994438	0	0	4	0.0303030303030303	8	12.5	6.25	13.5	1	1	7	7	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	inhibitory	Inh ALCAM TRPM3	Female	e2	NCI	451	15	9671	3862	204	2.50702984720669	1.19648475578998	4.1728424593911	10	6.4961195745904	0	0	0	0	15	26	14	42	11	2	4	13	TRUE	TRUE	FALSE	5
descriptive_group_coverage_v1	inhibitory	Inh ALCAM TRPM3	Female	e33	AD	939	36	9667	3757	186	2.27772744920409	1.0957937946509	4.02554023997557	11	5.93032495504161	0	0	12	0.012779552715655	36	23.5	12	41.25	21	4	15	32	TRUE	TRUE	FALSE	5
descriptive_group_coverage_v1	inhibitory	Inh ALCAM TRPM3	Female	e33	NCI	1309	45	11735	4305	197	1.77170678928861	0.698856416772554	3.33502001012006	11	5.62851782363977	10	0.00763941940412529	11	0.00840336134453781	45	22	10	42	24	9	21	36	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	inhibitory	Inh ALCAM TRPM3	Female	e4	AD	605	24	10668	3913	210	2.18215229125991	0.999149659863946	3.73349339735894	11	5.86953561214762	1	0.00165289256198347	7	0.0115702479338843	24	21	10.75	35.25	13	1	11	23	TRUE	TRUE	FALSE	5
descriptive_group_coverage_v1	inhibitory	Inh ALCAM TRPM3	Female	e4	NCI	329	11	9710	3797	211	2.59143360062586	1.1918492887351	4.41145281018028	11	6.45986568596098	0	0	3	0.00911854103343465	11	21	13.5	39.5	6	2	5	9	TRUE	TRUE	FALSE	5
descriptive_group_coverage_v1	inhibitory	Inh ALCAM TRPM3	Male	e2	AD	155	7	8967	3637	147	1.77041690462593	0.838563166043286	2.76852948301531	10	5.5110039192041	0	0	1	0.00645161290322581	7	13	8.5	33	3	1	4	6	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	inhibitory	Inh ALCAM TRPM3	Male	e2	NCI	106	5	3403	1970	68	1.44978839638215	0.629260163522404	3.08130018738504	9	5.6190169075711	1	0.00943396226415094	0	0	5	20	5	35	3	0	2	5	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	inhibitory	Inh ALCAM TRPM3	Male	e33	AD	712	27	8159	3418.5	138	2.04989051563539	0.809796616588361	3.75038460477845	10	6.00002322597128	3	0.00421348314606742	9	0.0126404494382022	27	19	13.5	28.5	13	4	14	23	TRUE	TRUE	FALSE	5
descriptive_group_coverage_v1	inhibitory	Inh ALCAM TRPM3	Male	e33	NCI	1792	51	9894	3894.5	152.5	1.8052979640369	0.724610008744514	3.25286947443079	10	5.76679241729646	9	0.00502232142857143	15	0.00837053571428571	51	30	16	49.5	37	13	14	38	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	inhibitory	Inh ALCAM TRPM3	Male	e4	AD	683	26	8443	3499	146	2.17826901945576	0.995987916274677	3.91990412445362	10	5.98874116660678	1	0.00146412884333821	9	0.0131771595900439	26	22.5	16.25	35.75	18	3	8	23	TRUE	TRUE	FALSE	5
descriptive_group_coverage_v1	inhibitory	Inh ALCAM TRPM3	Male	e4	NCI	270	10	8993	3724	177.5	2.35735317786992	0.986095637160079	4.27346533851636	10	6.49376891470587	4	0.0148148148148148	1	0.0037037037037037	10	25.5	17.5	34.75	7	1	3	9	TRUE	TRUE	FALSE	5
descriptive_group_coverage_v1	inhibitory	Inh CUX2 MSR1	Female	e2	AD	142	8	4545.5	2176.5	210.5	4.60186498164743	2.66634974951628	7.33978914664405	11	8.26772344854206	0	0	0	0	8	17.5	12.5	22	4	0	4	8	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	inhibitory	Inh CUX2 MSR1	Female	e2	NCI	967	16	3571	1872	89	2.78258926076996	1.22667138856766	4.91795160433626	10	6.56571631373477	3	0.0031023784901758	0	0	16	51	17.25	80.25	11	8	5	8	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	inhibitory	Inh CUX2 MSR1	Female	e33	AD	1801	35	4397	2127	98	2.53640206669798	0.900900900900901	5.39958663451602	10	6.10436025732666	8	0.00444197667962243	0	0	35	33	13	74	22	12	13	23	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	inhibitory	Inh CUX2 MSR1	Female	e33	NCI	3417	45	4602	2219	105	2.33545647558386	0.923432089265102	4.63182897862233	10	6.02434928631402	33	0.009657594381036	0	0	45	52	29	108	39	23	6	22	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	inhibitory	Inh CUX2 MSR1	Female	e4	AD	1105	26	4393	2069	152	3.34432406971267	1.54208609980724	5.78778135048232	10	6.81676047529706	3	0.00271493212669683	0	0	26	34.5	13	55.75	16	10	10	16	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	inhibitory	Inh CUX2 MSR1	Female	e4	NCI	666	11	5036	2352	101	2.33344357604136	0.915575768942235	5.08552467597208	10	6.05436709683172	1	0.0015015015015015	0	0	11	30	20.5	77	8	4	3	7	TRUE	TRUE	FALSE	5
