schema_version	rds_id	cell_type_high_resolution	feature	measured	nuclei	donors	total_raw_counts	nuclei_detected	nucleus_detection_fraction	donors_detected	donor_detection_fraction
descriptive_mtdna_detection_v1	immune	Mic TPT1	MT-ATP8	TRUE	3449	245	121	104	0.0301536677297767	50	0.204081632653061
descriptive_mtdna_detection_v1	immune	Mic TPT1	MT-ATP6	TRUE	3449	245	11651	2546	0.738184981153958	231	0.942857142857143
descriptive_mtdna_detection_v1	immune	Mic TPT1	MT-CO3	TRUE	3449	245	13645	2667	0.773267613801102	238	0.971428571428571
descriptive_mtdna_detection_v1	immune	Mic TPT1	MT-ND3	TRUE	3449	245	8504	2040	0.591475790084082	219	0.893877551020408
descriptive_mtdna_detection_v1	immune	Mic TPT1	MT-ND4L	TRUE	3449	245	513	396	0.114815888663381	110	0.448979591836735
descriptive_mtdna_detection_v1	immune	Mic TPT1	MT-ND4	TRUE	3449	245	8559	2201	0.638155987242679	228	0.930612244897959
descriptive_mtdna_detection_v1	immune	Mic TPT1	MT-ND5	TRUE	3449	245	1766	991	0.287329660771238	178	0.726530612244898
descriptive_mtdna_detection_v1	immune	Mic TPT1	MT-ND6	TRUE	3449	245	27	26	0.00753841693244419	24	0.0979591836734694
descriptive_mtdna_detection_v1	immune	Mic TPT1	MT-CYB	TRUE	3449	245	8483	2156	0.625108727167295	227	0.926530612244898
descriptive_mtdna_detection_v1	immune	T cells	MT-ND1	TRUE	1740	239	7297	1458	0.837931034482759	229	0.9581589958159
descriptive_mtdna_detection_v1	immune	T cells	MT-ND2	TRUE	1740	239	5914	1402	0.805747126436782	233	0.97489539748954
descriptive_mtdna_detection_v1	immune	T cells	MT-CO1	TRUE	1740	239	30850	1685	0.968390804597701	238	0.99581589958159
descriptive_mtdna_detection_v1	immune	T cells	MT-CO2	TRUE	1740	239	23255	1628	0.935632183908046	235	0.98326359832636
descriptive_mtdna_detection_v1	immune	T cells	MT-ATP8	TRUE	1740	239	187	165	0.0948275862068965	93	0.389121338912134
descriptive_mtdna_detection_v1	immune	T cells	MT-ATP6	TRUE	1740	239	23580	1624	0.933333333333333	237	0.99163179916318
descriptive_mtdna_detection_v1	immune	T cells	MT-CO3	TRUE	1740	239	23402	1632	0.937931034482759	237	0.99163179916318
descriptive_mtdna_detection_v1	immune	T cells	MT-ND3	TRUE	1740	239	9784	1470	0.844827586206897	235	0.98326359832636
descriptive_mtdna_detection_v1	immune	T cells	MT-ND4L	TRUE	1740	239	828	539	0.309770114942529	177	0.740585774058577
descriptive_mtdna_detection_v1	immune	T cells	MT-ND4	TRUE	1740	239	15173	1594	0.916091954022988	233	0.97489539748954
descriptive_mtdna_detection_v1	immune	T cells	MT-ND5	TRUE	1740	239	3070	1099	0.631609195402299	219	0.916317991631799
descriptive_mtdna_detection_v1	immune	T cells	MT-ND6	TRUE	1740	239	113	100	0.0574712643678161	67	0.280334728033473
descriptive_mtdna_detection_v1	immune	T cells	MT-CYB	TRUE	1740	239	14916	1577	0.90632183908046	230	0.96234309623431
