schema_version	rds_id	artifact	path	bytes	sha256	records	validation_status
descriptive_manifest_v1	excitatory_set2	excitatory_set2_group_coverage.tsv	results/minerva_production/06_descriptive/excitatory_set2_group_coverage.tsv	13081	50f89823dee254af88149e3d0d9a0489bd6d1854edd22c96f41b7bb6e3a142e3	48	validated_complete
descriptive_manifest_v1	excitatory_set2	excitatory_set2_contrast_coverage.tsv	results/minerva_production/06_descriptive/excitatory_set2_contrast_coverage.tsv	3275	22f2b265a78a884203aa74049e7445d4b6242cf1ba6c2b741c7d36216d049ae1	24	validated_complete
descriptive_manifest_v1	excitatory_set2	excitatory_set2_sample_eligibility.tsv	results/minerva_production/06_descriptive/excitatory_set2_sample_eligibility.tsv	286033	59286b38aff4b1a67e9cef4af10ca298ab9490dd919f9614aa63becfa8619667	1091	validated_complete
descriptive_manifest_v1	excitatory_set2	excitatory_set2_mito_detection.tsv	results/minerva_production/06_descriptive/excitatory_set2_mito_detection.tsv	6988	bbba9271489fbcd3fd29d7c255bb8e0ad5d02f66ac8a5e935144c257fa50530a	52	validated_complete
descriptive_manifest_v1	excitatory_set2	excitatory_set2_mitocarta_coverage.tsv	results/minerva_production/06_descriptive/excitatory_set2_mitocarta_coverage.tsv	791	977871eee5192d0ff9e170728639d48e4f5ebda9fdc7336889625d0c5acb1172	4	validated_complete
descriptive_manifest_v1	excitatory_set2	excitatory_set2_descriptive_figures.pdf	results/minerva_production/06_descriptive/excitatory_set2_descriptive_figures.pdf	674049	51fce6f9af8659223b1ba555ae408dd58f80591b64e343f1136aed0e87da7621	NA	validated_complete
descriptive_manifest_v1	excitatory_set2	excitatory_set2_descriptive_checks.tsv	results/minerva_production/06_descriptive/excitatory_set2_descriptive_checks.tsv	2077	56ffc90103702874fb29c43a7d2d1cd9da1f8bc84f9d9e7f3fd4d30eb94e281b	20	validated_complete
