schema_version	rds_id	cell_type_high_resolution	inventory_genes	measured_genes	tested_genes	unmatched_genes	genes_detected_in_analytic_nuclei	fraction_of_inventory_measured	fraction_of_measured_detected	analytic_nuclei	analytic_donors
descriptive_mitocarta_coverage_v1	excitatory_set2	Exc L3-4 RORB CUX2	1136	1134	1104	2	1103	0.998239436619718	0.972663139329806	126809	273
descriptive_mitocarta_coverage_v1	excitatory_set2	Exc L3-5 RORB PLCH1	1136	1134	1104	2	1097	0.998239436619718	0.967372134038801	26298	273
descriptive_mitocarta_coverage_v1	excitatory_set2	Exc L4-5 RORB GABRG1	1136	1134	1104	2	1098	0.998239436619718	0.968253968253968	55350	271
descriptive_mitocarta_coverage_v1	excitatory_set2	Exc L4-5 RORB IL1RAPL2	1136	1134	1104	2	1100	0.998239436619718	0.970017636684303	82526	274
