schema_version	rds_id	cell_type_high_resolution	sex	apoe_group	diagnosis	nuclei	donors	median_nCount_RNA	median_nFeature_RNA	median_nCount_MT	median_percent_mt	q25_percent_mt	q75_percent_mt	median_nFeature_MT	median_percent_mitocarta	zero_mt_nuclei	zero_mt_fraction	robust_flagged_nuclei	robust_flagged_fraction	donor_celltype_samples	median_nuclei_per_donor	q25_nuclei_per_donor	q75_nuclei_per_donor	primary_eligible_donors	sensitivity_eligible_donors	primary_ineligible_donors	sensitivity_ineligible_donors	group_has_nuclei	primary_side_eligible	sensitivity_side_eligible	minimum_donors_per_contrast_side
descriptive_group_coverage_v1	vasculature	End	Female	e2	AD	51	7	1915	1161	15	0.72463768115942	0.295197908549691	1.94654054972934	7	5.02035278154681	1	0.0196078431372549	4	0.0784313725490196	7	3	2	8.5	1	0	6	7	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	vasculature	End	Female	e2	NCI	215	15	2391	1446	17	0.819017179384738	0.369263702882721	1.82208680521429	8	4.79774223894638	1	0.00465116279069767	14	0.0651162790697674	15	10	3.5	19	4	1	11	14	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	vasculature	End	Female	e33	AD	730	36	2567	1515	19.5	0.879229442705546	0.384370891989804	1.78037689410097	8	4.91688156198195	6	0.00821917808219178	49	0.0671232876712329	36	15	8	23.25	13	3	23	33	TRUE	TRUE	FALSE	5
descriptive_group_coverage_v1	vasculature	End	Female	e33	NCI	747	44	2214	1401	17	0.77644775153672	0.36757988776762	1.64360056009239	7	4.85372340425532	9	0.0120481927710843	38	0.0508701472556894	44	13	6.75	24.25	16	3	28	41	TRUE	TRUE	FALSE	5
descriptive_group_coverage_v1	vasculature	End	Female	e4	AD	445	25	2782	1624	21	0.832342449464923	0.326950023353573	1.80064308681672	8	4.72032742155525	11	0.0247191011235955	30	0.0674157303370786	25	12	8	22	9	3	16	22	TRUE	TRUE	FALSE	5
descriptive_group_coverage_v1	vasculature	End	Female	e4	NCI	220	11	3582	1946	17	0.557081391516644	0.285027927945696	1.18560299541781	8	4.4629826921993	0	0	8	0.0363636363636364	11	18	11	19	2	0	9	11	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	vasculature	End	Male	e2	AD	87	7	2412	1470	10	0.395377128953771	0.17479446949993	0.914819932710794	5	4.26789231779383	2	0.0229885057471264	0	0	7	10	2	15	1	0	6	7	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	vasculature	End	Male	e2	NCI	126	5	988	729	13	1.32235952340548	0.700400859654979	2.41918412348402	7	7.00969018697966	3	0.0238095238095238	9	0.0714285714285714	5	16	2	32	2	1	3	4	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	vasculature	End	Male	e33	AD	390	27	2357	1475	20.5	0.987232481209904	0.404307385517954	2.14218837700313	8	4.98369196101866	4	0.0102564102564103	23	0.058974358974359	27	11	7	23	10	0	17	27	TRUE	TRUE	FALSE	5
descriptive_group_coverage_v1	vasculature	End	Male	e33	NCI	1170	51	2287	1428.5	13	0.614604504116113	0.261309836366509	1.44154369288077	7	4.59979404179311	19	0.0162393162393162	44	0.0376068376068376	51	17	8	32	21	8	30	43	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	vasculature	End	Male	e4	AD	432	25	2741.5	1545	26	1.03950921475014	0.447033770048098	2.14698023773706	9	4.94886000809925	5	0.0115740740740741	30	0.0694444444444444	25	14	10	17	5	1	20	24	TRUE	TRUE	FALSE	5
descriptive_group_coverage_v1	vasculature	End	Male	e4	NCI	143	10	2546	1553	17	0.746268656716418	0.351681611686722	1.91751509922347	7	4.84988452655889	3	0.020979020979021	7	0.048951048951049	10	11.5	4.75	20.25	3	0	7	10	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	vasculature	Fib FLRT2	Female	e2	AD	84	6	2215	1353.5	11	0.76820026853712	0.313397975451501	1.52901184184255	7	5.16267422220544	0	0	9	0.107142857142857	6	4.5	3.25	5	1	1	5	5	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	vasculature	Fib FLRT2	Female	e2	NCI	141	17	2064	1313	21	1.17241379310345	0.53835800807537	2.28471001757469	8	5.53359683794466	0	0	7	0.049645390070922	17	7	3	13	1	0	16	17	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	vasculature	Fib FLRT2	Female	e33	AD	341	36	2471	1543	17	0.833066324895867	0.361713967723984	1.62962962962963	8	5.35140920442383	5	0.0146627565982405	24	0.0703812316715543	36	6.5	3	12.25	4	1	32	35	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	vasculature	Fib FLRT2	Female	e33	NCI	423	45	2521	1533	18	0.678749368185429	0.285602286161735	1.44386959135242	8	5.20355504587156	12	0.0283687943262411	20	0.0472813238770686	45	6	3	13	7	1	38	44	TRUE	TRUE	FALSE	5
descriptive_group_coverage_v1	vasculature	Fib FLRT2	Female	e4	AD	170	26	1786.5	1216	19.5	0.984471143140315	0.402212640054507	2.23812301765344	8	5.4898989363769	2	0.0117647058823529	18	0.105882352941176	26	4.5	3	11	1	0	25	26	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	vasculature	Fib FLRT2	Female	e4	NCI	111	10	2641	1634	23	0.872938894277401	0.414573479145971	2.14769217191775	8	5.48450565666503	1	0.00900900900900901	5	0.045045045045045	10	6	3.25	18.75	3	0	7	10	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	vasculature	Fib FLRT2	Male	e2	AD	72	6	2168	1355	7	0.362019810994791	0.20364112683415	0.830462062962426	5	4.69693037231956	3	0.0416666666666667	2	0.0277777777777778	6	6	3.25	10.25	1	0	5	6	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	vasculature	Fib FLRT2	Male	e2	NCI	16	5	875	599	6.5	0.716547597709096	0.276809971990562	1.00224675197812	5	4.46250829462508	2	0.125	0	0	5	2	2	5	0	0	5	5	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	vasculature	Fib FLRT2	Male	e33	AD	225	26	2331	1481	17	0.620320855614973	0.306569343065693	1.72839506172839	7	5.08910702373011	4	0.0177777777777778	17	0.0755555555555556	26	6	3	13.75	2	0	24	26	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	vasculature	Fib FLRT2	Male	e33	NCI	666	48	2321.5	1462	14	0.639395696859639	0.261095807897241	1.3800865388698	7	5.04085254639658	18	0.027027027027027	25	0.0375375375375375	48	11	4.75	19.5	12	0	36	48	TRUE	TRUE	FALSE	5
descriptive_group_coverage_v1	vasculature	Fib FLRT2	Male	e4	AD	212	27	2301.5	1457.5	20.5	0.957256158497017	0.45821814458879	1.91059398524858	8	5.31497861680459	2	0.00943396226415094	9	0.0424528301886792	27	5	3	9	2	0	25	27	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	vasculature	Fib FLRT2	Male	e4	NCI	131	10	2234	1418	13	0.797101449275362	0.290670991035095	1.47940838964682	7	5.23292916400766	3	0.0229007633587786	3	0.0229007633587786	10	6.5	6	12.75	2	0	8	10	TRUE	FALSE	FALSE	5
