schema_version	rds_id	cell_type_high_resolution	sex	apoe_group	contrast	minimum_donors_per_side	nci_nuclei	ad_nuclei	nci_primary_eligible_donors	ad_primary_eligible_donors	nci_sensitivity_eligible_donors	ad_sensitivity_eligible_donors	primary_contrast_eligible	sensitivity_contrast_eligible	primary_ineligibility_reason
descriptive_contrast_coverage_v1	immune	CAMs	Female	e2	AD_vs_NCI	5	85	23	0	0	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	CAMs	Female	e33	AD_vs_NCI	5	255	185	1	1	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	CAMs	Female	e4	AD_vs_NCI	5	65	139	0	1	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	CAMs	Male	e2	AD_vs_NCI	5	1	45	0	1	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	CAMs	Male	e33	AD_vs_NCI	5	397	119	6	1	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	CAMs	Male	e4	AD_vs_NCI	5	65	137	0	1	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	Mic MKI67	Female	e2	AD_vs_NCI	5	8	16	0	0	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	Mic MKI67	Female	e33	AD_vs_NCI	5	120	62	1	1	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	Mic MKI67	Female	e4	AD_vs_NCI	5	45	54	0	0	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	Mic MKI67	Male	e2	AD_vs_NCI	5	9	2	0	0	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	Mic MKI67	Male	e33	AD_vs_NCI	5	120	52	1	0	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	Mic MKI67	Male	e4	AD_vs_NCI	5	7	29	0	0	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	Mic P2RY12	Female	e2	AD_vs_NCI	5	2370	1012	13	7	12	5	TRUE	TRUE	
descriptive_contrast_coverage_v1	immune	Mic P2RY12	Female	e33	AD_vs_NCI	5	8698	6469	45	35	42	32	TRUE	TRUE	
descriptive_contrast_coverage_v1	immune	Mic P2RY12	Female	e4	AD_vs_NCI	5	2621	5261	11	26	11	25	TRUE	TRUE	
descriptive_contrast_coverage_v1	immune	Mic P2RY12	Male	e2	AD_vs_NCI	5	390	1175	5	6	4	5	TRUE	FALSE	
descriptive_contrast_coverage_v1	immune	Mic P2RY12	Male	e33	AD_vs_NCI	5	11074	4009	50	25	45	24	TRUE	TRUE	
descriptive_contrast_coverage_v1	immune	Mic P2RY12	Male	e4	AD_vs_NCI	5	1439	4158	9	26	8	23	TRUE	TRUE	
descriptive_contrast_coverage_v1	immune	Mic TPT1	Female	e2	AD_vs_NCI	5	176	71	2	0	1	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	Mic TPT1	Female	e33	AD_vs_NCI	5	869	537	19	9	3	2	TRUE	FALSE	
descriptive_contrast_coverage_v1	immune	Mic TPT1	Female	e4	AD_vs_NCI	5	171	339	2	6	1	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	Mic TPT1	Male	e2	AD_vs_NCI	5	21	34	0	0	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	Mic TPT1	Male	e33	AD_vs_NCI	5	494	237	10	2	0	1	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	Mic TPT1	Male	e4	AD_vs_NCI	5	283	217	3	4	1	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	T cells	Female	e2	AD_vs_NCI	5	83	38	1	0	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	T cells	Female	e33	AD_vs_NCI	5	310	236	3	1	1	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	T cells	Female	e4	AD_vs_NCI	5	78	112	1	0	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	T cells	Male	e2	AD_vs_NCI	5	6	33	0	0	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	T cells	Male	e33	AD_vs_NCI	5	392	176	4	1	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	immune	T cells	Male	e4	AD_vs_NCI	5	107	169	2	1	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
