schema_version	rds_id	cell_type_high_resolution	sex	apoe_group	contrast	minimum_donors_per_side	nci_nuclei	ad_nuclei	nci_primary_eligible_donors	ad_primary_eligible_donors	nci_sensitivity_eligible_donors	ad_sensitivity_eligible_donors	primary_contrast_eligible	sensitivity_contrast_eligible	primary_ineligibility_reason
descriptive_contrast_coverage_v1	astrocytes	Ast CHI3L1	Female	e2	AD_vs_NCI	5	1104	105	6	2	6	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	astrocytes	Ast CHI3L1	Female	e33	AD_vs_NCI	5	3186	1974	17	11	14	7	TRUE	TRUE	
descriptive_contrast_coverage_v1	astrocytes	Ast CHI3L1	Female	e4	AD_vs_NCI	5	1298	1193	6	11	5	5	TRUE	TRUE	
descriptive_contrast_coverage_v1	astrocytes	Ast CHI3L1	Male	e2	AD_vs_NCI	5	466	262	4	1	2	1	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	astrocytes	Ast CHI3L1	Male	e33	AD_vs_NCI	5	4424	466	24	8	17	3	TRUE	FALSE	
descriptive_contrast_coverage_v1	astrocytes	Ast CHI3L1	Male	e4	AD_vs_NCI	5	412	1655	5	9	3	7	TRUE	FALSE	
descriptive_contrast_coverage_v1	astrocytes	Ast DPP10	Female	e2	AD_vs_NCI	5	936	560	13	5	6	3	TRUE	FALSE	
descriptive_contrast_coverage_v1	astrocytes	Ast DPP10	Female	e33	AD_vs_NCI	5	4084	2867	40	31	31	21	TRUE	TRUE	
descriptive_contrast_coverage_v1	astrocytes	Ast DPP10	Female	e4	AD_vs_NCI	5	916	1824	11	19	8	17	TRUE	TRUE	
descriptive_contrast_coverage_v1	astrocytes	Ast DPP10	Male	e2	AD_vs_NCI	5	305	659	4	5	2	4	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	astrocytes	Ast DPP10	Male	e33	AD_vs_NCI	5	5177	1859	46	22	34	17	TRUE	TRUE	
descriptive_contrast_coverage_v1	astrocytes	Ast DPP10	Male	e4	AD_vs_NCI	5	979	1565	8	22	7	13	TRUE	TRUE	
descriptive_contrast_coverage_v1	astrocytes	Ast GRM3	Female	e2	AD_vs_NCI	5	2720	957	16	6	12	5	TRUE	TRUE	
descriptive_contrast_coverage_v1	astrocytes	Ast GRM3	Female	e33	AD_vs_NCI	5	10462	9577	41	36	32	31	TRUE	TRUE	
descriptive_contrast_coverage_v1	astrocytes	Ast GRM3	Female	e4	AD_vs_NCI	5	1797	5204	8	24	8	21	TRUE	TRUE	
descriptive_contrast_coverage_v1	astrocytes	Ast GRM3	Male	e2	AD_vs_NCI	5	1186	1411	5	7	5	6	TRUE	TRUE	
descriptive_contrast_coverage_v1	astrocytes	Ast GRM3	Male	e33	AD_vs_NCI	5	14440	5946	45	27	40	22	TRUE	TRUE	
descriptive_contrast_coverage_v1	astrocytes	Ast GRM3	Male	e4	AD_vs_NCI	5	2144	4914	10	24	9	23	TRUE	TRUE	
