schema_version	rds_id	cell_type_high_resolution	sex	apoe_group	diagnosis	nuclei	donors	median_nCount_RNA	median_nFeature_RNA	median_nCount_MT	median_percent_mt	q25_percent_mt	q75_percent_mt	median_nFeature_MT	median_percent_mitocarta	zero_mt_nuclei	zero_mt_fraction	robust_flagged_nuclei	robust_flagged_fraction	donor_celltype_samples	median_nuclei_per_donor	q25_nuclei_per_donor	q75_nuclei_per_donor	primary_eligible_donors	sensitivity_eligible_donors	primary_ineligible_donors	sensitivity_ineligible_donors	group_has_nuclei	primary_side_eligible	sensitivity_side_eligible	minimum_donors_per_contrast_side
descriptive_group_coverage_v1	opcs	OPC	Female	e2	AD	1325	8	8537	3396	40	0.587947084762371	0.311804008908686	1.0062893081761	9	4.4115292233787	4	0.0030188679245283	26	0.019622641509434	8	119.5	71	197.75	8	7	0	1	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	opcs	OPC	Female	e2	NCI	3748	17	5563	2604.5	27	0.5569368969171	0.271264761374626	1.04043374668838	8	4.31264013724199	37	0.00987193169690502	122	0.0325506937033084	17	204	132	329	15	14	2	3	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	opcs	OPC	Female	e33	AD	8923	37	6207	2799	29	0.561447286338116	0.281702540270233	1.02424347699803	8	4.32655557254242	86	0.00963801412081139	267	0.0299226717471702	37	192	151	292	37	36	0	1	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	opcs	OPC	Female	e33	NCI	10650	45	6538	2888	26	0.429561526833405	0.191077884215722	0.818870140396755	8	4.11121608489267	148	0.0138967136150235	261	0.0245070422535211	45	201	159	281	45	44	0	1	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	opcs	OPC	Female	e4	AD	5248	26	7135	2973	36	0.54012012316549	0.257939708827911	1.03806228373702	9	4.20130280786615	39	0.00743140243902439	255	0.0485899390243902	26	185	129.5	221.5	24	24	2	2	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	opcs	OPC	Female	e4	NCI	2760	11	8135.5	3232	30	0.408806212210692	0.198636421864034	0.79113347643472	9	4.04841368711075	9	0.00326086956521739	100	0.036231884057971	11	236	185.5	305.5	11	11	0	0	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	opcs	OPC	Male	e2	AD	1320	7	5587.5	2649	23	0.420268027898787	0.202992926016853	0.812625348768092	8	4.15027679440976	12	0.00909090909090909	23	0.0174242424242424	7	134	81	227	7	5	0	2	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	opcs	OPC	Male	e2	NCI	1404	6	2046	1281.5	16	0.788510341327243	0.359010081634228	1.51630284609009	7	4.54545454545455	28	0.0199430199430199	116	0.0826210826210826	6	191.5	143.75	276.75	5	5	1	1	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	opcs	OPC	Male	e33	AD	4876	29	6140	2716.5	29	0.505902192242833	0.227887027602859	1.01971062796498	8	4.13811107183668	41	0.00840853158326497	191	0.0391714520098441	29	167	95	217	28	24	1	5	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	opcs	OPC	Male	e33	NCI	14431	53	5259	2527	21	0.432192500876066	0.199198482257688	0.854043508524259	8	4.15151870528908	147	0.0101864042685885	374	0.0259164299078373	53	229	152	347	53	52	0	1	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	opcs	OPC	Male	e4	AD	5115	27	6462	2873	30	0.536464002487949	0.251579065086664	1.05878648004119	8	4.30072225869993	48	0.0093841642228739	220	0.043010752688172	27	191	125	267.5	25	25	2	2	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	opcs	OPC	Male	e4	NCI	2083	10	5674	2667	20	0.437201907790143	0.173612041388253	0.943079574095809	8	4.23005993545413	82	0.0393662986077772	55	0.0264042246759482	10	226	90	315.5	10	8	0	2	TRUE	TRUE	TRUE	5
