schema_version	rds_id	cell_type_high_resolution	feature	measured	nuclei	donors	total_raw_counts	nuclei_detected	nucleus_detection_fraction	donors_detected	donor_detection_fraction
descriptive_mtdna_detection_v1	opcs	OPC	MT-ND1	TRUE	61883	276	107655	38010	0.614223615532537	276	1
descriptive_mtdna_detection_v1	opcs	OPC	MT-ND2	TRUE	61883	276	78672	33072	0.534427871951909	276	1
descriptive_mtdna_detection_v1	opcs	OPC	MT-CO1	TRUE	61883	276	319635	51350	0.829791703698916	276	1
descriptive_mtdna_detection_v1	opcs	OPC	MT-CO2	TRUE	61883	276	487675	53716	0.868025144223777	276	1
descriptive_mtdna_detection_v1	opcs	OPC	MT-ATP8	TRUE	61883	276	2666	2443	0.0394777240922386	247	0.894927536231884
descriptive_mtdna_detection_v1	opcs	OPC	MT-ATP6	TRUE	61883	276	441745	52387	0.846549133041385	276	1
descriptive_mtdna_detection_v1	opcs	OPC	MT-CO3	TRUE	61883	276	420415	53834	0.869931968391966	276	1
descriptive_mtdna_detection_v1	opcs	OPC	MT-ND3	TRUE	61883	276	236612	44524	0.719486773427274	275	0.996376811594203
descriptive_mtdna_detection_v1	opcs	OPC	MT-ND4L	TRUE	61883	276	15054	11233	0.181519965095422	274	0.992753623188406
descriptive_mtdna_detection_v1	opcs	OPC	MT-ND4	TRUE	61883	276	290092	49011	0.791994570398979	276	1
descriptive_mtdna_detection_v1	opcs	OPC	MT-ND5	TRUE	61883	276	46454	24635	0.398089943926442	275	0.996376811594203
descriptive_mtdna_detection_v1	opcs	OPC	MT-ND6	TRUE	61883	276	1108	1081	0.0174684485238272	239	0.865942028985507
descriptive_mtdna_detection_v1	opcs	OPC	MT-CYB	TRUE	61883	276	285134	48686	0.786742724173036	276	1
