schema_version	rds_id	cell_type_high_resolution	sex	apoe_group	contrast	minimum_donors_per_side	nci_nuclei	ad_nuclei	nci_primary_eligible_donors	ad_primary_eligible_donors	nci_sensitivity_eligible_donors	ad_sensitivity_eligible_donors	primary_contrast_eligible	sensitivity_contrast_eligible	primary_ineligibility_reason
descriptive_contrast_coverage_v1	inhibitory	Inh ALCAM TRPM3	Female	e2	AD_vs_NCI	5	451	132	11	1	2	1	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	inhibitory	Inh ALCAM TRPM3	Female	e33	AD_vs_NCI	5	1309	939	24	21	9	4	TRUE	FALSE	
descriptive_contrast_coverage_v1	inhibitory	Inh ALCAM TRPM3	Female	e4	AD_vs_NCI	5	329	605	6	13	2	1	TRUE	FALSE	
descriptive_contrast_coverage_v1	inhibitory	Inh ALCAM TRPM3	Male	e2	AD_vs_NCI	5	106	155	3	3	0	1	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	inhibitory	Inh ALCAM TRPM3	Male	e33	AD_vs_NCI	5	1792	712	37	13	13	4	TRUE	FALSE	
descriptive_contrast_coverage_v1	inhibitory	Inh ALCAM TRPM3	Male	e4	AD_vs_NCI	5	270	683	7	18	1	3	TRUE	FALSE	
descriptive_contrast_coverage_v1	inhibitory	Inh CUX2 MSR1	Female	e2	AD_vs_NCI	5	967	142	11	4	8	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	inhibitory	Inh CUX2 MSR1	Female	e33	AD_vs_NCI	5	3417	1801	39	22	23	12	TRUE	TRUE	
descriptive_contrast_coverage_v1	inhibitory	Inh CUX2 MSR1	Female	e4	AD_vs_NCI	5	666	1105	8	16	4	10	TRUE	FALSE	
descriptive_contrast_coverage_v1	inhibitory	Inh CUX2 MSR1	Male	e2	AD_vs_NCI	5	322	342	3	5	2	4	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	inhibitory	Inh CUX2 MSR1	Male	e33	AD_vs_NCI	5	5009	1592	43	17	33	11	TRUE	TRUE	
descriptive_contrast_coverage_v1	inhibitory	Inh CUX2 MSR1	Male	e4	AD_vs_NCI	5	534	1387	6	18	5	11	TRUE	TRUE	
descriptive_contrast_coverage_v1	inhibitory	Inh ENOX2 SPHKAP	Female	e2	AD_vs_NCI	5	524	119	11	3	4	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	inhibitory	Inh ENOX2 SPHKAP	Female	e33	AD_vs_NCI	5	1545	1059	32	19	10	6	TRUE	TRUE	
descriptive_contrast_coverage_v1	inhibitory	Inh ENOX2 SPHKAP	Female	e4	AD_vs_NCI	5	423	552	9	13	2	1	TRUE	FALSE	
