schema_version	rds_id	cell_type_high_resolution	sex	apoe_group	diagnosis	nuclei	donors	median_nCount_RNA	median_nFeature_RNA	median_nCount_MT	median_percent_mt	q25_percent_mt	q75_percent_mt	median_nFeature_MT	median_percent_mitocarta	zero_mt_nuclei	zero_mt_fraction	robust_flagged_nuclei	robust_flagged_fraction	donor_celltype_samples	median_nuclei_per_donor	q25_nuclei_per_donor	q75_nuclei_per_donor	primary_eligible_donors	sensitivity_eligible_donors	primary_ineligible_donors	sensitivity_ineligible_donors	group_has_nuclei	primary_side_eligible	sensitivity_side_eligible	minimum_donors_per_contrast_side
descriptive_group_coverage_v1	oligodendrocytes	Oli	Female	e2	AD	11733	8	5078	2279	46	1.03285038014632	0.530937308556259	1.77287973167226	9	4.95118549511855	25	0.00213074235063496	224	0.0190914514616893	8	1347	412.25	1883.25	8	8	0	0	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	oligodendrocytes	Oli	Female	e2	NCI	21373	17	2853	1571	27	1.07850070721358	0.509229789942712	2.07244548567309	9	5.02982107355865	103	0.00481916436625649	894	0.0418284751789641	17	1340	508	1893	17	17	0	0	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	oligodendrocytes	Oli	Female	e33	AD	67094	37	3520	1811	28	0.931154454815694	0.442098146685385	1.77219896117506	9	5.01981505944518	483	0.00719885533728798	2044	0.0304647211375086	37	1493	917	2506	37	37	0	0	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	oligodendrocytes	Oli	Female	e33	NCI	75904	45	3825	1923	28	0.780212014757751	0.333492139113864	1.57518974074167	9	4.73075438337727	807	0.0106318507588533	1715	0.0225943296795953	45	1510	927	2496	45	45	0	0	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	oligodendrocytes	Oli	Female	e4	AD	45666	26	4083	1993	28	0.762506468254264	0.319349144702639	1.56588708725407	9	4.71551711913161	439	0.00961327902597118	1116	0.0244383129680725	26	1325.5	824.5	2804	26	26	0	0	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	oligodendrocytes	Oli	Female	e4	NCI	27181	11	3979	2015	32	0.839407996465651	0.363876943433675	1.71448565430371	9	4.88736158839252	103	0.00378941172142305	824	0.0303152937713844	11	2018	1638.5	2744	11	11	0	0	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	oligodendrocytes	Oli	Male	e2	AD	9717	7	3142	1694	24	0.7995873097756	0.375547673690799	1.49013290374547	8	4.69934310257706	72	0.00740969435010806	243	0.0250077184316147	7	1068	600	1844.5	7	7	0	0	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	oligodendrocytes	Oli	Male	e2	NCI	5807	6	1631	1021	21	1.32450331125828	0.653747408974488	2.32726457003286	8	5.31067445565587	55	0.0094713277079387	290	0.0499397279145858	6	698.5	360.25	945.25	6	6	0	0	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	oligodendrocytes	Oli	Male	e33	AD	35873	29	3735	1889	30	0.878828229027963	0.381575361133824	1.73130193905817	9	4.78915662650602	255	0.00710841022496028	975	0.0271792155660246	29	687	510	1610	28	28	1	1	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	oligodendrocytes	Oli	Male	e33	NCI	94184	53	2990	1657	23	0.835564131920235	0.37663850206895	1.64786397349941	8	4.83870967741935	774	0.00821795634077975	2178	0.0231249469124267	53	1410	814	2293	53	53	0	0	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	oligodendrocytes	Oli	Male	e4	AD	37526	27	3812	1937	29	0.890570180002233	0.389935092816557	1.74670938808819	9	4.95847482726583	269	0.00716836326813409	1101	0.0293396578372329	27	1324	504.5	1994.5	27	26	0	1	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	oligodendrocytes	Oli	Male	e4	NCI	15559	10	3531	1840	23	0.764759865402264	0.348513029966129	1.47470320245802	8	4.83367983367983	259	0.0166463140304647	290	0.018638729995501	10	1425.5	426.5	2295	10	10	0	0	TRUE	TRUE	TRUE	5
