schema_version	broad_network	network_display_order	key_driver	signature_group	sex	apoe_group	signature_direction	candidate_runs_tested	eligible_runs	ranking_coverage_fraction	significant_runs	significant_run_fraction	mean_minus_log10_p	negative_log10_p_sum
phase12_kda_candidate_group_summary_v1	Astrocytes	1	ANKRD11	F_e2	Female	e2	AD_up_mito	3	3	1	0	0	0.182431949110913	0.547295847332739
phase12_kda_candidate_group_summary_v1	Astrocytes	1	ANKRD11	F_e33	Female	e33	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	ANKRD11	F_e4	Female	e4	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	ANKRD11	M_e2	Male	e2	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	ANKRD11	M_e33	Male	e33	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	ANKRD11	M_e4	Male	e4	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	ANKRD11	F_e2	Female	e2	AD_down_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	ANKRD11	F_e33	Female	e33	AD_down_mito	2	2	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	ANKRD11	F_e4	Female	e4	AD_down_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	ANKRD11	M_e2	Male	e2	AD_down_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	ANKRD11	M_e33	Male	e33	AD_down_mito	2	2	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	ANKRD11	M_e4	Male	e4	AD_down_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	APOE	F_e2	Female	e2	AD_up_mito	3	3	1	1	0.333333333333333	2.49900300989352	7.49700902968055
phase12_kda_candidate_group_summary_v1	Astrocytes	1	APOE	F_e33	Female	e33	AD_up_mito	3	3	1	0	0	0.488078096624379	1.46423428987314
phase12_kda_candidate_group_summary_v1	Astrocytes	1	APOE	F_e4	Female	e4	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	APOE	M_e2	Male	e2	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	APOE	M_e33	Male	e33	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	APOE	M_e4	Male	e4	AD_up_mito	3	3	1	0	0	0.518856708254349	1.55657012476305
phase12_kda_candidate_group_summary_v1	Astrocytes	1	APOE	F_e2	Female	e2	AD_down_mito	3	3	1	0	0	0.397202126916634	1.1916063807499
phase12_kda_candidate_group_summary_v1	Astrocytes	1	APOE	F_e33	Female	e33	AD_down_mito	2	2	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	APOE	F_e4	Female	e4	AD_down_mito	3	3	1	0	0	0.43159794121735	1.29479382365205
phase12_kda_candidate_group_summary_v1	Astrocytes	1	APOE	M_e2	Male	e2	AD_down_mito	3	3	1	2	0.666666666666667	3.68463407952529	11.0539022385759
phase12_kda_candidate_group_summary_v1	Astrocytes	1	APOE	M_e33	Male	e33	AD_down_mito	2	2	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	APOE	M_e4	Male	e4	AD_down_mito	3	3	1	1	0.333333333333333	1.65766160522292	4.97298481566877
phase12_kda_candidate_group_summary_v1	Astrocytes	1	BEX3	F_e2	Female	e2	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	BEX3	F_e33	Female	e33	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	BEX3	F_e4	Female	e4	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	BEX3	M_e2	Male	e2	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	BEX3	M_e33	Male	e33	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	BEX3	M_e4	Male	e4	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	BEX3	F_e2	Female	e2	AD_down_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	BEX3	F_e33	Female	e33	AD_down_mito	2	2	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	BEX3	F_e4	Female	e4	AD_down_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	BEX3	M_e2	Male	e2	AD_down_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	BEX3	M_e33	Male	e33	AD_down_mito	2	2	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	BEX3	M_e4	Male	e4	AD_down_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	FTL	F_e2	Female	e2	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	FTL	F_e33	Female	e33	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	FTL	F_e4	Female	e4	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	FTL	M_e2	Male	e2	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	FTL	M_e33	Male	e33	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	FTL	M_e4	Male	e4	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	FTL	F_e2	Female	e2	AD_down_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	FTL	F_e33	Female	e33	AD_down_mito	2	2	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	FTL	F_e4	Female	e4	AD_down_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	FTL	M_e2	Male	e2	AD_down_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	FTL	M_e33	Male	e33	AD_down_mito	2	2	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	FTL	M_e4	Male	e4	AD_down_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	GABARAPL2	F_e2	Female	e2	AD_up_mito	3	3	1	0	0	0.452301477695723	1.35690443308717
phase12_kda_candidate_group_summary_v1	Astrocytes	1	GABARAPL2	F_e33	Female	e33	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	GABARAPL2	F_e4	Female	e4	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	GABARAPL2	M_e2	Male	e2	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	GABARAPL2	M_e33	Male	e33	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	GABARAPL2	M_e4	Male	e4	AD_up_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	GABARAPL2	F_e2	Female	e2	AD_down_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	GABARAPL2	F_e33	Female	e33	AD_down_mito	2	2	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	GABARAPL2	F_e4	Female	e4	AD_down_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	GABARAPL2	M_e2	Male	e2	AD_down_mito	3	3	1	0	0	0.973482475156081	2.92044742546824
phase12_kda_candidate_group_summary_v1	Astrocytes	1	GABARAPL2	M_e33	Male	e33	AD_down_mito	2	2	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	GABARAPL2	M_e4	Male	e4	AD_down_mito	3	3	1	0	0	0	0
phase12_kda_candidate_group_summary_v1	Astrocytes	1	HSPA1A	F_e2	Female	e2	AD_up_mito	3	3	1	0	0	0.631034848632148	1.89310454589644
phase12_kda_candidate_group_summary_v1	Astrocytes	1	HSPA1A	F_e33	Female	e33	AD_up_mito	3	3	1	0	0	0.710769428070266	2.1323082842108
phase12_kda_candidate_group_summary_v1	Astrocytes	1	HSPA1A	F_e4	Female	e4	AD_up_mito	3	3	1	0	0	0.613274599585751	1.83982379875725
phase12_kda_candidate_group_summary_v1	Astrocytes	1	HSPA1A	M_e2	Male	e2	AD_up_mito	3	3	1	0	0	0.38888412813919	1.16665238441757
phase12_kda_candidate_group_summary_v1	Astrocytes	1	HSPA1A	M_e33	Male	e33	AD_up_mito	3	3	1	0	0	0	0
