schema_version	check	passed	observed	expected	detail
broad_deg_checks_v1	manifest_has_expected_rows	TRUE	42	42	
broad_deg_checks_v1	manifest_keys_unique	TRUE	0	0	
broad_deg_checks_v1	expected_broad_cells	TRUE	7	7	
broad_deg_checks_v1	six_groups_per_broad	TRUE	6;6;6;6;6;6;6	6	
broad_deg_checks_v1	one_terminal_status_per_manifest	TRUE	42	42	
broad_deg_checks_v1	no_failed_contrasts	TRUE	0	0	
broad_deg_checks_v1	allowed_terminal_statuses	TRUE	not_estimable;validated_complete	validated_complete;not_estimable	
broad_deg_checks_v1	result_keys_unique	TRUE	0	0	
broad_deg_checks_v1	completed_sets_have_results	TRUE	40	40	
broad_deg_checks_v1	completed_sets_have_up_and_down_ranked_genes	TRUE	9527/10215;9413/10329;8818/10924;9152/10590;8290/11452;10106/9636;12395/14114;12997/13512;12517/13992;12464/14045;13415/13094;12406/14103;11062/12074;10953/12183;10663/12473;12345/10791;10498/12638;10615/12521;7561/8167;7472/8256;7086/8642;8918/6810;6827/8901;7860/7868;8532/9846;9100/9278;8691/9687;9398/8980;7350/11028;9682/8696;11612/10538;10850/11300;10064/12086;11523/10627;9610/12540;10892/11258;4075/4021;3761/4335;3814/4282;3725/4371	at_least_one_each_direction	
broad_deg_checks_v1	p_values_valid	TRUE	0	0	
broad_deg_checks_v1	within_q_values_reproduce	TRUE	TRUE	TRUE	
broad_deg_checks_v1	global_q_values_reproduce	TRUE	TRUE	TRUE	
broad_deg_checks_v1	signature_flags_reproduce	TRUE	TRUE	TRUE	
broad_deg_checks_v1	strict_signature_members_reproduce	TRUE	1636	1636	
broad_deg_checks_v1	relaxed_signature_members_reproduce	TRUE	2336	2336	
broad_deg_checks_v1	exploratory_signature_members_reproduce	TRUE	4113	4113	
broad_deg_checks_v1	handoff_is_core_mito_only	TRUE	core_mito_protein	core_mito_protein	
broad_deg_checks_v1	all_genes_retained_before_filtering	TRUE	786242/4113	full_at_least_filtered	
broad_deg_checks_v1	physical_result_set_count	TRUE	42	42	
broad_deg_checks_v1	all_contrasts_in_filter_funnel	TRUE	42	42	
broad_deg_checks_v1	sample_keys_unique	TRUE	0	0	
broad_deg_checks_v1	one_sample_per_donor_broad	TRUE	0	0	
broad_deg_checks_v1	all_count_conservation_passed	TRUE	0	0	
broad_deg_checks_v1	fine_composition_conserves_broad_nuclei	TRUE	0	0	
broad_deg_checks_v1	sensitivity_status_validated	TRUE	validated_complete	validated_complete	
broad_deg_checks_v1	sensitivity_checks_passed	TRUE	0	0	
broad_deg_checks_v1	sensitivity_summary_covers_manifest	TRUE	42	42	
broad_deg_checks_v1	sensitivity_result_keys_unique	TRUE	0	0	
broad_deg_checks_v1	all_stage_statuses_validated	TRUE	validated_complete;validated_complete;validated_complete;validated_complete	validated_complete;validated_complete;validated_complete;validated_complete	
