schema_version	manifest_row	contrast_id	broad_cell_type	group_id	terminal_status	signature_tier	direction	tested_genes	deg_genes	core_mito_deg_genes	mtdna_deg_genes
broad_deg_filter_funnel_v1	1	Astrocytes::AD_vs_NCI__Female__e2	Astrocytes	F_e2	validated_complete	strict	AD_up	19742	0	0	0
broad_deg_filter_funnel_v1	1	Astrocytes::AD_vs_NCI__Female__e2	Astrocytes	F_e2	validated_complete	strict	AD_down	19742	0	0	0
broad_deg_filter_funnel_v1	1	Astrocytes::AD_vs_NCI__Female__e2	Astrocytes	F_e2	validated_complete	relaxed	AD_up	19742	0	0	0
broad_deg_filter_funnel_v1	1	Astrocytes::AD_vs_NCI__Female__e2	Astrocytes	F_e2	validated_complete	relaxed	AD_down	19742	0	0	0
broad_deg_filter_funnel_v1	1	Astrocytes::AD_vs_NCI__Female__e2	Astrocytes	F_e2	validated_complete	exploratory	AD_up	19742	2	0	0
broad_deg_filter_funnel_v1	1	Astrocytes::AD_vs_NCI__Female__e2	Astrocytes	F_e2	validated_complete	exploratory	AD_down	19742	10	0	0
broad_deg_filter_funnel_v1	2	Astrocytes::AD_vs_NCI__Female__e33	Astrocytes	F_e33	validated_complete	strict	AD_up	19742	14	1	1
broad_deg_filter_funnel_v1	2	Astrocytes::AD_vs_NCI__Female__e33	Astrocytes	F_e33	validated_complete	strict	AD_down	19742	25	0	0
broad_deg_filter_funnel_v1	2	Astrocytes::AD_vs_NCI__Female__e33	Astrocytes	F_e33	validated_complete	relaxed	AD_up	19742	23	1	1
broad_deg_filter_funnel_v1	2	Astrocytes::AD_vs_NCI__Female__e33	Astrocytes	F_e33	validated_complete	relaxed	AD_down	19742	48	1	0
broad_deg_filter_funnel_v1	2	Astrocytes::AD_vs_NCI__Female__e33	Astrocytes	F_e33	validated_complete	exploratory	AD_up	19742	71	5	2
broad_deg_filter_funnel_v1	2	Astrocytes::AD_vs_NCI__Female__e33	Astrocytes	F_e33	validated_complete	exploratory	AD_down	19742	113	4	0
broad_deg_filter_funnel_v1	3	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	validated_complete	strict	AD_up	19742	12	0	0
broad_deg_filter_funnel_v1	3	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	validated_complete	strict	AD_down	19742	253	11	0
broad_deg_filter_funnel_v1	3	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	validated_complete	relaxed	AD_up	19742	30	2	0
