schema_version	coverage_threshold	support_run_q_threshold	category_q_threshold	candidate_count	categories_with_candidate	top5_display_count	top10_display_count
phase20_sex_apoe_non_mt_kda_v2_threshold_grid_v1	0.5	0.05	0.05	63	15	45	54
phase20_sex_apoe_non_mt_kda_v2_threshold_grid_v1	0.5	0.05	0.1	74	16	48	63
phase20_sex_apoe_non_mt_kda_v2_threshold_grid_v1	0.5	0.05	0.2	89	17	54	72
phase20_sex_apoe_non_mt_kda_v2_threshold_grid_v1	0.5	0.1	0.05	63	15	45	54
phase20_sex_apoe_non_mt_kda_v2_threshold_grid_v1	0.5	0.1	0.1	74	16	48	63
phase20_sex_apoe_non_mt_kda_v2_threshold_grid_v1	0.5	0.1	0.2	89	17	54	72
phase20_sex_apoe_non_mt_kda_v2_threshold_grid_v1	0.8	0.05	0.05	58	15	43	51
phase20_sex_apoe_non_mt_kda_v2_threshold_grid_v1	0.8	0.05	0.1	71	16	49	63
phase20_sex_apoe_non_mt_kda_v2_threshold_grid_v1	0.8	0.05	0.2	83	17	53	69
phase20_sex_apoe_non_mt_kda_v2_threshold_grid_v1	0.8	0.1	0.05	58	15	43	51
phase20_sex_apoe_non_mt_kda_v2_threshold_grid_v1	0.8	0.1	0.1	71	16	49	63
phase20_sex_apoe_non_mt_kda_v2_threshold_grid_v1	0.8	0.1	0.2	83	17	53	69
phase20_sex_apoe_non_mt_kda_v2_threshold_grid_v1	1.0	0.05	0.05	50	15	40	47
phase20_sex_apoe_non_mt_kda_v2_threshold_grid_v1	1.0	0.05	0.1	59	16	45	54
phase20_sex_apoe_non_mt_kda_v2_threshold_grid_v1	1.0	0.05	0.2	83	18	53	70
phase20_sex_apoe_non_mt_kda_v2_threshold_grid_v1	1.0	0.1	0.05	50	15	40	47
phase20_sex_apoe_non_mt_kda_v2_threshold_grid_v1	1.0	0.1	0.1	59	16	45	54
phase20_sex_apoe_non_mt_kda_v2_threshold_grid_v1	1.0	0.1	0.2	83	18	53	70
