schema_version	signature_group	sex	apoe_group	broad_network	current_symbol	case_id	is_core_mito	eligible_run_count	usable_run_count	explicit_run_count	implicit_run_count	missing_run_count	coverage_numerator	coverage_denominator	coverage_fraction	strict_coverage_pass	relaxed_coverage_pass	conservative_support_count	relaxed_support_count	conservative_support_pass	relaxed_support_pass	recurrence_fraction	supporting_fine_cell_type_count	supporting_fine_cell_types	supporting_direction_count	supporting_directions	median_support_fold_enrichment	maximum_support_fold_enrichment	category_acat_p	relaxed_category_acat_q	strict_category_acat_q	studywide_acat_q	missing_as_one_acat_p	missing_as_one_acat_q	mean_log_p_score	strict_non_mt_reference	relaxed_phase20_candidate	exploratory_q20	exploratory_inclusive	terminal_candidate_status	strict_rank	relaxed_rank	exploratory_inclusive_rank	top5_summary	top10_display	stability_assessable_repetitions	stability_nominal_fraction	stability_q_fraction	stability_candidate_fraction	stability_worst_rank	evidence_label	list_status
phase20_sex_apoe_non_mt_kda_v2_top5_summary_v1	F_e2	Female	e2	Astrocytes	RPL11	non_mt_driver	FALSE	6	6	3	3	0	6	6	1.0	TRUE	TRUE	1	1	TRUE	TRUE	0.16666666666666666	1	Ast GRM3	1	AD_up_mito	33.52	33.52	8.35698621686036e-08	0.0005002491949412612	0.00042595558747337257	0.001393037971040192	8.35698621686036e-08	0.0005002491949412612	1.5043584654981712	TRUE	TRUE	FALSE	TRUE	driver_candidate	1	1	1	TRUE	TRUE	3	0.6666666666666666	0.6666666666666666	0.6666666666666666	1	strict_non_mt_reference	ranked_candidates
phase20_sex_apoe_non_mt_kda_v2_top5_summary_v1	F_e2	Female	e2	Astrocytes	RPL15	non_mt_driver	FALSE	6	6	3	3	0	6	6	1.0	TRUE	TRUE	1	1	TRUE	TRUE	0.16666666666666666	1	Ast GRM3	1	AD_up_mito	20.69	20.69	2.0119788396664015e-05	0.043496613054611825	0.03703679197115878	0.08536935961004886	2.0119788396664015e-05	0.043496613054611825	1.1961653283924962	TRUE	TRUE	FALSE	TRUE	driver_candidate	2	2	2	TRUE	TRUE	3	1.0	0.6666666666666666	0.6666666666666666	2	strict_non_mt_reference	ranked_candidates
phase20_sex_apoe_non_mt_kda_v2_top5_summary_v1	F_e2	Female	e2	Astrocytes	RPLP1	non_mt_driver	FALSE	6	6	3	3	0	6	6	1.0	TRUE	TRUE	1	1	TRUE	TRUE	0.16666666666666666	1	Ast GRM3	1	AD_up_mito	13.97	13.97	2.1799171260246486e-05	0.043496613054611825	0.03703679197115878	0.08924963155545969	2.1799171260246486e-05	0.043496613054611825	1.0415916179075375	TRUE	TRUE	FALSE	TRUE	driver_candidate	3	3	3	TRUE	TRUE	3	0.6666666666666666	0.6666666666666666	0.6666666666666666	3	strict_non_mt_reference	ranked_candidates
phase20_sex_apoe_non_mt_kda_v2_top5_summary_v1	F_e2	Female	e2	Astrocytes	FAU	non_mt_driver	FALSE	6	4	2	2	2	4	6	0.6666666666666666	FALSE	TRUE	1	1	TRUE	TRUE	0.25	1	Ast GRM3	1	AD_up_mito	9.42	9.42	3.113197674848632e-05	0.04658900320410978	NA	0.11910175655476649	4.669797435598128e-05	0.06988351862372598	1.9220722867625941	FALSE	TRUE	FALSE	TRUE	driver_candidate	NA	4	4	TRUE	TRUE	3	1.0	0.6666666666666666	0.6666666666666666	4	relaxed_phase20_candidate	ranked_candidates
phase20_sex_apoe_non_mt_kda_v2_top5_summary_v1	F_e2	Female	e2	Excitatory_neurons	RPL11	non_mt_driver	FALSE	20	20	11	9	0	20	20	1.0	TRUE	TRUE	5	6	TRUE	TRUE	0.3	6	Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	1	AD_up_mito	10.120000000000001	13.05	8.703112277114765e-12	7.741418370493583e-08	7.24360034824262e-08	6.770093019619062e-07	8.703112277114765e-12	7.741418370493583e-08	2.4830163296561394	TRUE	TRUE	FALSE	TRUE	driver_candidate	1	1	1	TRUE	TRUE	12	1.0	1.0	1.0	1	recurrent_stable	ranked_candidates
phase20_sex_apoe_non_mt_kda_v2_top5_summary_v1	F_e2	Female	e2	Excitatory_neurons	SELENOW	non_mt_driver	FALSE	20	20	9	11	0	20	20	1.0	TRUE	TRUE	5	5	TRUE	TRUE	0.25	5	Exc L3-4 RORB CUX2|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	1	AD_up_mito	14.9	16.28	1.9459831046579317e-08	8.654759857966151e-05	8.098208690033983e-05	0.00045413018516781225	1.9459831046579317e-08	8.654759857966151e-05	1.757943975326461	TRUE	TRUE	FALSE	TRUE	driver_candidate	2	2	2	TRUE	TRUE	12	1.0	1.0	1.0	4	recurrent_stable	ranked_candidates
phase20_sex_apoe_non_mt_kda_v2_top5_summary_v1	F_e2	Female	e2	Excitatory_neurons	RPS13	non_mt_driver	FALSE	20	20	11	9	0	20	20	1.0	TRUE	TRUE	3	3	TRUE	TRUE	0.15	3	Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	1	AD_up_mito	14.54	16.45	5.390577118446358e-08	0.00015983061156193452	0.0001495525778560968	0.0009676832315212229	5.390577118446358e-08	0.00015983061156193452	1.1063354139736414	TRUE	TRUE	FALSE	TRUE	driver_candidate	3	3	3	TRUE	TRUE	12	1.0	1.0	1.0	3	recurrent_stable	ranked_candidates
phase20_sex_apoe_non_mt_kda_v2_top5_summary_v1	F_e2	Female	e2	Excitatory_neurons	TMEM147	non_mt_driver	FALSE	20	18	9	9	2	18	20	0.9	TRUE	TRUE	6	6	TRUE	TRUE	0.3333333333333333	6	Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	1	AD_up_mito	23.950000000000003	42.06	1.2831930186030368e-06	0.002853500475118503	0.0026700038734582686	0.013394818830570518	1.425770087254355e-06	0.003170556231531872	2.0712929991732665	TRUE	TRUE	FALSE	TRUE	driver_candidate	4	4	4	TRUE	TRUE	12	1.0	1.0	1.0	5	recurrent_stable	ranked_candidates
phase20_sex_apoe_non_mt_kda_v2_top5_summary_v1	F_e2	Female	e2	Excitatory_neurons	RPL6	non_mt_driver	FALSE	20	20	11	9	0	20	20	1.0	TRUE	TRUE	4	4	TRUE	TRUE	0.2	4	Exc L3-4 RORB CUX2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	1	AD_up_mito	25.825000000000003	40.97	7.063996720278443e-06	0.012566850165375352	0.011758728940575497	0.03833746015390557	7.063996720278443e-06	0.012566850165375352	1.0359920275413357	TRUE	TRUE	FALSE	TRUE	driver_candidate	5	5	5	TRUE	TRUE	12	1.0	1.0	1.0	6	recurrent_stable	ranked_candidates
phase20_sex_apoe_non_mt_kda_v2_top5_summary_v1	F_e2	Female	e2	Inhibitory_neurons	NA	non_mt_driver	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no_passing_candidate	no_passing_candidate
phase20_sex_apoe_non_mt_kda_v2_top5_summary_v1	F_e2	Female	e2	Microglia	NA	non_mt_driver	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no_passing_candidate	no_passing_candidate
phase20_sex_apoe_non_mt_kda_v2_top5_summary_v1	F_e2	Female	e2	OPCs	NA	non_mt_driver	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no_passing_candidate	no_passing_candidate
phase20_sex_apoe_non_mt_kda_v2_top5_summary_v1	F_e2	Female	e2	Oligodendrocytes	NA	non_mt_driver	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no_passing_candidate	no_passing_candidate
phase20_sex_apoe_non_mt_kda_v2_top5_summary_v1	F_e2	Female	e2	Vasculature_cells	NA	non_mt_driver	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	not_estimable_no_included_runs	not_estimable_no_included_runs
phase20_sex_apoe_non_mt_kda_v2_top5_summary_v1	F_e33	Female	e33	Astrocytes	NA	non_mt_driver	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no_passing_candidate	no_passing_candidate
