schema_version	check_id	severity	observed	expected	passed
phase20_sex_apoe_non_mt_kda_v1_checks_v1	phase18_source_status	error	validated_complete	validated_complete	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	phase18_blocking_checks	error	0	0	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	phase18_recorded_hash_candidate_tests	error	d7a8dea0ef3e6098e8c4f58a388a7af98ea547c111fd5802d0c39574c09a44b8	d7a8dea0ef3e6098e8c4f58a388a7af98ea547c111fd5802d0c39574c09a44b8	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	phase18_recorded_hash_run_manifest	error	95a596d5e7a98dcfc7fe09f57f11156fa1a78534a36549a5e854d2ce79e43fc1	95a596d5e7a98dcfc7fe09f57f11156fa1a78534a36549a5e854d2ce79e43fc1	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	phase18_recorded_hash_source_checks	error	463ed53c814a1c45a0981544cffaf56ddcb48d40848be8392bb2583acc86a34b	463ed53c814a1c45a0981544cffaf56ddcb48d40848be8392bb2583acc86a34b	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	input_snapshot_identity_candidate_tests	error	TRUE	TRUE	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	input_snapshot_identity_run_manifest	error	TRUE	TRUE	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	input_snapshot_identity_source_checks	error	TRUE	TRUE	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	included_run_count	error	161	161	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	structural_category_count	error	42	42	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	analyzable_category_count	error	27	27	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	empty_category_count	error	15	15	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	category_run_count_sum	error	161	161	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	candidate_test_row_count	error	1463150	1463150	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	candidate_test_run_set	error	161	161	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	phase18_parity_aggregate_rows	error	49618	49618	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	phase18_parity_field_mismatches	error	0	0	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	phase18_parity_candidates	error	109	109	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	phase18_parity_top5_flags	error	63	63	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	strict_candidates	error	64	64	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	strict_top5	error	45	45	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	strict_top10	error	56	56	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	strict_categories	error	14	14	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	relaxed_candidates	error	78	78	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	relaxed_top5	error	50	50	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	relaxed_top10	error	65	65	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	relaxed_categories	error	15	15	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	exploratory_inclusive_candidates	error	94	94	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	exploratory_inclusive_top5	error	53	53	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	exploratory_inclusive_top10	error	75	75	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	exploratory_inclusive_categories	error	17	17	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	non_mt_only_aggregate_rows	error	TRUE	TRUE	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	aggregate_unit_uniqueness	error	196174	196174	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	category_denominator_matches_manifest	error	TRUE	TRUE	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	candidate_ranks_unique	error	TRUE	TRUE	TRUE
phase20_sex_apoe_non_mt_kda_v1_checks_v1	top10_display_cap	error	10	<=10	TRUE
