schema_version	scope	signature_group	broad_network	stage_order	stage_id	input_count	retained_count	removed_at_stage
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Inhibitory_neurons	2	coverage_at_least_0_50	8330	7711	619
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Inhibitory_neurons	3	relaxed_run_support	7711	10	7701
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Inhibitory_neurons	4	category_q_at_most_0_10	10	0	10
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Microglia	1	input_non_mt_units	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Microglia	2	coverage_at_least_0_50	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Microglia	3	relaxed_run_support	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Microglia	4	category_q_at_most_0_10	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	OPCs	1	input_non_mt_units	6982	6982	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	OPCs	2	coverage_at_least_0_50	6982	6593	389
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	OPCs	3	relaxed_run_support	6593	4	6589
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	OPCs	4	category_q_at_most_0_10	4	3	1
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Oligodendrocytes	1	input_non_mt_units	5424	5424	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Oligodendrocytes	2	coverage_at_least_0_50	5424	4899	525
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Oligodendrocytes	3	relaxed_run_support	4899	0	4899
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Oligodendrocytes	4	category_q_at_most_0_10	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Vasculature_cells	1	input_non_mt_units	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Vasculature_cells	2	coverage_at_least_0_50	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Vasculature_cells	3	relaxed_run_support	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Vasculature_cells	4	category_q_at_most_0_10	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Astrocytes	1	input_non_mt_units	6931	6931	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Astrocytes	2	coverage_at_least_0_50	6931	6413	518
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Astrocytes	3	relaxed_run_support	6413	7	6406
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Astrocytes	4	category_q_at_most_0_10	7	1	6
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Excitatory_neurons	1	input_non_mt_units	9101	9101	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Excitatory_neurons	2	coverage_at_least_0_50	9101	8806	295
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Excitatory_neurons	3	relaxed_run_support	8806	33	8773
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Excitatory_neurons	4	category_q_at_most_0_10	33	9	24
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Inhibitory_neurons	1	input_non_mt_units	8330	8330	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Inhibitory_neurons	2	coverage_at_least_0_50	8330	7425	905
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Inhibitory_neurons	3	relaxed_run_support	7425	18	7407
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Inhibitory_neurons	4	category_q_at_most_0_10	18	1	17
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Microglia	1	input_non_mt_units	5157	5157	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Microglia	2	coverage_at_least_0_50	5157	4636	521
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Microglia	3	relaxed_run_support	4636	0	4636
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Microglia	4	category_q_at_most_0_10	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	OPCs	1	input_non_mt_units	6982	6982	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	OPCs	2	coverage_at_least_0_50	6982	6809	173
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	OPCs	3	relaxed_run_support	6809	7	6802
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	OPCs	4	category_q_at_most_0_10	7	0	7
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Oligodendrocytes	1	input_non_mt_units	5424	5424	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Oligodendrocytes	2	coverage_at_least_0_50	5424	5169	255
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Oligodendrocytes	3	relaxed_run_support	5169	0	5169
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Oligodendrocytes	4	category_q_at_most_0_10	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Vasculature_cells	1	input_non_mt_units	4385	4385	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Vasculature_cells	2	coverage_at_least_0_50	4385	3748	637
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Vasculature_cells	3	relaxed_run_support	3748	1	3747
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e4	Vasculature_cells	4	category_q_at_most_0_10	1	0	1
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Astrocytes	1	input_non_mt_units	6931	6931	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Astrocytes	2	coverage_at_least_0_50	6931	5468	1463
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Astrocytes	3	relaxed_run_support	5468	13	5455
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Astrocytes	4	category_q_at_most_0_10	13	5	8
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Excitatory_neurons	1	input_non_mt_units	9101	9101	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Excitatory_neurons	2	coverage_at_least_0_50	9101	8746	355
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Excitatory_neurons	3	relaxed_run_support	8746	88	8658
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Excitatory_neurons	4	category_q_at_most_0_10	88	20	68
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Inhibitory_neurons	1	input_non_mt_units	8330	8330	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Inhibitory_neurons	2	coverage_at_least_0_50	8330	7606	724
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Inhibitory_neurons	3	relaxed_run_support	7606	33	7573
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Inhibitory_neurons	4	category_q_at_most_0_10	33	3	30
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Microglia	1	input_non_mt_units	5157	5157	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Microglia	2	coverage_at_least_0_50	5157	3778	1379
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Microglia	3	relaxed_run_support	3778	1	3777
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Microglia	4	category_q_at_most_0_10	1	0	1
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	OPCs	1	input_non_mt_units	6982	6982	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	OPCs	2	coverage_at_least_0_50	6982	6302	680
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	OPCs	3	relaxed_run_support	6302	12	6290
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	OPCs	4	category_q_at_most_0_10	12	5	7
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Oligodendrocytes	1	input_non_mt_units	5424	5424	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Oligodendrocytes	2	coverage_at_least_0_50	5424	4321	1103
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Oligodendrocytes	3	relaxed_run_support	4321	6	4315
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Oligodendrocytes	4	category_q_at_most_0_10	6	1	5
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Vasculature_cells	1	input_non_mt_units	4385	4385	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Vasculature_cells	2	coverage_at_least_0_50	4385	3409	976
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Vasculature_cells	3	relaxed_run_support	3409	0	3409
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e2	Vasculature_cells	4	category_q_at_most_0_10	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Astrocytes	1	input_non_mt_units	6931	6931	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Astrocytes	2	coverage_at_least_0_50	6931	5694	1237
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Astrocytes	3	relaxed_run_support	5694	2	5692
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Astrocytes	4	category_q_at_most_0_10	2	0	2
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Excitatory_neurons	1	input_non_mt_units	9101	9101	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Excitatory_neurons	2	coverage_at_least_0_50	9101	8655	446
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Excitatory_neurons	3	relaxed_run_support	8655	34	8621
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Excitatory_neurons	4	category_q_at_most_0_10	34	1	33
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Inhibitory_neurons	1	input_non_mt_units	8330	8330	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Inhibitory_neurons	2	coverage_at_least_0_50	8330	7705	625
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Inhibitory_neurons	3	relaxed_run_support	7705	6	7699
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Inhibitory_neurons	4	category_q_at_most_0_10	6	0	6
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Microglia	1	input_non_mt_units	5157	5157	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Microglia	2	coverage_at_least_0_50	5157	4092	1065
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Microglia	3	relaxed_run_support	4092	2	4090
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Microglia	4	category_q_at_most_0_10	2	2	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	OPCs	1	input_non_mt_units	6982	6982	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	OPCs	2	coverage_at_least_0_50	6982	6328	654
