schema_version	broad_network	key_driver	significant_runs	fine_cell_types	primary_runs	secondary_runs	global_calls	minimum_adjusted_p_value	maximum_fold_enrichment	eligible_primary_runs	eligible_secondary_runs	eligible_runs	eligible_fine_cell_types	recurrence_fraction	primary_recurrence_fraction	secondary_recurrence_fraction	fine_cell_coverage_fraction	global_call_fraction	minus_log10_minimum_adjusted_p	log2_maximum_fold_enrichment	minimum_adjusted_p_strength	maximum_fold_enrichment_strength	sector_id	network_color	display_network	selection_rank
mitochondrial_kda_key_driver_summary_v1	Inhibitory_neurons	MT-CYB	193	20	75	118	11	7.00560560781497e-14	1318.5	164	203	367	21	0.525885558583106	0.457317073170732	0.58128078817734	0.952380952380952	0.0569948186528497	13.1545543156582	10.3646818558646	0.526182172626328	0.863723487988713	driver_017	#0072B2	Inhibitory neurons	2
mitochondrial_kda_key_driver_summary_v1	Inhibitory_neurons	MT-ND5	190	20	74	116	3	1.02510105878756e-13	1010.5	164	203	367	21	0.517711171662125	0.451219512195122	0.571428571428571	0.952380952380952	0.0157894736842105	12.9892333179152	9.98085360637974	0.519569332716609	0.831737800531645	driver_018	#0072B2	Inhibitory neurons	3
mitochondrial_kda_key_driver_summary_v1	Inhibitory_neurons	MT-CO3	176	20	68	108	0	8.86380115058233e-14	578.2	164	203	367	21	0.479564032697548	0.414634146341463	0.532019704433498	0.952380952380952	0	13.052379995415	9.17542479858969	0.5220951998166	0.764618733215807	driver_019	#0072B2	Inhibitory neurons	4
mitochondrial_kda_key_driver_summary_v1	Inhibitory_neurons	MT-ND1	175	20	67	108	0	1.54562000538756e-09	2168.25	164	203	367	21	0.476839237057221	0.408536585365854	0.532019704433498	0.952380952380952	0	8.81089726969851	11.0823153941982	0.35243589078794	0.92352628284985	driver_020	#0072B2	Inhibitory neurons	5
mitochondrial_kda_key_driver_summary_v1	Microglia	MT-CO2	31	2	12	19	31	1.33777469591322e-19	516.5	20	24	44	2	0.704545454545455	0.6	0.791666666666667	1	1	18.8736170230113	9.01262453886506	0.754944680920451	0.751052044905422	driver_021	#CC79A7	Microglia	1
mitochondrial_kda_key_driver_summary_v1	Microglia	MT-CO3	23	2	8	15	0	6.73806350151328e-08	620.38	20	24	44	2	0.522727272727273	0.4	0.625	1	0	7.17146490041532	9.27700836685487	0.286858596016613	0.773084030571239	driver_022	#CC79A7	Microglia	2
mitochondrial_kda_key_driver_summary_v1	Microglia	MT-ND4	20	2	7	13	0	1.35153382695794e-06	318.81	20	24	44	2	0.454545454545455	0.35	0.541666666666667	1	0	5.86917308005972	8.31655307231561	0.234766923202389	0.693046089359634	driver_023	#CC79A7	Microglia	3
mitochondrial_kda_key_driver_summary_v1	Microglia	MT-CYB	12	2	4	8	0	0.000115010128732928	425.08	20	24	44	2	0.272727272727273	0.2	0.333333333333333	1	0	3.9392639104367	8.73159057159445	0.157570556417468	0.727632547632871	driver_024	#CC79A7	Microglia	4
mitochondrial_kda_key_driver_summary_v1	Microglia	SLC11A1	9	2	3	6	5	0.000123582702447585	616.67	20	24	44	2	0.204545454545455	0.15	0.25	1	0.555555555555556	3.90804231207304	9.26835485301301	0.156321692482922	0.772362904417751	driver_025	#CC79A7	Microglia	5
mitochondrial_kda_key_driver_summary_v1	Oligodendrocytes	MT-CO2	10	1	4	6	10	1.15178734910063e-17	139.2	14	15	29	1	0.344827586206897	0.285714285714286	0.4	1	1	16.938627695945	7.12101540096137	0.6775451078378	0.593417950080114	driver_026	#F0E442	Oligodendrocytes	1
mitochondrial_kda_key_driver_summary_v1	Oligodendrocytes	MT-ND4	10	1	4	6	0	1.26478934835803e-07	198.86	14	15	29	1	0.344827586206897	0.285714285714286	0.4	1	0	6.89798180054644	7.63560930201924	0.275919272021858	0.63630077516827	driver_027	#F0E442	Oligodendrocytes	2
mitochondrial_kda_key_driver_summary_v1	Oligodendrocytes	MT-CYB	9	1	4	5	0	0.0028494844210969	464	14	15	29	1	0.310344827586207	0.285714285714286	0.333333333333333	1	0	2.54523371308922	8.85798099512757	0.101809348523569	0.738165082927298	driver_028	#F0E442	Oligodendrocytes	3
mitochondrial_kda_key_driver_summary_v1	Oligodendrocytes	COX4I1	8	1	4	4	8	0.000359325566062585	73.18	14	15	29	1	0.275862068965517	0.285714285714286	0.266666666666667	1	1	3.44451188158495	6.19337751056436	0.137780475263398	0.51611479254703	driver_029	#F0E442	Oligodendrocytes	4
mitochondrial_kda_key_driver_summary_v1	Oligodendrocytes	RPL11	6	1	2	4	6	0.000359325566062585	28.46	14	15	29	1	0.206896551724138	0.142857142857143	0.266666666666667	1	1	3.44451188158495	4.83086375675176	0.137780475263398	0.402571979729313	driver_030	#F0E442	Oligodendrocytes	5
mitochondrial_kda_key_driver_summary_v1	OPCs	MT-CO3	16	1	6	10	16	1.38339875232553e-12	172.62	15	15	30	1	0.533333333333333	0.4	0.666666666666667	1	1	11.8590526203433	7.43145581668572	0.474362104813733	0.61928798472381	driver_031	#56B4E9	OPCs	1
mitochondrial_kda_key_driver_summary_v1	OPCs	MT-CO2	16	1	6	10	0	3.25051857135045e-07	230.16	15	15	30	1	0.533333333333333	0.4	0.666666666666667	1	0	6.48804734834101	7.84649331596456	0.259521893933641	0.653874442997047	driver_032	#56B4E9	OPCs	2
mitochondrial_kda_key_driver_summary_v1	OPCs	RPS15	12	1	4	8	12	4.5741181951196e-14	19.06	15	15	30	1	0.4	0.266666666666667	0.533333333333333	1	1	13.3396926174238	4.25247621413522	0.533587704696954	0.354373017844601	driver_033	#56B4E9	OPCs	3
mitochondrial_kda_key_driver_summary_v1	OPCs	FTL	12	1	4	8	0	2.08908344472111e-06	23.44	15	15	30	1	0.4	0.266666666666667	0.533333333333333	1	0	5.68004421255289	4.55090066464752	0.227201768502116	0.37924172205396	driver_034	#56B4E9	OPCs	4
mitochondrial_kda_key_driver_summary_v1	OPCs	ANKRD11	12	1	4	8	12	8.80731791340593e-06	16.48	15	15	30	1	0.4	0.266666666666667	0.533333333333333	1	1	5.05515632686037	4.04264433740849	0.202206253074415	0.336887028117375	driver_035	#56B4E9	OPCs	5
