"source","target","weight","celltype"
"AGRN","FLAD1",0.919,"Astrocytes"
"AGRN","WDR6",0.788,"Astrocytes"
"AGRN","CCDC88B",0.924,"Astrocytes"
"AGRN","TARSL2",0.943,"Astrocytes"
"AGRN","TBKBP1",0.917,"Astrocytes"
"AGRN","OSBPL7",0.925,"Astrocytes"
"SDF4","VPS52",0.78,"Astrocytes"
"ACAP3","LAMB2",0.568,"Astrocytes"
"ACAP3","PDZD4",0.888,"Astrocytes"
"ACAP3","KIFC2",0.551,"Astrocytes"
"ACAP3","RPS6KA4",0.908,"Astrocytes"
"ACAP3","MAPK8IP3",0.691,"Astrocytes"
"ACAP3","LASP1",0.789,"Astrocytes"
"ACAP3","SH3GL1",0.907,"Astrocytes"
"ACAP3","HDAC10",0.904,"Astrocytes"
"INTS11","NISCH",0.915,"Astrocytes"
"INTS11","LONP1",0.9,"Astrocytes"
"INTS11","TRMT2A",0.839,"Astrocytes"
"VWA1","ASB6",0.835,"Astrocytes"
"MIB2","CUL9",0.902,"Astrocytes"
"MIB2","SEC24C",0.508,"Astrocytes"
"MIB2","ZNF512B",0.843,"Astrocytes"
"MIB2","MAP2K7",0.897,"Astrocytes"
"CDK11A","CDK11B",0.516,"Astrocytes"
"GNB1","CNOT9",0.827,"Astrocytes"
"GNB1","UBE2D2",0.694,"Astrocytes"
"PRDM16","NECAP2",0.977,"Astrocytes"
"PRDM16","ECE1",0.977,"Astrocytes"
"PRDM16","TRIM62",0.972,"Astrocytes"
"PRDM16","ERI3",0.516,"Astrocytes"
"PRDM16","VANGL2",0.973,"Astrocytes"
"PRDM16","HADHA",0.966,"Astrocytes"
"PRDM16","MAGI1",0.958,"Astrocytes"
"PRDM16","TBC1D14",0.968,"Astrocytes"
"PRDM16","SORCS2",0.614,"Astrocytes"
"PRDM16","KBTBD11",0.964,"Astrocytes"
"PRDM16","LRP5",0.971,"Astrocytes"
"PRDM16","NADSYN1",0.979,"Astrocytes"
"PRDM16","NCOR2",0.665,"Astrocytes"
"PRDM16","APBA2",0.988,"Astrocytes"
"PRDM16","MIR193BHG",0.974,"Astrocytes"
"PRDM16","ZNF423",0.597,"Astrocytes"
"PRDM16","COIL",0.974,"Astrocytes"
"PRDM16","GRIN2C",0.772,"Astrocytes"
"PRDM16","DOK5",0.787,"Astrocytes"
"PRDM16","RDH13",0.972,"Astrocytes"
"CAMTA1","C2orf76",0.971,"Astrocytes"
"CAMTA1","AC079305.3",0.967,"Astrocytes"
"CAMTA1","GIGYF2",0.381,"Astrocytes"
"CAMTA1","ZNF717",0.973,"Astrocytes"
"CAMTA1","FBXL5",0.805,"Astrocytes"
"CAMTA1","DCUN1D4",0.956,"Astrocytes"
"CAMTA1","KLHDC3",0.968,"Astrocytes"
"CAMTA1","MTERF1",0.61,"Astrocytes"
"CAMTA1","RHOXF1-AS1",0.967,"Astrocytes"
"CAMTA1","BCORL1",0.39,"Astrocytes"
"CAMTA1","HOOK3",0.767,"Astrocytes"
"CAMTA1","AC084337.2",0.944,"Astrocytes"
"CAMTA1","AEBP2",0.953,"Astrocytes"
"CAMTA1","AC124312.1",0.97,"Astrocytes"
"CAMTA1","ZNF720",0.97,"Astrocytes"
"CAMTA1","AC087564.1",0.922,"Astrocytes"
"CAMTA1","ZNF207",0.607,"Astrocytes"
"CAMTA1","UQCC1",0.738,"Astrocytes"
"CAMTA1","SS18L1",0.979,"Astrocytes"
"PARK7","PEBP1",0.672,"Astrocytes"
"RERE","SRPK2",0.876,"Astrocytes"
"RERE","WDR20",0.668,"Astrocytes"
"ENO1","BNIP3",0.277,"Astrocytes"
"SLC25A33","ATXN3",0.767,"Astrocytes"
"CTNNBIP1","TMEM192",0.773,"Astrocytes"
"UBE4B","SLC16A1-AS1",0.891,"Astrocytes"
"UBE4B","PLEKHA2",0.894,"Astrocytes"
"UBE4B","CATSPER2",0.884,"Astrocytes"
"UBE4B","FBXL20",0.678,"Astrocytes"
"KIF1B","SAP130",0.901,"Astrocytes"
"KIF1B","ZSWIM6",0.43,"Astrocytes"
"KIF1B","CAMK2G",0.456,"Astrocytes"
"KIF1B","KPNA3",0.895,"Astrocytes"
"KIF1B","PPARA",0.336,"Astrocytes"
"FBXO2","FBXO44",0.785,"Astrocytes"
"FBXO2","TFCP2",0.402,"Astrocytes"
"FBXO2","GPCPD1",0.648,"Astrocytes"
"FBXO2","HOOK2",0.626,"Astrocytes"
"FBXO44","HYI",0.869,"Astrocytes"
"FBXO44","RRNAD1",0.882,"Astrocytes"
"VPS13D","ZCCHC14",0.811,"Astrocytes"
"KAZN","NFASC",0.614,"Astrocytes"
"KAZN","ROBO2",0.184,"Astrocytes"
"KAZN","AQP1",0.64,"Astrocytes"
"KAZN","BNC2",0.904,"Astrocytes"
"KAZN","DCLK1",0.516,"Astrocytes"
"KAZN","GPC6",0.843,"Astrocytes"
"SPEN","RBBP4",0.923,"Astrocytes"
"SPEN","PRPF38A",0.944,"Astrocytes"
"SPEN","XPO7",0.894,"Astrocytes"
"SPEN","UPF1",0.633,"Astrocytes"
"FBXO42","SLMAP",0.651,"Astrocytes"
"FBXO42","MARK2",0.871,"Astrocytes"
"FBXO42","UBE2G1",0.86,"Astrocytes"
"PADI2","DDB2",0.819,"Astrocytes"
"PADI2","PLEKHG3",0.4,"Astrocytes"
"ARHGEF10L","PLEKHM2",0.929,"Astrocytes"
"ARHGEF10L","MAP9",0.956,"Astrocytes"
"ARHGEF10L","MTHFD1L",0.95,"Astrocytes"
"ARHGEF10L","EEPD1",0.941,"Astrocytes"
"ARHGEF10L","PPP2CB",0.369,"Astrocytes"
"ARHGEF10L","SCARB1",0.935,"Astrocytes"
"ARHGEF10L","VPS53",0.94,"Astrocytes"
"ARHGEF10L","MNT",0.945,"Astrocytes"
"ARHGEF10L","RNF157",0.682,"Astrocytes"
"ARHGEF10L","FOXK2",0.961,"Astrocytes"
"ARHGEF10L","SAFB",0.941,"Astrocytes"
"ARHGEF10L","SREBF2",0.806,"Astrocytes"
"ARHGEF10L","SLC37A1",0.954,"Astrocytes"
"ARHGEF10L","PDXK",0.693,"Astrocytes"
"IFFO2","SLC25A25",0.798,"Astrocytes"
"CAPZB","LMBR1L",0.801,"Astrocytes"
"CAMK2N1","UQCC2",0.681,"Astrocytes"
"HP1BP3","KLHL21",0.953,"Astrocytes"
"HP1BP3","C2orf49",0.953,"Astrocytes"
"HP1BP3","PWWP2A",0.766,"Astrocytes"
"HP1BP3","SNRNP48",0.968,"Astrocytes"
"HP1BP3","RBM48",0.963,"Astrocytes"
"HP1BP3","SEM1",0.849,"Astrocytes"
"HP1BP3","WASHC1",0.954,"Astrocytes"
"HP1BP3","AK3",0.793,"Astrocytes"
"HP1BP3","AL117339.5",0.424,"Astrocytes"
"HP1BP3","SPRYD7",0.957,"Astrocytes"
"HP1BP3","MAF",0.503,"Astrocytes"
"HP1BP3","VEZF1",0.955,"Astrocytes"
"HP1BP3","MIB1",0.703,"Astrocytes"
"HP1BP3","LZTS3",0.435,"Astrocytes"
"HP1BP3","PCMTD2",0.964,"Astrocytes"
"ASAP3","VAV2",0.891,"Astrocytes"
"ASAP3","NAA25",0.885,"Astrocytes"
"ASAP3","TP53",0.888,"Astrocytes"
"RPL11","PRDX1",0.326,"Astrocytes"
"RPL11","COX7C",0.317,"Astrocytes"
"RPL11","CWC15",0.826,"Astrocytes"
"CLIC4","CNN3",0.863,"Astrocytes"
"CLIC4","RAB7A",0.907,"Astrocytes"
"CLIC4","DEAF1",0.927,"Astrocytes"
"CLIC4","HNRNPF",0.909,"Astrocytes"
"CLIC4","EMP1",0.921,"Astrocytes"
"CLIC4","BACE2",0.926,"Astrocytes"
"RSRP1","GPSM2",0.837,"Astrocytes"
"RSRP1","GOLGA8A",0.865,"Astrocytes"
"MAN1C1","KAZN",0.662,"Astrocytes"
"MAN1C1","LYST",0.931,"Astrocytes"
"MAN1C1","ASB3",0.944,"Astrocytes"
"MAN1C1","ADAMTS9-AS2",0.964,"Astrocytes"
"MAN1C1","GRIA2",0.347,"Astrocytes"
"MAN1C1","RETREG1",0.413,"Astrocytes"
"MAN1C1","MAP1B",0.987,"Astrocytes"
"MAN1C1","PVT1",0.764,"Astrocytes"
"MAN1C1","TIMP2",0.934,"Astrocytes"
"MAN1C1","TPM4",0.937,"Astrocytes"
"STMN1","TUBA4A",0.854,"Astrocytes"
"STMN1","SYP",0.872,"Astrocytes"
"WASF2","H6PD",0.879,"Astrocytes"
"WASF2","OTUD5",0.903,"Astrocytes"
"WASF2","GBF1",0.615,"Astrocytes"
"WASF2","ASCC2",0.903,"Astrocytes"
"SRSF4","NLRX1",0.823,"Astrocytes"
"SRSF4","ZNF333",0.871,"Astrocytes"
"SDC3","ABHD17A",0.763,"Astrocytes"
"ZCCHC17","TATDN3",0.802,"Astrocytes"
"ADGRB2","MADD",0.781,"Astrocytes"
"KHDRBS1","ZCCHC10",0.808,"Astrocytes"
"MARCKSL1","GORASP2",0.87,"Astrocytes"
"MARCKSL1","LAMTOR1",0.849,"Astrocytes"
"ZBTB8OS","TBCE",0.93,"Astrocytes"
"ZBTB8OS","NFATC3",0.897,"Astrocytes"
"ZBTB8OS","TANGO6",0.927,"Astrocytes"
"ZBTB8OS","CERS4",0.683,"Astrocytes"
"ZBTB8OS","ZNF460-AS1",0.894,"Astrocytes"
"YARS","PGD",0.862,"Astrocytes"
"YARS","TRAF2",0.872,"Astrocytes"
"YARS","AARS",0.698,"Astrocytes"
"PHC2","UTP14A",0.922,"Astrocytes"
"SFPQ","PPIP5K2",0.889,"Astrocytes"
"SFPQ","FKTN",0.725,"Astrocytes"
"SFPQ","TPP2",0.881,"Astrocytes"
"SFPQ","ARID3A",0.462,"Astrocytes"
"SFPQ","LTN1",0.561,"Astrocytes"
"KIAA0319L","SETDB1",0.87,"Astrocytes"
"KIAA0319L","CHMP2B",0.867,"Astrocytes"
"KIAA0319L","SPATA7",0.876,"Astrocytes"
"NCDN","TSPYL2",0.904,"Astrocytes"
"NCDN","SCAF1",0.879,"Astrocytes"
"STK40","NOP58",0.44,"Astrocytes"
"STK40","BAIAP2",0.263,"Astrocytes"
"C1orf122","UBE2M",0.868,"Astrocytes"
"RRAGC","GNS",0.782,"Astrocytes"
"NDUFS5","SAP30L-AS1",0.853,"Astrocytes"
"NDUFS5","PPIA",0.47,"Astrocytes"
"MACF1","ASAP3",0.958,"Astrocytes"
"MACF1","AHDC1",0.369,"Astrocytes"
"MACF1","ARHGEF11",0.954,"Astrocytes"
"MACF1","ITGA6",0.983,"Astrocytes"
"MACF1","SPOCK1",0.973,"Astrocytes"
"MACF1","DST",0.696,"Astrocytes"
"MACF1","ATXN7L1",0.927,"Astrocytes"
"MACF1","CDHR3",0.78,"Astrocytes"
"MACF1","AC037459.2",0.976,"Astrocytes"
"MACF1","INTS9",0.984,"Astrocytes"
"MACF1","ST3GAL1",0.901,"Astrocytes"
"MACF1","TTC39B",0.977,"Astrocytes"
"MACF1","AL133410.1",0.775,"Astrocytes"
"MACF1","CDC14B",0.957,"Astrocytes"
"MACF1","NEK6",0.532,"Astrocytes"
"MACF1","GALNT18",0.362,"Astrocytes"
"MACF1","TENM4",0.956,"Astrocytes"
"MACF1","PHLDB1",0.981,"Astrocytes"
"MACF1","PKNOX2",0.969,"Astrocytes"
"MACF1","HK1",0.647,"Astrocytes"
"MACF1","POLR3A",0.983,"Astrocytes"
"MACF1","DIP2B",0.75,"Astrocytes"
"MACF1","UHRF1BP1L",0.804,"Astrocytes"
"MACF1","TRAF3",0.978,"Astrocytes"
"MACF1","MARK3",0.89,"Astrocytes"
"MACF1","CORO2B",0.967,"Astrocytes"
"MACF1","NTRK3",0.748,"Astrocytes"
"MACF1","AC009093.2",0.981,"Astrocytes"
"MACF1","LDHD",0.976,"Astrocytes"
"MACF1","CMIP",0.267,"Astrocytes"
"MACF1","STAT5B",0.963,"Astrocytes"
"MACF1","HIC2",0.976,"Astrocytes"
"CCDC30","WASHC2C",0.893,"Astrocytes"
"YBX1","SIKE1",0.815,"Astrocytes"
"SLC2A1","BSG",0.384,"Astrocytes"
"PTPRF","ZNF395",0.792,"Astrocytes"
"B4GALT2","USF2",0.835,"Astrocytes"
"ERI3","HS2ST1",0.401,"Astrocytes"
"ERI3","MPHOSPH10",0.768,"Astrocytes"
"ERI3","SLC23A2",0.865,"Astrocytes"
"ARMH1","DNAJC27-AS1",0.582,"Astrocytes"
"ARMH1","PEX5L",0.617,"Astrocytes"
"ARMH1","AC009126.1",0.817,"Astrocytes"
"ARMH1","CA5B",0.935,"Astrocytes"
"ARMH1","AL683813.1",0.688,"Astrocytes"
"ARMH1","AC138123.1",0.96,"Astrocytes"
"ARMH1","ADAP2",0.822,"Astrocytes"
"ARMH1","ZNF627",0.918,"Astrocytes"
"ARMH1","AC008537.1",0.873,"Astrocytes"
"RPS8","PRDM4",0.78,"Astrocytes"
"PRDX1","MARCKSL1",0.902,"Astrocytes"
"PRDX1","PPT1",0.918,"Astrocytes"
"PRDX1","SF3B6",0.92,"Astrocytes"
"PRDX1","ISCA1",0.931,"Astrocytes"
"PRDX1","PSAP",0.548,"Astrocytes"
"PRDX1","SRP14",0.628,"Astrocytes"
"SPATA6","MTR",0.708,"Astrocytes"
"SPATA6","UPP2",0.836,"Astrocytes"
"SPATA6","BCLAF3",0.91,"Astrocytes"
"SPATA6","UACA",0.901,"Astrocytes"
"AGBL4","UNC80",0.725,"Astrocytes"
"AGBL4","PLAGL1",0.909,"Astrocytes"
"AGBL4","CDK14",0.795,"Astrocytes"
"AGBL4","FAM19A2",0.907,"Astrocytes"
"FAF1","ZFYVE9",0.935,"Astrocytes"
"FAF1","BCL9",0.931,"Astrocytes"
"FAF1","CDC42SE2",0.953,"Astrocytes"
"FAF1","CDK13",0.874,"Astrocytes"
"FAF1","NSMCE2",0.919,"Astrocytes"
"FAF1","MINDY2",0.953,"Astrocytes"
"FAF1","COG7",0.921,"Astrocytes"
"EPS15","DCUN1D1",0.241,"Astrocytes"
"EPS15","YAF2",0.866,"Astrocytes"
"EPS15","USP3",0.864,"Astrocytes"
"OSBPL9","PLEKHH2",0.857,"Astrocytes"
"OSBPL9","NR6A1",0.9,"Astrocytes"
"OSBPL9","LRMDA",0.91,"Astrocytes"
"BTF3L4","ECD",0.752,"Astrocytes"
"ECHDC2","IQCA1",0.882,"Astrocytes"
"ECHDC2","TAZ",0.835,"Astrocytes"
"SCP2","AC023632.2",0.645,"Astrocytes"
"LRP8","NCS1",0.83,"Astrocytes"
"TMEM59","WRB",0.819,"Astrocytes"
"ACOT11","MROH7-TTC4",0.562,"Astrocytes"
"ACOT11","NSUN6",0.883,"Astrocytes"
"ACOT11","POLR2F",0.892,"Astrocytes"
"USP24","WNK3",0.797,"Astrocytes"
"AC119674.2","AP5M1",0.782,"Astrocytes"
"JUN","UBC",0.585,"Astrocytes"
"FGGY","AC007405.1",0.922,"Astrocytes"
"FGGY","LINC01266",0.951,"Astrocytes"
"FGGY","TSEN2",0.704,"Astrocytes"
"FGGY","MSH3",0.52,"Astrocytes"
"FGGY","TMEM232",0.645,"Astrocytes"
"FGGY","FAM111A",0.95,"Astrocytes"
"FGGY","C12orf76",0.952,"Astrocytes"
"FGGY","TMTC4",0.935,"Astrocytes"
"LINC01748","NAALADL2",0.67,"Astrocytes"
"LINC01748","NKAIN2",0.899,"Astrocytes"
"LINC01748","LINC00535",0.901,"Astrocytes"
"LINC01748","AC090517.4",0.651,"Astrocytes"
"AC099792.1","LINC01748",0.805,"Astrocytes"
"AC099792.1","ANKAR",0.708,"Astrocytes"
"AC099792.1","AC108047.1",0.966,"Astrocytes"
"AC099792.1","ATG4B",0.349,"Astrocytes"
"AC099792.1","CCDC191",0.582,"Astrocytes"
"AC099792.1","BPHL",0.975,"Astrocytes"
"AC099792.1","KLHL32",0.873,"Astrocytes"
"AC099792.1","STK33",0.551,"Astrocytes"
"AC099792.1","CFAP70",0.789,"Astrocytes"
"AC099792.1","PSTK",0.952,"Astrocytes"
"AC099792.1","LRRC49",0.951,"Astrocytes"
"AC099792.1","AC007495.1",0.94,"Astrocytes"
"AC099792.1","ZNF121",0.966,"Astrocytes"
"AC099792.1","DONSON",0.98,"Astrocytes"
"NFIA","FIGN",0.884,"Astrocytes"
"NFIA","IKZF2",0.878,"Astrocytes"
"NFIA","BMPR1B",0.32,"Astrocytes"
"NFIA","ADCY2",0.541,"Astrocytes"
"NFIA","MED13L",0.273,"Astrocytes"
"NFIA","NPAS3",0.294,"Astrocytes"
"NFIA","BCL2",0.69,"Astrocytes"
"DOCK7","ENAH",0.699,"Astrocytes"
"DOCK7","VPS8",0.925,"Astrocytes"
"DOCK7","SSBP2",0.969,"Astrocytes"
"DOCK7","AC005154.6",0.943,"Astrocytes"
"DOCK7","CDKL5",0.938,"Astrocytes"
"DOCK7","APBA1",0.673,"Astrocytes"
"DOCK7","FUT8",0.875,"Astrocytes"
"DOCK7","TMOD2",0.91,"Astrocytes"
"CACHD1","UNC5C",0.86,"Astrocytes"
"CACHD1","FGFR2",0.953,"Astrocytes"
"CACHD1","SMAD3",0.875,"Astrocytes"
"AK4","FAM234B",0.812,"Astrocytes"
"GNG12","CSRNP3",0.928,"Astrocytes"
"GNG12","DUBR",0.926,"Astrocytes"
"GNG12","TRAPPC13",0.77,"Astrocytes"
"GNG12","RMND5B",0.917,"Astrocytes"
"GNG12","ZDHHC14",0.94,"Astrocytes"
"GNG12","TMEM138",0.932,"Astrocytes"
"GNG12-AS1","ALAD",0.886,"Astrocytes"
"GNG12-AS1","SLC27A1",0.96,"Astrocytes"
"SRSF11","PRPF38B",0.52,"Astrocytes"
"ST6GALNAC3","TOGARAM2",0.893,"Astrocytes"
"ST6GALNAC3","SNCAIP",0.906,"Astrocytes"
"ST6GALNAC3","WDR11-AS1",0.918,"Astrocytes"
"ST6GALNAC3","WDR11",0.856,"Astrocytes"
"ST6GALNAC3","CLUAP1",0.884,"Astrocytes"
"AC118549.1","NDUFB6",0.857,"Astrocytes"
"AC118549.1","XPO4",0.866,"Astrocytes"
"C1orf52","USP45",0.851,"Astrocytes"
"DDAH1","FAM118B",0.793,"Astrocytes"
"SH3GLB1","ACVR2B",0.806,"Astrocytes"
"HS2ST1","HNRNPR",0.887,"Astrocytes"
"HS2ST1","URGCP",0.881,"Astrocytes"
"HS2ST1","KDM4C",0.522,"Astrocytes"
"HS2ST1","MRRF",0.93,"Astrocytes"
"HS2ST1","MTMR6",0.93,"Astrocytes"
"PKN2-AS1","NEU3",0.893,"Astrocytes"
"PKN2-AS1","AP000446.1",0.903,"Astrocytes"
"PKN2-AS1","AC092378.1",0.886,"Astrocytes"
"PKN2-AS1","AC006504.5",0.926,"Astrocytes"
"PKN2","PRKAB2",0.917,"Astrocytes"
"PKN2","IARS2",0.923,"Astrocytes"
"PKN2","RNF180",0.915,"Astrocytes"
"PKN2","WASHC4",0.927,"Astrocytes"
"PKN2","RALBP1",0.914,"Astrocytes"
"ZNF644","MZT2A",0.928,"Astrocytes"
"ZNF644","PHTF2",0.917,"Astrocytes"
"ZNF644","GDI1",0.488,"Astrocytes"
"ZNF644","SCYL2",0.93,"Astrocytes"
"ZNF644","MPP5",0.913,"Astrocytes"
"ZNF644","WDR83",0.931,"Astrocytes"
"BTBD8","PUS7",0.793,"Astrocytes"
"MTF2","SLC25A36",0.861,"Astrocytes"
"MTF2","RNF41",0.851,"Astrocytes"
"BCAR3","PLEKHG1",0.329,"Astrocytes"
"BCAR3","TMC1",0.844,"Astrocytes"
"BCAR3","TCTN1",0.857,"Astrocytes"
"F3","BHLHE40",0.407,"Astrocytes"
"F3","LSM6",0.831,"Astrocytes"
"F3","TMEM248",0.861,"Astrocytes"
"SLC44A3","ELL2",0.641,"Astrocytes"
"CNN3","FGF2",0.804,"Astrocytes"
"CNN3","PDGFA",0.915,"Astrocytes"
"CNN3","BAG3",0.897,"Astrocytes"
"CNN3","IPO5",0.906,"Astrocytes"
"DPH5","ARL14EP",0.809,"Astrocytes"
"S1PR1","NCSTN",0.901,"Astrocytes"
"S1PR1","ARMT1",0.686,"Astrocytes"
"S1PR1","BTBD3",0.92,"Astrocytes"
"S1PR1","NORAD",0.75,"Astrocytes"
"S1PR1","CSNK1E",0.868,"Astrocytes"
"RNPC3","AC008124.1",0.826,"Astrocytes"
"RNPC3","TLDC1",0.857,"Astrocytes"
"AMY2B","VXN",0.517,"Astrocytes"
"VAV3","SLC12A2",0.902,"Astrocytes"
"VAV3","EXTL3",0.918,"Astrocytes"
"VAV3","ARNTL",0.644,"Astrocytes"
"VAV3","DGKZ",0.644,"Astrocytes"
"VAV3","PLCG1",0.901,"Astrocytes"
"AMPD2","U2AF2",0.845,"Astrocytes"
"AMPD2","KIAA0930",0.57,"Astrocytes"
"CSF1","PSAT1",0.833,"Astrocytes"
"AHCYL1","TMEM87A",0.633,"Astrocytes"
"LAMTOR5","SYF2",0.93,"Astrocytes"
"LAMTOR5","ZNF496",0.933,"Astrocytes"
"LAMTOR5","COX5B",0.506,"Astrocytes"
"LAMTOR5","RTRAF",0.936,"Astrocytes"
"LAMTOR5","FLYWCH2",0.925,"Astrocytes"
"LAMTOR5","SMYD4",0.925,"Astrocytes"
"LAMTOR5","MRPS7",0.918,"Astrocytes"
"KCNA2","FBXL14",0.926,"Astrocytes"
"KCNA2","FAM217B",0.906,"Astrocytes"
"KCNA2","NCAN",0.853,"Astrocytes"
"KCNA2","SPACA6",0.714,"Astrocytes"
"ATP5PB","XRCC6",0.818,"Astrocytes"
"KCND3","RIN2",0.694,"Astrocytes"
"ST7L","FBXO25",0.865,"Astrocytes"
"ST7L","ENDOV",0.945,"Astrocytes"
"CAPZA1","SUPV3L1",0.817,"Astrocytes"
"CAPZA1","P2RX7",0.889,"Astrocytes"
"RHOC","GNB2",0.311,"Astrocytes"
"RHOC","RAB5B",0.823,"Astrocytes"
"MAGI3","WDR34",0.797,"Astrocytes"
"SLC22A15","AC097376.2",0.811,"Astrocytes"
"ATP1A1","FRG1-DT",0.911,"Astrocytes"
"ATP1A1","PNMA2",0.846,"Astrocytes"
"WARS2","CD2AP",0.787,"Astrocytes"
"PHGDH","POLR3H",0.816,"Astrocytes"
"NOTCH2","ACSL3",0.794,"Astrocytes"
"NBPF26","AC245297.3",0.58,"Astrocytes"
"LINC00623","NBPF26",0.572,"Astrocytes"
"NBPF12","NBPF11",0.938,"Astrocytes"
"BCL9","ZFYVE27",0.854,"Astrocytes"
"BCL9","ZNF224",0.854,"Astrocytes"
"AC239809.3","ZNF573",0.81,"Astrocytes"
"PDE4DIP","PLPP1",0.904,"Astrocytes"
"PDE4DIP","ITGB8",0.954,"Astrocytes"
"PDE4DIP","NFIB",0.214,"Astrocytes"
"PDE4DIP","GSN",0.945,"Astrocytes"
"PDE4DIP","NEBL",0.414,"Astrocytes"
"PDE4DIP","ZNF891",0.928,"Astrocytes"
"PDE4DIP","KCTD13",0.742,"Astrocytes"
"PDE4DIP","SLC39A11",0.289,"Astrocytes"
"PDE4DIP","NEDD4L",0.855,"Astrocytes"
"NBPF19","NBPF14",0.898,"Astrocytes"
"OTUD7B","WLS",0.788,"Astrocytes"
"OTUD7B","GNA14",0.467,"Astrocytes"
"C1orf54","ZSCAN18",0.759,"Astrocytes"
"RPRD2","GPATCH11",0.857,"Astrocytes"
"RPRD2","PCGF6",0.881,"Astrocytes"
"RPRD2","NIPSNAP1",0.865,"Astrocytes"
"ENSA","CGGBP1",0.653,"Astrocytes"
"ENSA","C5orf51",1,"Astrocytes"
"ENSA","ZNF346",0.91,"Astrocytes"
"ENSA","ZSCAN23",0.777,"Astrocytes"
"ENSA","UBE2J1",0.949,"Astrocytes"
"ENSA","NIPSNAP2",0.778,"Astrocytes"
"ENSA","MRPL23",0.954,"Astrocytes"
"ENSA","MTCH2",0.954,"Astrocytes"
"ENSA","TIMM23B",0.702,"Astrocytes"
"ENSA","CHURC1-FNTB",0.949,"Astrocytes"
"ENSA","LUC7L",0.917,"Astrocytes"
"ENSA","AC026471.4",0.954,"Astrocytes"
"ENSA","AC090844.2",0.955,"Astrocytes"
"ENSA","AKAP8L",0.608,"Astrocytes"
"CERS2","TOR3A",0.827,"Astrocytes"
"C1orf56","AC124016.1",0.845,"Astrocytes"
"C1orf56","DERL2",0.84,"Astrocytes"
"GABPB2","NME5",0.82,"Astrocytes"
"GABPB2","PPP5D1",0.295,"Astrocytes"
"PIP5K1A","GON4L",0.674,"Astrocytes"
"PIP5K1A","TAF1",0.912,"Astrocytes"
"PIP5K1A","HABP4",0.79,"Astrocytes"
"PIP5K1A","DENND5A",0.904,"Astrocytes"
"PIP5K1A","WDR37",0.674,"Astrocytes"
"PIP5K1A","SMC3",0.926,"Astrocytes"
"SELENBP1","FBXO44",0.722,"Astrocytes"
"SELENBP1","AIDA",0.946,"Astrocytes"
"SELENBP1","CAPN10",0.93,"Astrocytes"
"SELENBP1","P4HTM",0.927,"Astrocytes"
"SELENBP1","RXRB",0.954,"Astrocytes"
"SELENBP1","ATP6V0E2",0.553,"Astrocytes"
"SELENBP1","PDHA1",0.949,"Astrocytes"
"SELENBP1","PLEKHB1",0.954,"Astrocytes"
"SELENBP1","M6PR",0.936,"Astrocytes"
"SELENBP1","SAT2",0.21,"Astrocytes"
"SELENBP1","PCYT2",0.948,"Astrocytes"
"SELENBP1","CDC37",0.616,"Astrocytes"
"SELENBP1","ILF3-DT",0.95,"Astrocytes"
"SELENBP1","AIFM3",0.883,"Astrocytes"
"POGZ","SNRNP40",0.895,"Astrocytes"
"POGZ","AGAP4",0.844,"Astrocytes"
"S100A6","DYNLT1",0.84,"Astrocytes"
"S100A6","CRYAB",0.442,"Astrocytes"
"S100A6","MYL6",0.873,"Astrocytes"
"DENND4B","DGKQ",0.977,"Astrocytes"
"JTB","CYB561D1",0.933,"Astrocytes"
"JTB","PAXX",0.847,"Astrocytes"
"JTB","DPP7",0.289,"Astrocytes"
"JTB","SNX29",0.676,"Astrocytes"
"JTB","NOP56",0.915,"Astrocytes"
"JTB","NELFCD",0.918,"Astrocytes"
"JTB","TIMM29",0.907,"Astrocytes"
"RAB13","HMGXB4",0.808,"Astrocytes"
"HAX1","DNTTIP1",0.823,"Astrocytes"
"IL6R","ACTR3C",0.884,"Astrocytes"
"IL6R","ELMOD1",0.886,"Astrocytes"
"IL6R","SECISBP2L",0.886,"Astrocytes"
"ADAR","ZNFX1",0.803,"Astrocytes"
"KCNN3","NYAP1",0.839,"Astrocytes"
"KCNN3","MAMLD1",0.837,"Astrocytes"
"PBXIP1","EPHX1",0.913,"Astrocytes"
"PBXIP1","CCNG2",0.903,"Astrocytes"
"PBXIP1","TOB1",0.901,"Astrocytes"
"PBXIP1","BCAM",0.882,"Astrocytes"
"PBXIP1","NECTIN2",0.901,"Astrocytes"
"AC234582.1","SRSF4",0.774,"Astrocytes"
"GBA","MBD6",0.779,"Astrocytes"
"GBA","PIGQ",0.46,"Astrocytes"
"SCAMP3","NOC2L",0.809,"Astrocytes"
"ASH1L","EFTUD2",0.858,"Astrocytes"
"ASH1L","STAU1",0.877,"Astrocytes"
"YY1AP1","RAB1A",0.876,"Astrocytes"
"YY1AP1","SEC23B",0.904,"Astrocytes"
"YY1AP1","HNRNPM",0.73,"Astrocytes"
"GON4L","MARCH2",0.838,"Astrocytes"
"GON4L","AKAP8",0.877,"Astrocytes"
"SYT11","IMPAD1",0.905,"Astrocytes"
"SYT11","GTF3C4",0.881,"Astrocytes"
"SYT11","ATMIN",0.522,"Astrocytes"
"PAQR6","SELENBP1",0.259,"Astrocytes"
"PAQR6","DDR2",0.924,"Astrocytes"
"PAQR6","OBSL1",0.345,"Astrocytes"
"PAQR6","SNORC",0.935,"Astrocytes"
"PAQR6","FGFR3",0.498,"Astrocytes"
