"Name","Genes","DEGs","KDs","Edges","Nodes"
"Astrocytes",20499,264,37,8893,8285
"CAMs",20499,0,0,15608,15260
"Excitatory_neurons",20499,117,17,13825,10441
"Inhibitory_neurons",20499,57,3,10544,9579
"Microglia",20499,177,5,6832,6604
"OPCs",20499,15,0,8615,8249
"Oligodendrocytes",20499,244,39,9076,8190
"T_cells",20499,0,0,10484,10360
"Vasculature_cells",20499,5,0,5267,5290
