"Name","Genes","DEGs","Edges","Nodes"
"Astrocytes",20499,630,8893,8285
"CAMs",20499,0,15608,15260
"Excitatory_neurons",20499,508,13825,10441
"Inhibitory_neurons",20499,65,10544,9579
"Microglia",20499,12,6832,6604
"OPCs",20499,9,8615,8249
"Oligodendrocytes",20499,490,9076,8190
"T_cells",20499,0,10484,10360
"Vasculature_cells",20499,0,5267,5290
