source	target	weight	celltype	type
A1BG-AS1	AC009318.1	0.785	Excitatory_neurons	directed
A1BG-AS1	HEXB	0.834	T_cells	directed
A1BG-AS1	ZNF557	0.866	T_cells	directed
A2M-AS1	AC034236.2	0.394124	CAMs	directed
A2M-AS1	PWWP2B	0.866261	CAMs	directed
A2ML1-AS1	CTCF	0.924	Astrocytes	directed
A2ML1-AS1	EXOSC8	0.945	Astrocytes	directed
A2ML1-AS1	GGCX	0.921	Astrocytes	directed
A2ML1-AS1	LRCH3	0.923	Astrocytes	directed
A2ML1-AS1	PRKACA	0.935	Astrocytes	directed
A2ML1-AS1	STRADB	0.928	Astrocytes	directed
A2ML1-AS1	TRMT10B	0.317	Astrocytes	directed
A2ML1-AS1	WDR12	0.925	Astrocytes	directed
A3GALT2	AC010422.6	0.851064	CAMs	directed
A3GALT2	IQGAP3	0.599797	CAMs	directed
A3GALT2	PINK1-AS	0.858156	CAMs	directed
A4GALT	AC006065.4	0.298886	CAMs	directed
A4GALT	AC011483.1	0.281662	CAMs	directed
A4GALT	AC013546.1	0.311044	CAMs	directed
A4GALT	AC016576.1	0.319149	CAMs	directed
A4GALT	AC018635.2	0.296859	CAMs	directed
A4GALT	ALKAL2	0.314083	CAMs	directed
A4GALT	CALHM1	0.296859	CAMs	directed
A4GALT	COL3A1	0.317123	CAMs	directed
A4GALT	DPEP1	0.286727	CAMs	directed
A4GALT	GATA2	0.305978	CAMs	directed
A4GALT	HMSD	0.273556	CAMs	directed
A4GALT	LINC00944	0.300912	CAMs	directed
A4GALT	LINC01788	0.308004	CAMs	directed
A4GALT	LMO7DN	0.308004	CAMs	directed
A4GALT	OLFML3	0.328267	CAMs	directed
A4GALT	PRLHR	0.291793	CAMs	directed
A4GALT	SMIM36	0.297872	CAMs	directed
A4GALT	SRL	0.299899	CAMs	directed
A4GALT	THPO	0.341439	CAMs	directed
A4GALT	WNT10A	0.302938	CAMs	directed
AADAT	AC091132.5	0.873	T_cells	directed
AADAT	GNB3	0.455	T_cells	directed
AADAT	HPSE2	0.891	T_cells	directed
AADAT	SEPT4	0.885	T_cells	directed
AAED1	DDIT3	0.836879	CAMs	directed
AAGAB	DHX57	0.345	Oligodendrocytes	directed
AAGAB	PCMT1	0.845	Microglia	directed
AAGAB	POLR2J	0.309	Excitatory_neurons	directed
AAGAB	PTPN11	0.561	Excitatory_neurons	directed
AAGAB	RBFOX2	0.484	Excitatory_neurons	directed
AAK1	HBS1L	0.711	Vasculature_cells	directed
AAK1	MAGT1	0.73	Vasculature_cells	directed
AAK1	RRP1B	0.926	Vasculature_cells	directed
AAK1	SEC24C	0.79	Microglia	directed
AAK1	TMOD3	0.595	Astrocytes	directed
AAK1	ZNF862	0.918	Vasculature_cells	directed
AAMDC	RNLS	0.392	T_cells	directed
AAMP	GPAA1	0.904	Excitatory_neurons	directed
AAMP	ITM2C	0.314	Inhibitory_neurons	directed
AAMP	SLC39A7	0.872	Excitatory_neurons	directed
AAMP	SNRNP200	0.299	Excitatory_neurons	directed
AAMP	SPSB3	0.84	Inhibitory_neurons	directed
AANAT	LINC02062	0.78926	CAMs	directed
AAR2	DNAJA2	0.824	T_cells	directed
AAR2	SEC22C	0.828774	CAMs	directed
AARD	AL136298.1	0.888551	CAMs	directed
AARD	DEXI	0.889564	CAMs	directed
AARD	FGF14-AS1	0.85613	CAMs	directed
AARD	FRG1	0.889564	CAMs	directed
AARS	ANXA6	0.549	Excitatory_neurons	directed
AARS	MTMR8	0.837	Excitatory_neurons	directed
AARS	NOP56	0.483	Excitatory_neurons	directed
AARS	SARS	0.826	Astrocytes	directed
AARS	YARS	0.36	Excitatory_neurons	directed
AASDHPPT	AC093297.2	0.914	Inhibitory_neurons	directed
AASDHPPT	BCAP29	0.337	Inhibitory_neurons	directed
AASDHPPT	EIF3F	0.915	Inhibitory_neurons	directed
AASDHPPT	EPM2AIP1	0.925	Inhibitory_neurons	directed
AASDHPPT	EXOC8	0.903	Excitatory_neurons	directed
AASDHPPT	GPR12	0.895	Inhibitory_neurons	directed
AASDHPPT	LAMTOR3	0.696	Excitatory_neurons	directed
AASDHPPT	MUT	0.917	Excitatory_neurons	directed
AASDHPPT	PAIP1	0.911	Inhibitory_neurons	directed
AASDHPPT	RAB14	0.718	OPCs	directed
AASDHPPT	THAP10	0.928	Excitatory_neurons	directed
AASDHPPT	TMEM106B	0.315	Oligodendrocytes	directed
AASDHPPT	TRAM1	0.861	OPCs	directed
AASDHPPT	VAPA	0.834	Excitatory_neurons	directed
AASDHPPT	ZNF770	0.721	Excitatory_neurons	directed
AASS	DERA	0.848	Astrocytes	directed
AASS	RSRC2	0.341	Vasculature_cells	directed
AASS	SLC12A9	0.882	Astrocytes	directed
AASS	ZFYVE19	0.833	Astrocytes	directed
AATF	NCOA6	0.676	Excitatory_neurons	directed
AATK	ARFGAP1	0.449	Oligodendrocytes	directed
AATK	B4GALT2	0.931	Oligodendrocytes	directed
AATK	BRSK1	0.501	Oligodendrocytes	directed
AATK	MAN1B1	0.95	Oligodendrocytes	directed
AATK	MGAT3	0.299	Excitatory_neurons	directed
AATK	MYRF	0.328	Oligodendrocytes	directed
AATK	SEMA4C	0.913	Oligodendrocytes	directed
AATK	TELO2	0.934	Oligodendrocytes	directed
AATK	ZDHHC9	0.809	Excitatory_neurons	directed
AATK	ZMIZ2	0.882	Oligodendrocytes	directed
AB015752.1	FXR2	0.8308	CAMs	directed
AB015752.1	LGALS3BP	0.68693	CAMs	directed
ABAT	CAMK2G	0.836	Inhibitory_neurons	directed
ABAT	NDRG3	0.516	Inhibitory_neurons	directed
ABAT	NEPRO	0.815	Oligodendrocytes	directed
ABAT	NUTF2	0.881	OPCs	directed
ABAT	RBM8A	0.713	OPCs	directed
ABAT	SMIM14	0.562	Excitatory_neurons;Inhibitory_neurons	directed
ABAT	TTLL9	0.884	OPCs	directed
ABCA1	MYLIP	0.995	Microglia	directed
ABCA10	ABCA6	0.559	Vasculature_cells	directed
ABCA10	ABCA9	0.617	Inhibitory_neurons	directed
ABCA10	AC007038.1	0.611	Excitatory_neurons	directed
ABCA10	AC008575.1	0.946	Inhibitory_neurons	directed
ABCA10	AC009228.1	0.942	Inhibitory_neurons	directed
ABCA10	AGBL3	0.932	Inhibitory_neurons	directed
ABCA10	AKAP7	0.903	Vasculature_cells	directed
ABCA10	AL355472.3	0.239	Excitatory_neurons	directed
ABCA10	AL445250.1	0.917	Vasculature_cells	directed
ABCA10	GLIDR	0.931	Inhibitory_neurons	directed
ABCA10	KCNIP1	0.294	Vasculature_cells	directed
ABCA10	LINC02389	0.921	Inhibitory_neurons	directed
ABCA10	MTMR1	0.932	Inhibitory_neurons	directed
ABCA10	PSD3	0.777	Vasculature_cells	directed
ABCA10	SPAG16	0.443	Inhibitory_neurons	directed
ABCA10	SPRY4	0.976	Vasculature_cells	directed
ABCA10	SRPX2	0.898	Vasculature_cells	directed
ABCA10	ST8SIA1	0.957	Vasculature_cells	directed
ABCA10	ZNF248	0.336	Inhibitory_neurons	directed
ABCA13	AC025171.4	0.793	T_cells	directed
ABCA13	AC090772.1	0.927	T_cells	directed
ABCA13	AL137186.2	0.47	T_cells	directed
ABCA13	BAIAP2L2	0.757	T_cells	directed
ABCA13	BEX5	0.922	T_cells	directed
ABCA13	PNOC	0.918	T_cells	directed
ABCA13	PRKCG	0.937	T_cells	directed
ABCA13	TLL1	0.523	T_cells	directed
ABCA2	AATK	0.681	Oligodendrocytes	directed
ABCA2	ADAM15	0.554	Inhibitory_neurons	directed
ABCA2	ANKZF1	0.923	Oligodendrocytes	directed
ABCA2	ARHGEF1	0.839	Astrocytes	directed
ABCA2	BIN1	0.724	Oligodendrocytes	directed
ABCA2	BRSK2	0.828	Excitatory_neurons	directed
ABCA2	C2CD4C	0.854	OPCs	directed
ABCA2	DACT3	0.852	Oligodendrocytes	directed
ABCA2	DLL1	0.851	OPCs	directed
ABCA2	DUS1L	0.661	Inhibitory_neurons	directed
ABCA2	DVL1	0.951	Oligodendrocytes	directed
ABCA2	EIF2B1	0.951	Oligodendrocytes	directed
ABCA2	FADS3	0.962	Oligodendrocytes	directed
ABCA2	INTS11	0.904	Oligodendrocytes	directed
ABCA2	LONP1	0.965	Oligodendrocytes	directed
ABCA2	SBF1	0.944	Oligodendrocytes	directed
ABCA2	SPNS2	0.919	Oligodendrocytes	directed
ABCA2	TJAP1	0.785	Oligodendrocytes	directed
ABCA2	TMEM259	0.731	Oligodendrocytes	directed
ABCA3	CC2D1A	0.359	Excitatory_neurons	directed
ABCA3	HS6ST1	0.98	Astrocytes	directed
ABCA3	KRI1	0.83	Astrocytes	directed
ABCA3	PTPA	0.832	Astrocytes	directed
ABCA3	SCAP	0.805	Inhibitory_neurons	directed
ABCA3	TBC1D25	0.821	Oligodendrocytes	directed
ABCA5	KCTD21	0.777	Excitatory_neurons	directed
ABCA5	LRRC61	0.859	Inhibitory_neurons	directed
ABCA5	ZFP30	0.819	Inhibitory_neurons	directed
ABCA6	ABCA8	0.746	Vasculature_cells	directed
ABCA6	ABCA9	0.5275	Excitatory_neurons;Vasculature_cells	directed
ABCA6	AC004889.1	0.595	T_cells	directed
