schema_version	record_type	artifact_id	path	sha256	bytes
phase13_figure_manifest_v1	input	respiratory_status	results/minerva_production/13_respiratory_modifier/respiratory_status.tsv	1502f0c003a9df63fec57e784da9d3eb64d6d925847bc6c0af2d58ec340e3d03	1398
phase13_figure_manifest_v1	input	respiratory_gene_interaction_results.tsv	results/minerva_production/13_respiratory_modifier/respiratory_gene_interaction_results.tsv.gz	493862942bbfdfde4b4e711da109a1a4ee972f274533e7bfb824d5542f4c863d	59379786
phase13_figure_manifest_v1	input	respiratory_module_members	results/minerva_production/13_respiratory_modifier/respiratory_module_members.tsv	4c4f445687ccd86d6b84b27d98d16bc4586a84304932963449291812ef55dd33	55405
phase13_figure_manifest_v1	input	respiratory_module_coverage	results/minerva_production/13_respiratory_modifier/respiratory_module_coverage.tsv	6e4523e334e8005d9c4b915b51202789b9fe01876ae8c3e63b67a7fb77587c4e	27491
phase13_figure_manifest_v1	input	respiratory_module_manifest	results/minerva_production/13_respiratory_modifier/respiratory_module_manifest.tsv	55e58b749e4a4d4a1cbcb5a830c49a60db161e7d30a144dea0204f94cb750077	1014
phase13_figure_manifest_v1	input	respiratory_cell_context_manifest	results/minerva_production/13_respiratory_modifier/respiratory_cell_context_manifest.tsv	dc01397475bbce1deb8140f7f381cfaac8f4cd20b44fddb3d4bfff363466e3bd	839
phase13_figure_manifest_v1	input	respiratory_contrast_manifest	results/minerva_production/13_respiratory_modifier/respiratory_contrast_manifest.tsv	a9b5ed5c62a90afd2b526bcb83d05b887df0c45a5cddf014d9b253842d972b13	1883
phase13_figure_manifest_v1	output	phase13_gene_support_atlas_plotted_data	results/figures/analysis/phase13_respiratory_modifier/gene_support_atlas/phase13_gene_support_atlas_plotted_data.tsv	10ed9072e2b853ab707c6c86e6fb5bd52acf352d8c073b5e16f5a9f9662b54a3	4999255
phase13_figure_manifest_v1	output	phase13_gene_support_mtdna_oxphos_13	results/figures/analysis/phase13_respiratory_modifier/gene_support_atlas/phase13_gene_support_mtdna_oxphos_13.svg	d2ee4bfaa28e871448a6de0544a3f04c928715e65be692846fbcbffc882522fe	416834
phase13_figure_manifest_v1	output	phase13_gene_support_mtdna_oxphos_13	results/figures/analysis/phase13_respiratory_modifier/gene_support_atlas/phase13_gene_support_mtdna_oxphos_13.pdf	33fc0041af501c3171ba2868eea2fa442557bca943c8d8ecd35f67302459a2ed	35424
