context_id	module_id	assay_feature_identifier	effect_id	module_order	current_approved_symbol	respiratory_complex	inclusion_reason	member_order	schema_version	effect_type	log2_fold_change	standard_error	ci_low	ci_high	ql_f_statistic	p_value	residual_df	model_status	failure_reason	q_value	admitted_to_score	context_order	contrast_order	display_estimate	display_clipped	ci_excludes_zero	record_type	display_limit
astrocytes	mtdna_oxphos_13	MT-ND1	sex_F_minus_M__e2	1	MT-ND1	I	mtDNA-encoded structural OXPHOS subunit	1	phase13_gene_support_atlas_plot_v1	modifier	0.949526371069288	0.742525429057828	-0.512656847897943	2.41170959003652	1.6450689890685	0.20078270589993	257.95826854782	estimated	NA	0.928926797340881	TRUE	1	1	0.949526371069288	FALSE	FALSE	module_member_gene_effect	2
astrocytes	mtdna_oxphos_13	MT-ND1	sex_F_minus_M__e33	1	MT-ND1	I	mtDNA-encoded structural OXPHOS subunit	1	phase13_gene_support_atlas_plot_v1	modifier	0.0993936268878347	0.336658582868549	-0.563555426609624	0.762342680385293	0.0824668715239238	0.77421234899092	257.95826854782	estimated	NA	1	TRUE	1	2	0.0993936268878347	FALSE	FALSE	module_member_gene_effect	2
astrocytes	mtdna_oxphos_13	MT-ND1	sex_F_minus_M__e4	1	MT-ND1	I	mtDNA-encoded structural OXPHOS subunit	1	phase13_gene_support_atlas_plot_v1	modifier	0.180631706210482	0.533717361083975	-0.870366062362485	1.23162947478345	0.114709363063599	0.735120521058156	257.95826854782	estimated	NA	1	TRUE	1	3	0.180631706210482	FALSE	FALSE	module_member_gene_effect	2
astrocytes	mtdna_oxphos_13	MT-ND1	apoe_e2_minus_e33__Female	1	MT-ND1	I	mtDNA-encoded structural OXPHOS subunit	1	phase13_gene_support_atlas_plot_v1	modifier	-0.554992287040033	0.519023182453675	-1.57705423662429	0.467069662544225	1.10357936091838	0.294465069440699	257.95826854782	estimated	NA	1	TRUE	1	4	-0.554992287040033	FALSE	FALSE	module_member_gene_effect	2
astrocytes	mtdna_oxphos_13	MT-ND1	apoe_e2_minus_e33__Male	1	MT-ND1	I	mtDNA-encoded structural OXPHOS subunit	1	phase13_gene_support_atlas_plot_v1	modifier	-1.40512503122148	0.63297683862655	-2.65158484958629	-0.158665212856677	4.75477784824485	0.0301209034632204	257.95826854782	estimated	NA	0.65511172245886	TRUE	1	5	-1.40512503122148	FALSE	TRUE	module_member_gene_effect	2
astrocytes	mtdna_oxphos_13	MT-ND1	apoe_e4_minus_e33__Female	1	MT-ND1	I	mtDNA-encoded structural OXPHOS subunit	1	phase13_gene_support_atlas_plot_v1	modifier	-0.119640885612928	0.435435614301284	-0.977101954629649	0.737820183403793	0.0753529059265419	0.783916394039699	257.95826854782	estimated	NA	1	TRUE	1	6	-0.119640885612928	FALSE	FALSE	module_member_gene_effect	2
astrocytes	mtdna_oxphos_13	MT-ND1	apoe_e4_minus_e33__Male	1	MT-ND1	I	mtDNA-encoded structural OXPHOS subunit	1	phase13_gene_support_atlas_plot_v1	modifier	-0.200878964935575	0.45642942077677	-1.09968109828413	0.697923168412978	0.19475228321985	0.659360086344942	257.95826854782	estimated	NA	1	TRUE	1	7	-0.200878964935575	FALSE	FALSE	module_member_gene_effect	2
excitatory_neurons	mtdna_oxphos_13	MT-ND1	sex_F_minus_M__e2	1	MT-ND1	I	mtDNA-encoded structural OXPHOS subunit	1	phase13_gene_support_atlas_plot_v1	modifier	0.561080842529004	0.557272537806889	-0.536155834790539	1.65831751984855	1.01179643982056	0.315388868922949	265.452807721493	estimated	NA	1	TRUE	2	1	0.561080842529004	FALSE	FALSE	module_member_gene_effect	2
excitatory_neurons	mtdna_oxphos_13	MT-ND1	sex_F_minus_M__e33	1	MT-ND1	I	mtDNA-encoded structural OXPHOS subunit	1	phase13_gene_support_atlas_plot_v1	modifier	0.344228063583147	0.260368431014684	-0.168421982388531	0.856878109554824	1.67286425985313	0.196999702323482	265.452807721493	estimated	NA	1	TRUE	2	2	0.344228063583147	FALSE	FALSE	module_member_gene_effect	2
excitatory_neurons	mtdna_oxphos_13	MT-ND1	sex_F_minus_M__e4	1	MT-ND1	I	mtDNA-encoded structural OXPHOS subunit	1	phase13_gene_support_atlas_plot_v1	modifier	0.0948130362197637	0.409907356174808	-0.712270311666188	0.901896384105716	0.053606399312725	0.817081019814161	265.452807721493	estimated	NA	1	TRUE	2	3	0.0948130362197637	FALSE	FALSE	module_member_gene_effect	2
excitatory_neurons	mtdna_oxphos_13	MT-ND1	apoe_e2_minus_e33__Female	1	MT-ND1	I	mtDNA-encoded structural OXPHOS subunit	1	phase13_gene_support_atlas_plot_v1	modifier	-0.440884906822667	0.382676312190394	-1.19435193918195	0.312582125536618	1.29523693992451	0.256111213848615	265.452807721493	estimated	NA	1	TRUE	2	4	-0.440884906822667	FALSE	FALSE	module_member_gene_effect	2
excitatory_neurons	mtdna_oxphos_13	MT-ND1	apoe_e2_minus_e33__Male	1	MT-ND1	I	mtDNA-encoded structural OXPHOS subunit	1	phase13_gene_support_atlas_plot_v1	modifier	-0.657737685768525	0.484668845173104	-1.61202198510057	0.296546613563519	1.78409966544991	0.182790789383595	265.452807721493	estimated	NA	0.76606306442271	TRUE	2	5	-0.657737685768525	FALSE	FALSE	module_member_gene_effect	2
