check	passed	observed
supporting_run_count	True	5
selected_threshold	True	1/5
threshold_2_hit_count	True	9
node_count	True	28
edge_count	True	28
query_hit_count	True	14
all_direct_incoming	True	1
all_direct_outgoing	True	9
pathway_representative_count	True	5
pathway_membership_rows	True	28
selected_fdr_significant_pathways	True	3
all_fdr_significant_pathways	True	18
png_dimensions	True	2385x1464
png_nonempty	True	243109
pdf_nonempty	True	10951
svg_nonempty	True	144340
cytoscape_session_nonempty	True	36191
cytoscape_style_nonempty	True	11911
