schema_version	network	gene	included_reason	directed_depth_from_lamtor5	upstream_depth_to_lamtor5	is_direct_incoming_neighbor	is_direct_outgoing_neighbor	supporting_neighborhood_occurrence_count	supporting_neighborhood_occurrence_fraction	query_hit_occurrence_count	query_hit_occurrence_fraction	query_hit_display_threshold_count	query_hit_display_threshold_fraction	is_query_hit_meeting_display_threshold	is_core_mitocarta	hgnc_name	phase08_deg_class	phase08_up_count	phase08_down_count	in_degree_full	out_degree_full	in_degree_display	out_degree_display
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	ATP5IF1	query_hit_meeting_display_threshold	2.0		False	False	5	1.0	2	0.4	1	0.2	True	True	ATP synthase inhibitory factor subunit 1	mixed	1	5	1	0	1	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	ATP5MG	query_hit_meeting_display_threshold	3.0		False	False	5	1.0	2	0.4	1	0.2	True	True	ATP synthase membrane subunit g	down_only	0	4	1	0	1	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	ATP5PF	all_direct_outgoing|query_hit_meeting_display_threshold	1.0		False	True	5	1.0	3	0.6	1	0.2	True	True	ATP synthase peripheral stalk subunit F6	down_only	0	7	2	8	1	6
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	CISD1	query_hit_meeting_display_threshold	3.0		False	False	5	1.0	2	0.4	1	0.2	True	True	CDGSH iron sulfur domain 1	down_only	0	3	1	0	1	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	COX5A	query_hit_meeting_display_threshold	3.0		False	False	5	1.0	2	0.4	1	0.2	True	True	cytochrome c oxidase subunit 5A	mixed	1	3	1	0	1	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	COX7C	upstream_context|all_direct_incoming		1.0	True	False	0	0.0	0	0.0	1	0.2	False	True	cytochrome c oxidase subunit 7C	mixed	1	10	1	15	1	2
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	DAD1	all_direct_outgoing	1.0		False	True	2	0.4	0	0.0	1	0.2	False	False	defender against cell death 1	mixed	1	1	1	0	1	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	ERH	all_direct_outgoing	1.0		False	True	5	1.0	0	0.0	1	0.2	False	False	ERH mRNA splicing and mitosis factor	down_only	0	1	1	0	1	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	LAMTOR5	driver	0.0		False	False	5	1.0	0	0.0	1	0.2	False	False	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5	mixed	1	3	1	9	1	9
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	LSM1	all_direct_outgoing	1.0		False	True	4	0.8	0	0.0	1	0.2	False	False	LSM1 homolog, mRNA degradation associated	not_deg	0	0	2	0	1	0
