schema_version	kda_run_id	final_layer	effective_query_size	effective_background_size	reconstructed_neighborhood_size_including_driver	driver_self_excluded	reconstructed_query_hit_count	reconstructed_query_hits
phase18_lamtor5_inhibitory_consensus_v1	primary_Inh_CUX2_MSR1_M_e2_AD_down_mito	3	97	7268	31	False	6	ATP5IF1;ATP5MG;ATP5PF;CISD1;NDUFB1;NDUFB4
phase18_lamtor5_inhibitory_consensus_v1	primary_Inh_L3_5_SST_MAFB_M_e2_AD_down_mito	3	90	7756	56	False	8	ATP5IF1;ATP5MG;ATP5PF;CISD1;MRPL50;MRPS14;NDUFB2;SOD1
phase18_lamtor5_inhibitory_consensus_v1	primary_Inh_LAMP5_NRG1_Rosehip_F_e4_AD_down_mito	3	55	7917	35	False	4	ATP5PF;NDUFB2;NDUFB9;SOD1
phase18_lamtor5_inhibitory_consensus_v1	primary_Inh_PVALB_HTR4_M_e2_AD_down_mito	3	60	8668	59	False	4	COX5A;MRPS14;NDUFB9;PAICS
phase18_lamtor5_inhibitory_consensus_v1	primary_Inh_VIP_CLSTN2_M_e2_AD_down_mito	3	14	8157	57	False	3	COX5A;NDUFS3;SOD1
