schema_version	library	network	pathway	pathway_url	background_definition	background_gene_count	displayed_mapped_gene_count	pathway_background_gene_count	overlap_gene_count	overlap_genes	fold_enrichment	raw_hypergeometric_p	bh_fdr	selected_nonredundant_representative	pathway_code	pathway_display_label	pathway_color	selection_rule
phase18_lamtor5_inhibitory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Inhibitory_neurons	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	all inhibitory-neuron Bayesian-network genes represented in MSigDB C2:CP	6537	27	81	11	ATP5IF1;ATP5MG;ATP5PF;COX5A;COX7C;NDUFA12;NDUFB1;NDUFB2;NDUFB4;NDUFB9;NDUFS3	32.8792866941015	5.831896118176739e-15	9.949214777609516e-12	True	O	ETC / oxidative phosphorylation	#0072B2	nonredundant representative; FDR-significant unless explicitly labeled contextual
phase18_lamtor5_inhibitory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Inhibitory_neurons	KEGG_HUNTINGTONS_DISEASE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_HUNTINGTONS_DISEASE	all inhibitory-neuron Bayesian-network genes represented in MSigDB C2:CP	6537	27	128	10	ATP5PF;COX5A;COX7C;NDUFB1;NDUFB2;NDUFB4;NDUFB9;NDUFS3;POLR2K;SOD1	18.914930555555554	3.702570526009466e-11	2.8786772071268914e-08	False				
phase18_lamtor5_inhibitory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Inhibitory_neurons	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	all inhibitory-neuron Bayesian-network genes represented in MSigDB C2:CP	6537	27	186	11	ATP5MG;ATP5PF;COX5A;COX7C;NDUFA12;NDUFB1;NDUFB2;NDUFB4;NDUFB9;NDUFS3;PYURF	14.318399044205496	6.464629317294804e-11	2.8786772071268914e-08	False				
phase18_lamtor5_inhibitory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Inhibitory_neurons	KEGG_OXIDATIVE_PHOSPHORYLATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_OXIDATIVE_PHOSPHORYLATION	all inhibitory-neuron Bayesian-network genes represented in MSigDB C2:CP	6537	27	94	9	ATP5MG;ATP5PF;COX5A;COX7C;NDUFB1;NDUFB2;NDUFB4;NDUFB9;NDUFS3	23.180851063829785	6.749536241798104e-11	2.8786772071268914e-08	False				
phase18_lamtor5_inhibitory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Inhibitory_neurons	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	all inhibitory-neuron Bayesian-network genes represented in MSigDB C2:CP	6537	27	113	9	COX5A;COX7C;NDUFA12;NDUFB1;NDUFB2;NDUFB4;NDUFB9;NDUFS3;PYURF	19.283185840707965	3.6117566516223174e-10	1.2323313695335347e-07	False				
phase18_lamtor5_inhibitory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Inhibitory_neurons	WP_OXIDATIVE_PHOSPHORYLATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_OXIDATIVE_PHOSPHORYLATION	all inhibitory-neuron Bayesian-network genes represented in MSigDB C2:CP	6537	27	49	7	ATP5MG;ATP5PF;NDUFB1;NDUFB2;NDUFB4;NDUFB9;NDUFS3	34.58730158730158	6.753954533429504e-10	1.920374405671789e-07	False				
phase18_lamtor5_inhibitory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Inhibitory_neurons	REACTOME_COMPLEX_I_BIOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_COMPLEX_I_BIOGENESIS	all inhibitory-neuron Bayesian-network genes represented in MSigDB C2:CP	6537	27	57	7	NDUFA12;NDUFB1;NDUFB2;NDUFB4;NDUFB9;NDUFS3;PYURF	29.732943469785575	2.034403448808773e-09	4.6935051449083126e-07	True	I	Mitochondrial complex I biogenesis	#009E73	nonredundant representative; FDR-significant unless explicitly labeled contextual
phase18_lamtor5_inhibitory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Inhibitory_neurons	KEGG_PARKINSONS_DISEASE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_PARKINSONS_DISEASE	all inhibitory-neuron Bayesian-network genes represented in MSigDB C2:CP	6537	27	93	8	ATP5PF;COX5A;COX7C;NDUFB1;NDUFB2;NDUFB4;NDUFB9;NDUFS3	20.826762246117084	2.200940278972245e-09	4.6935051449083126e-07	False				
phase18_lamtor5_inhibitory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Inhibitory_neurons	WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	all inhibitory-neuron Bayesian-network genes represented in MSigDB C2:CP	6537	27	97	8	COX5A;COX7C;NDUFA12;NDUFB1;NDUFB2;NDUFB4;NDUFB9;NDUFS3	19.967926689576174	3.0908061041557145e-09	5.858794681877387e-07	False				
phase18_lamtor5_inhibitory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Inhibitory_neurons	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	all inhibitory-neuron Bayesian-network genes represented in MSigDB C2:CP	6537	27	36	6	NDUFA12;NDUFB1;NDUFB2;NDUFB4;NDUFB9;NDUFS3	40.351851851851855	4.9080559634440354e-09	7.61194861239593e-07	False				
