schema_version	manifest_row	contrast_id	broad_cell_type	group_id	sensitivity_terminal_status	shared_tested_genes	logFC_pearson	sign_concordance	primary_strict_degs	sensitivity_strict_degs	primary_relaxed_degs	sensitivity_relaxed_degs
broad_deg_sensitivity_summary_v1	1	Astrocytes::AD_vs_NCI__Female__e2	Astrocytes	F_e2	validated_complete	19742	0.965130817978081	0.893475838314254	0	0	0	32
broad_deg_sensitivity_summary_v1	2	Astrocytes::AD_vs_NCI__Female__e33	Astrocytes	F_e33	validated_complete	19742	0.950394184313283	0.918346672069699	39	7	71	18
broad_deg_sensitivity_summary_v1	3	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	validated_complete	19742	0.915693741035657	0.905683314760409	265	28	421	54
broad_deg_sensitivity_summary_v1	4	Astrocytes::AD_vs_NCI__Male__e2	Astrocytes	M_e2	validated_complete	19742	0.949046000699042	0.901327119846014	5	3	5	3
broad_deg_sensitivity_summary_v1	5	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	validated_complete	19742	0.95691682864225	0.927059061898491	139	105	210	127
broad_deg_sensitivity_summary_v1	6	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	validated_complete	19742	0.99307592233995	0.969253368453044	2	1	3	5
broad_deg_sensitivity_summary_v1	7	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	validated_complete	26509	0.81677394458498	0.953261156588328	86	1	115	1
broad_deg_sensitivity_summary_v1	8	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	validated_complete	26509	0.975607013965546	0.930929118412615	52	64	89	131
broad_deg_sensitivity_summary_v1	9	Excitatory_neurons::AD_vs_NCI__Female__e4	Excitatory_neurons	F_e4	validated_complete	26509	0.99339741284326	0.976875778037648	70	57	90	81
broad_deg_sensitivity_summary_v1	10	Excitatory_neurons::AD_vs_NCI__Male__e2	Excitatory_neurons	M_e2	validated_complete	26509	0.939988336255307	0.923195895733524	128	13	201	24
broad_deg_sensitivity_summary_v1	11	Excitatory_neurons::AD_vs_NCI__Male__e33	Excitatory_neurons	M_e33	validated_complete	26509	0.637373241604255	0.910785016409521	487	7	638	10
broad_deg_sensitivity_summary_v1	12	Excitatory_neurons::AD_vs_NCI__Male__e4	Excitatory_neurons	M_e4	validated_complete	26509	0.97799595496868	0.934173299634087	3	3	4	6
broad_deg_sensitivity_summary_v1	13	Inhibitory_neurons::AD_vs_NCI__Female__e2	Inhibitory_neurons	F_e2	validated_complete	23136	0.931225599351867	0.865361341632089	1	1	1	1
broad_deg_sensitivity_summary_v1	14	Inhibitory_neurons::AD_vs_NCI__Female__e33	Inhibitory_neurons	F_e33	validated_complete	23136	0.772374773910406	0.722942600276625	13	9	15	15
broad_deg_sensitivity_summary_v1	15	Inhibitory_neurons::AD_vs_NCI__Female__e4	Inhibitory_neurons	F_e4	validated_complete	23136	0.996001327163364	0.972510373443983	35	36	47	54
broad_deg_sensitivity_summary_v1	16	Inhibitory_neurons::AD_vs_NCI__Male__e2	Inhibitory_neurons	M_e2	validated_complete	23136	0.989863591879187	0.94277316735823	41	44	54	61
broad_deg_sensitivity_summary_v1	17	Inhibitory_neurons::AD_vs_NCI__Male__e33	Inhibitory_neurons	M_e33	validated_complete	23136	0.987812104161301	0.929503803596127	0	0	0	0
broad_deg_sensitivity_summary_v1	18	Inhibitory_neurons::AD_vs_NCI__Male__e4	Inhibitory_neurons	M_e4	validated_complete	23136	0.991339574117214	0.95695020746888	0	0	0	0
broad_deg_sensitivity_summary_v1	19	Microglia::AD_vs_NCI__Female__e2	Microglia	F_e2	validated_complete	15728	0.981126534807515	0.951742115971516	1	1	1	1
broad_deg_sensitivity_summary_v1	20	Microglia::AD_vs_NCI__Female__e33	Microglia	F_e33	validated_complete	15728	0.973878391584	0.924847405900305	8	2	14	9
broad_deg_sensitivity_summary_v1	21	Microglia::AD_vs_NCI__Female__e4	Microglia	F_e4	validated_complete	15728	0.983017402164383	0.944875381485249	2	2	2	4
broad_deg_sensitivity_summary_v1	22	Microglia::AD_vs_NCI__Male__e2	Microglia	M_e2	validated_complete	15728	0.990974129927397	0.965094099694812	4	5	6	6
broad_deg_sensitivity_summary_v1	23	Microglia::AD_vs_NCI__Male__e33	Microglia	M_e33	validated_complete	15728	0.994122185907998	0.961533570701933	2	2	3	3
broad_deg_sensitivity_summary_v1	24	Microglia::AD_vs_NCI__Male__e4	Microglia	M_e4	validated_complete	15728	0.981182959897116	0.951233468972533	5	0	6	0
broad_deg_sensitivity_summary_v1	25	OPCs::AD_vs_NCI__Female__e2	OPCs	F_e2	not_applicable	0	NA	NA	4	0	5	0
broad_deg_sensitivity_summary_v1	26	OPCs::AD_vs_NCI__Female__e33	OPCs	F_e33	not_applicable	0	NA	NA	1	0	2	0
broad_deg_sensitivity_summary_v1	27	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	not_applicable	0	NA	NA	189	0	247	0
broad_deg_sensitivity_summary_v1	28	OPCs::AD_vs_NCI__Male__e2	OPCs	M_e2	not_applicable	0	NA	NA	2	0	2	0
broad_deg_sensitivity_summary_v1	29	OPCs::AD_vs_NCI__Male__e33	OPCs	M_e33	not_applicable	0	NA	NA	1	0	2	0
broad_deg_sensitivity_summary_v1	30	OPCs::AD_vs_NCI__Male__e4	OPCs	M_e4	not_applicable	0	NA	NA	0	0	0	0
broad_deg_sensitivity_summary_v1	31	Oligodendrocytes::AD_vs_NCI__Female__e2	Oligodendrocytes	F_e2	not_applicable	0	NA	NA	1	0	2	0
broad_deg_sensitivity_summary_v1	32	Oligodendrocytes::AD_vs_NCI__Female__e33	Oligodendrocytes	F_e33	not_applicable	0	NA	NA	13	0	28	0
broad_deg_sensitivity_summary_v1	33	Oligodendrocytes::AD_vs_NCI__Female__e4	Oligodendrocytes	F_e4	not_applicable	0	NA	NA	23	0	35	0
