schema_version	broad_cell_type	samples	fine_cell_types	composition_pcs	design_rank	design_columns	tested_genes	model_status	message
broad_deg_sensitivity_model_diagnostics_v1	Astrocytes	272	3	2	16	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled;composition_PC1;composition_PC2	19742	fitted	
broad_deg_sensitivity_model_diagnostics_v1	Excitatory_neurons	275	14	2	16	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled;composition_PC1;composition_PC2	26509	fitted	
broad_deg_sensitivity_model_diagnostics_v1	Inhibitory_neurons	273	25	2	16	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled;composition_PC1;composition_PC2	23136	fitted	
broad_deg_sensitivity_model_diagnostics_v1	Microglia	263	3	2	16	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled;composition_PC1;composition_PC2	15728	fitted	
broad_deg_sensitivity_model_diagnostics_v1	OPCs	268	1	0	NA		0	not_applicable	not_applicable_single_fine_cell_type
broad_deg_sensitivity_model_diagnostics_v1	Oligodendrocytes	275	1	0	NA		0	not_applicable	not_applicable_single_fine_cell_type
broad_deg_sensitivity_model_diagnostics_v1	Vasculature_cells	198	5	2	16	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled;composition_PC1;composition_PC2	8096	fitted	
