fine_cell_type	nuclei	donors	missing_donor_ids
Inh ALCAM TRPM3	10897	404	0
Inh CUX2 MSR1	24885	408	0
Inh ENOX2 SPHKAP	12396	409	0
Inh FBN2 EPB41L4A	6769	405	0
Inh GPC5 RIT2	4788	401	0
Inh L1 PAX6 CA4	5070	393	0
Inh L1-2 PAX6 SCGN	1617	355	0
Inh L1-6 LAMP5 CA13	15060	414	0
Inh L3-5 SST MAFB	23294	411	0
Inh L5-6 PVALB STON2	5286	390	0
Inh L5-6 SST TH	4502	397	0
Inh L6 SST NPY	1404	346	0
Inh LAMP5 NRG1 (Rosehip)	26065	413	0
Inh LAMP5 RELN	8813	387	0
Inh PTPRK FAM19A1	10438	401	0
Inh PVALB CA8 (Chandelier)	14644	413	0
Inh PVALB HTR4	42032	415	0
Inh PVALB SULF1	21231	410	0
Inh RYR3 TSHZ2	24230	418	0
Inh SGCD PDE3A	4030	393	0
Inh SORCS1 TTN	9610	399	0
Inh VIP ABI3BP	14448	418	0
Inh VIP CLSTN2	17631	418	0
Inh VIP THSD7B	8211	403	0
Inh VIP TSHZ2	12348	413	0
