fine_cell_type	nuclei	donors	missing_donor_ids
Exc L3-4 RORB CUX2	184784	423	0
Exc L3-5 RORB PLCH1	37949	419	0
Exc L4-5 RORB GABRG1	79361	416	0
Exc L4-5 RORB IL1RAPL2	119435	421	0
