schema_version	rds_id	source_rds	projid	nuclei	fine_cell_types	raw_counts	xist_counts	uty_counts	xist_cpm	uty_cpm
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	90942860	745	9	21349428	2	3763	0.0936793248043929	176.257649619465
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	91018909	710	9	8747890	3	1416	0.342939840350073	161.867604645234
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	91444029	906	9	11392292	1	2374	0.0877786489321025	208.386512564811
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	91707643	179	9	5029469	0	890	0	176.957050535554
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	92393245	439	9	9796280	10262	3	1047.54049496339	0.306238694688188
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	92629514	374	9	2238288	0	300	0	134.031009414338
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	93815598	833	9	19351844	13775	8	711.818470632566	0.413397296919095
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	94092977	651	9	17670624	0	3727	0	210.915019186646
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	94144536	524	9	10964769	11439	10	1043.25043236205	0.912011917442128
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	94430339	7426	9	20360304	21117	12	1037.16526040083	0.589382162466729
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	94974890	150	8	1034860	575	2	555.630713333205	1.93262856811549
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	95491648	689	9	16523919	5	3259	0.302591655163645	197.229240835664
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	95919181	514	9	2664926	2	496	0.750489882270652	186.121490803122
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	96095092	826	9	4121104	2844	3	690.106340436931	0.727960274722502
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	98953007	852	9	5156206	2153	4	417.555078288183	0.775764195612045
