fine_cell_type	nuclei	donors	missing_donor_ids
Exc L5 ET	3454	384	0
Exc L5-6 RORB LINC02196	22343	416	0
Exc L5/6 IT Car3	18371	413	0
Exc L5/6 NP	17247	409	0
Exc L6 CT	23073	411	0
Exc L6 THEMIS NFIA	66676	415	0
Exc L6b	25055	416	0
Exc NRGN	45859	423	0
Exc RELN CHD7	102687	416	0
