schema_version	figure_family	record_type	panel_id	context_id	endpoint_id	stratum_id	estimate	standard_error	ci_low	ci_high	p_value	model_status	failure_reason
phase15_figure_package_v1	stratum_effects	adjusted_stratum_effect	A-C	astrocytes	standardized_difference	Female__e2	-0.155731247768589	0.692009544793837	-1.51846239112821	1.20699989559103	0.822125394086365	estimated	
phase15_figure_package_v1	stratum_effects	adjusted_stratum_effect	A-C	astrocytes	standardized_difference	Female__e33	0.413529337192805	0.279285319366035	-0.136449785850388	0.963508460235998	0.139919473766583	estimated	
phase15_figure_package_v1	stratum_effects	adjusted_stratum_effect	A-C	astrocytes	standardized_difference	Female__e4	0.0217066645325397	0.429515594681308	-0.824111549730997	0.867524878796077	0.959733285078192	estimated	
phase15_figure_package_v1	stratum_effects	adjusted_stratum_effect	A-C	astrocytes	standardized_difference	Male__e2	0.136937424098145	0.7802944552026	-1.39964767519004	1.67352252338633	0.86082924392529	estimated	
phase15_figure_package_v1	stratum_effects	adjusted_stratum_effect	A-C	astrocytes	standardized_difference	Male__e33	0.627874406807799	0.499791810699544	-0.356334367132268	1.61208318074786	0.210158162200026	estimated	
phase15_figure_package_v1	stratum_effects	adjusted_stratum_effect	A-C	astrocytes	standardized_difference	Male__e4	0.302213864216805	0.454056882455738	-0.591931974138003	1.19635970257161	0.50627272792144	estimated	
phase15_figure_package_v1	stratum_effects	adjusted_stratum_effect	A-C	astrocytes	nci_reference_residual	Female__e2	-0.0286842971759354	0.520969479103655	-1.05459692982018	0.997228335468309	0.956133873111207	estimated	
phase15_figure_package_v1	stratum_effects	adjusted_stratum_effect	A-C	astrocytes	nci_reference_residual	Female__e33	0.390013784468963	0.212674487946034	-0.0287927916866647	0.80882036062459	0.0678320807484538	estimated	
phase15_figure_package_v1	stratum_effects	adjusted_stratum_effect	A-C	astrocytes	nci_reference_residual	Female__e4	0.0212900394179725	0.329636151967006	-0.627841831149639	0.670421909985583	0.948553456538133	estimated	
phase15_figure_package_v1	stratum_effects	adjusted_stratum_effect	A-C	astrocytes	nci_reference_residual	Male__e2	-0.598661870651325	0.79575346377673	-2.16568942927829	0.96836568797564	0.452546659249045	estimated	
phase15_figure_package_v1	stratum_effects	adjusted_stratum_effect	A-C	astrocytes	nci_reference_residual	Male__e33	0.344658328556822	0.277096825961948	-0.201011131214784	0.890327788328428	0.21469945486221	estimated	
phase15_figure_package_v1	stratum_effects	adjusted_stratum_effect	A-C	astrocytes	nci_reference_residual	Male__e4	0.281605837365919	0.420134200001003	-0.545738182726196	1.10894985745803	0.503283754588951	estimated	
phase15_figure_package_v1	stratum_effects	adjusted_stratum_effect	A-C	astrocytes	coupling_slope_change	Female__e2	0.484980093005699	0.382120835749526	-0.26768099408316	1.23764118009456	0.205581261144433	estimated	
