schema_version	check_id	source_id	role	path	expected	observed	status	detail
human_genetic_support_tier2_classical_coloc_recovery_v1	source_1	EQTL_Catalogue	metadata	data/reference/phase19_genetic_support/tier2_recovery/inventory/Columns.md	exists	5862	pass	registered_size_and_checksum_validation
human_genetic_support_tier2_classical_coloc_recovery_v1	source_2	EQTL_Catalogue	metadata	data/reference/phase19_genetic_support/tier2_recovery/inventory/dataset_metadata_r7.tsv	exists	75969	pass	registered_size_and_checksum_validation
human_genetic_support_tier2_classical_coloc_recovery_v1	source_3	EQTL_Catalogue	metadata	data/reference/phase19_genetic_support/tier2_recovery/inventory/tabix_ftp_paths.tsv	exists	287387	pass	registered_size_and_checksum_validation
human_genetic_support_tier2_classical_coloc_recovery_v1	source_4	NG00067	public_file_registry	data/reference/phase19_genetic_support/tier2_recovery/inventory/niagads_ng00067_public.json	exists	143029	pass	registered_size_and_checksum_validation
human_genetic_support_tier2_classical_coloc_recovery_v1	source_5	QTD000559	released_susie_credible_sets	data/reference/phase19_genetic_support/tier2_recovery/released_qtl_models/QTD000559.credible_sets.tsv.gz	exists	253102	pass	registered_size_and_checksum_validation
human_genetic_support_tier2_classical_coloc_recovery_v1	source_6	QTD000559	released_susie_log_bayes_factors	data/reference/phase19_genetic_support/tier2_recovery/released_qtl_models/QTD000559.lbf_variable.txt.gz	61626446	61626446	pass	registered_size_and_checksum_validation
human_genetic_support_tier2_classical_coloc_recovery_v1	source_7	QTD000563	released_susie_credible_sets	data/reference/phase19_genetic_support/tier2_recovery/released_qtl_models/QTD000563.credible_sets.tsv.gz	exists	401025	pass	registered_size_and_checksum_validation
human_genetic_support_tier2_classical_coloc_recovery_v1	source_8	QTD000563	released_susie_log_bayes_factors	data/reference/phase19_genetic_support/tier2_recovery/released_qtl_models/QTD000563.lbf_variable.txt.gz	138362478	138362478	pass	registered_size_and_checksum_validation
human_genetic_support_tier2_classical_coloc_recovery_v1	source_9	QTD000563	splicing_event_gene_mapping_statistics	data/reference/phase19_genetic_support/tier2_recovery/regional_qtl/QTD000563.cc.tsv.gz	84923307	84923307	pass	registered_size_and_checksum_validation
human_genetic_support_tier2_classical_coloc_recovery_v1	source_10	QTD000569	released_susie_credible_sets	data/reference/phase19_genetic_support/tier2_recovery/released_qtl_models/QTD000569.credible_sets.tsv.gz	exists	480262	pass	registered_size_and_checksum_validation
human_genetic_support_tier2_classical_coloc_recovery_v1	source_11	QTD000569	released_susie_log_bayes_factors	data/reference/phase19_genetic_support/tier2_recovery/released_qtl_models/QTD000569.lbf_variable.txt.gz	139050463	139050463	pass	registered_size_and_checksum_validation
human_genetic_support_tier2_classical_coloc_recovery_v1	source_12	QTD000573	released_susie_credible_sets	data/reference/phase19_genetic_support/tier2_recovery/released_qtl_models/QTD000573.credible_sets.tsv.gz	exists	259550	pass	registered_size_and_checksum_validation
human_genetic_support_tier2_classical_coloc_recovery_v1	source_13	QTD000573	released_susie_log_bayes_factors	data/reference/phase19_genetic_support/tier2_recovery/released_qtl_models/QTD000573.lbf_variable.txt.gz	138569265	138569265	pass	registered_size_and_checksum_validation
human_genetic_support_tier2_classical_coloc_recovery_v1	source_14	QTD000573	splicing_event_gene_mapping_statistics	data/reference/phase19_genetic_support/tier2_recovery/regional_qtl/QTD000573.cc.tsv.gz	71561246	71561246	pass	registered_size_and_checksum_validation
human_genetic_support_tier2_classical_coloc_recovery_v1	source_15	QTD000579	released_susie_credible_sets	data/reference/phase19_genetic_support/tier2_recovery/released_qtl_models/QTD000579.credible_sets.tsv.gz	exists	2712019	pass	registered_size_and_checksum_validation
human_genetic_support_tier2_classical_coloc_recovery_v1	source_16	QTD000579	released_susie_log_bayes_factors	data/reference/phase19_genetic_support/tier2_recovery/released_qtl_models/QTD000579.lbf_variable.txt.gz	1537470314	1537470314	pass	registered_size_and_checksum_validation
human_genetic_support_tier2_classical_coloc_recovery_v1	source_17	QTD000583	released_susie_credible_sets	data/reference/phase19_genetic_support/tier2_recovery/released_qtl_models/QTD000583.credible_sets.tsv.gz	exists	851826	pass	registered_size_and_checksum_validation
human_genetic_support_tier2_classical_coloc_recovery_v1	source_18	QTD000583	released_susie_log_bayes_factors	data/reference/phase19_genetic_support/tier2_recovery/released_qtl_models/QTD000583.lbf_variable.txt.gz	486774759	486774759	pass	registered_size_and_checksum_validation
