schema_version	network	source	target	source_upstream_depth	target_upstream_depth	source_downstream_depth	target_downstream_depth	on_retained_shortest_path	is_upstream_context_edge
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5PF	NDUFA12	NA	NA	2	3	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5PF	NDUFB3	NA	NA	2	3	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	COX7C	RPLP2	NA	NA	1	2	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	COX7C	RPS15	NA	NA	1	2	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	COX7C	UQCRQ	NA	NA	1	2	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFB9	NDUFS6	NA	NA	2	3	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	MRPL21	NA	NA	2	3	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	UQCRFS1	NA	NA	2	3	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL10A	APOO	NA	NA	2	3	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	COX7C	NA	NA	0	1	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	RPL30	NA	NA	0	1	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	RPL6	NA	NA	0	1	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	RPS13	NA	NA	0	1	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	RPS27A	NA	NA	0	1	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	SMDT1	NA	NA	0	1	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL30	RSL24D1	NA	NA	1	2	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL6	ATP5PF	NA	NA	1	2	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	ATP5ME	NA	NA	2	3	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	MRPL24	NA	NA	2	3	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	NDUFA1	NA	NA	2	3	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	NDUFS5	NA	NA	2	3	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS13	NDUFB9	NA	NA	1	2	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS13	PSMB6	NA	NA	1	2	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS13	RPS9	NA	NA	1	2	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS13	SLC25A5	NA	NA	1	2	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS15	RPL13	NA	NA	2	3	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	RPL10A	NA	NA	1	2	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	RPS12	NA	NA	1	2	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS9	TXNRD1	NA	NA	2	3	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RSL24D1	FUNDC2	NA	NA	2	3	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SLC25A5	PDHB	NA	NA	2	3	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	ATP5PF	NA	NA	1	2	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	NDUFB4	NA	NA	1	2	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	TOMM7	NA	NA	1	2	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	UQCRB	NA	NA	1	2	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Astrocytes	PRDX1	PSAP	NA	NA	1	2	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	COX7C	NA	NA	0	1	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	PRDX1	NA	NA	0	1	TRUE	FALSE
phase18_rpl11_deep_dive_v1	Astrocytes	RPLP1	RPL11	1	NA	NA	NA	FALSE	TRUE
phase18_rpl11_deep_dive_v1	Astrocytes	RPS25	RPLP1	2	1	NA	NA	FALSE	TRUE
