schema_version	record_type	network	driver_a	driver_b	neighborhood_jaccard	query_hit_jaccard	downstream_three_layer_gene_count	query_hit_gene_count	aggregate_acat_p	aggregate_acat_q	conservative_support_count	terminal_candidate_status	topology_expression_matched_n	topology_expression_empirical_tail_p	query_hit_genes
phase18_rpl11_deep_dive_v1	driver_summary	Astrocytes	RPLP1	NA	NA	NA	68	7	2.45949956854975e-06	0.00237997574916664	3	driver_candidate	250	0.00796812749003984	ATP5F1E;ATP5PF;COX7C;NDUFB4;PSAP;TOMM7;UQCRB
phase18_rpl11_deep_dive_v1	driver_summary	Astrocytes	RPL15	NA	NA	NA	64	12	5.11728522358795e-06	0.00371386975101895	3	driver_candidate	250	0.00796812749003984	ATP5F1B;COX4I1;COX5B;COX7B;GHITM;ISCU;MRPL27;NDUFA5;NDUFAF8;NDUFV1;PNKD;SLC25A3
phase18_rpl11_deep_dive_v1	driver_summary	Astrocytes	RPS13	NA	NA	NA	0	0	NA	NA	0	not_tested	0	NA	
phase18_rpl11_deep_dive_v1	driver_summary	Astrocytes	RPS15	NA	NA	NA	86	6	0.000591956952966052	0.245493004922921	1	exploratory	250	0.0239043824701195	ACOT9;CHCHD2;DCXR;MRPS21;NDUFS3;RPL13
phase18_rpl11_deep_dive_v1	driver_summary	Astrocytes	RPL38	NA	NA	NA	0	0	NA	NA	0	not_tested	0	NA	
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPL11	RPL11	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPL11	RPLP1	0.191780821917808	0.583333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPL11	RPL15	0.0429447852760736	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPL11	RPS13	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPL11	RPS15	0.00523560209424084	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPL11	RPL38	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPLP1	RPL11	0.191780821917808	0.583333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPLP1	RPLP1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPLP1	RPL15	0.00763358778625954	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPLP1	RPS13	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPLP1	RPS15	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPLP1	RPL38	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPL15	RPL11	0.0429447852760736	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPL15	RPLP1	0.00763358778625954	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPL15	RPL15	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPL15	RPS13	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPL15	RPS15	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPL15	RPL38	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPS13	RPL11	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPS13	RPLP1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPS13	RPL15	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPS13	RPS13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPS13	RPS15	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPS13	RPL38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPS15	RPL11	0.00523560209424084	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPS15	RPLP1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPS15	RPL15	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPS15	RPS13	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPS15	RPS15	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPS15	RPL38	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPL38	RPL11	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPL38	RPLP1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPL38	RPL15	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPL38	RPS13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPL38	RPS15	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Astrocytes	RPL38	RPL38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
