schema_version	network	source	target
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5MD	NDUFA12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5PF	ACYP1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5PF	GTF3C6
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5PF	NDUFA12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5PF	NDUFB3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	BAIAP2L1	CDC42BPB
phase18_rpl11_deep_dive_v1	Excitatory_neurons	BAIAP2L1	RPL21
phase18_rpl11_deep_dive_v1	Excitatory_neurons	BCAS2	HMGN2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	CISD2	AIMP1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	CISD2	FTCD
phase18_rpl11_deep_dive_v1	Excitatory_neurons	CISD2	LSM6
phase18_rpl11_deep_dive_v1	Excitatory_neurons	COX20	IL17RA
phase18_rpl11_deep_dive_v1	Excitatory_neurons	COX7C	RPLP2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	COX7C	RPS15
phase18_rpl11_deep_dive_v1	Excitatory_neurons	COX7C	TMEM258
phase18_rpl11_deep_dive_v1	Excitatory_neurons	COX7C	UQCRQ
phase18_rpl11_deep_dive_v1	Excitatory_neurons	FAU	RPLP1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	KRT10	DUSP12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	KRT10	NOL7
phase18_rpl11_deep_dive_v1	Excitatory_neurons	KRT10	SNHG21
phase18_rpl11_deep_dive_v1	Excitatory_neurons	KRT10	ZNF230
phase18_rpl11_deep_dive_v1	Excitatory_neurons	MOAP1	PINK1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	MYL12B	EIF3I
phase18_rpl11_deep_dive_v1	Excitatory_neurons	MYL12B	FKBP1B
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFB9	NDUFS6
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFB9	SKP2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFB9	SNRPD1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PCBD1	C1orf43
