schema_version	network	gene	included_reason	directed_depth_from_rpl11	upstream_depth_to_rpl11	is_direct_incoming_neighbor	is_direct_outgoing_neighbor	supporting_neighborhood_occurrence_count	supporting_neighborhood_occurrence_fraction	query_hit_occurrence_count	query_hit_occurrence_fraction	query_hit_display_threshold	is_recurrent_query_hit	is_core_mitocarta	is_cytosolic_ribosomal	phase08_deg_class	phase08_up_count	phase08_down_count	in_degree_full	out_degree_full	in_degree_display	out_degree_display	x	y
phase18_rpl11_deep_dive_v1	Excitatory_neurons	APOO	recurrent_query_hit	3	NA	FALSE	FALSE	19	0.95	7	0.35	4	TRUE	TRUE	FALSE	down_only	0	8	1	1	1	0	4.37	4.65
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5ME	recurrent_query_hit	3	NA	FALSE	FALSE	18	0.9	12	0.6	4	TRUE	TRUE	FALSE	mixed	1	13	1	0	1	0	3.65	-4.65
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5PF	recurrent_query_hit	2	NA	FALSE	FALSE	20	1	13	0.65	4	TRUE	TRUE	FALSE	mixed	5	11	2	4	1	2	2.35	-1.55
phase18_rpl11_deep_dive_v1	Excitatory_neurons	COX7C	all_direct_outgoing|recurrent_query_hit	1	NA	FALSE	TRUE	20	1	19	0.95	4	TRUE	TRUE	FALSE	mixed	11	16	2	4	1	3	1.15	-6.2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	FUNDC2	recurrent_query_hit	3	NA	FALSE	FALSE	15	0.75	8	0.4	4	TRUE	TRUE	FALSE	mixed	4	6	1	0	1	0	4.37	-1.55
phase18_rpl11_deep_dive_v1	Excitatory_neurons	MRPL21	recurrent_query_hit	3	NA	FALSE	FALSE	13	0.65	6	0.3	4	TRUE	TRUE	FALSE	mixed	3	6	1	0	1	0	4.37	1.55
phase18_rpl11_deep_dive_v1	Excitatory_neurons	MRPL24	recurrent_query_hit	3	NA	FALSE	FALSE	10	0.5	4	0.2	4	TRUE	TRUE	FALSE	mixed	2	3	2	1	1	0	4.37	-4.65
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFA1	recurrent_query_hit	3	NA	FALSE	FALSE	19	0.95	15	0.75	4	TRUE	TRUE	FALSE	mixed	8	13	1	1	1	0	3.65	-3.1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFA12	recurrent_query_hit	3	NA	FALSE	FALSE	19	0.95	9	0.45	4	TRUE	TRUE	FALSE	mixed	5	8	2	1	1	0	3.65	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFB3	recurrent_query_hit	3	NA	FALSE	FALSE	16	0.8	12	0.6	4	TRUE	TRUE	FALSE	mixed	7	6	1	2	1	0	4.37	0
