schema_version	network	gene	minimum_upstream_depth	minimum_downstream_depth	network_role	is_rpl11	is_upstream_context	is_core_mitocarta	is_cytosolic_ribosomal	is_required_intermediate	supporting_run_count	supporting_run_fraction	supporting_fine_cell_type_count	supporting_groups	supporting_directions	phase08_paper_deg_any	phase08_up_count	phase08_down_count	phase08_deg_class	in_degree_full	out_degree_full	total_degree_full	local_display_degree	shortest_path_count_from_rpl11	x	y
phase18_rpl11_deep_dive_v1	Excitatory_neurons	APOO	NA	3	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	7	0.35	6	F_e4|M_e2|M_e33	AD_down_mito	TRUE	0	8	down_only	1	1	2	1	1	3	5.07
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5ME	NA	3	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	12	0.6	8	F_e2|F_e4|M_e2	AD_down_mito|AD_up_mito	TRUE	1	13	mixed	1	0	1	1	1	3	-5.07
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5PF	NA	2	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	13	0.65	10	F_e2|F_e4|M_e2|M_e33	AD_down_mito|AD_up_mito	TRUE	5	11	mixed	2	4	6	3	3	2	-0.78
phase18_rpl11_deep_dive_v1	Excitatory_neurons	COX7C	NA	1	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	19	0.95	11	F_e2|F_e33|F_e4|M_e2|M_e33	AD_down_mito|AD_up_mito	TRUE	11	16	mixed	2	4	6	4	7	1	-1.95
phase18_rpl11_deep_dive_v1	Excitatory_neurons	FUNDC2	NA	3	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	8	0.4	7	F_e2|F_e4|M_e2|M_e33	AD_down_mito|AD_up_mito	TRUE	4	6	mixed	1	0	1	1	1	3	-1.17
phase18_rpl11_deep_dive_v1	Excitatory_neurons	MRPL21	NA	3	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	6	0.3	5	F_e2|F_e4|M_e2	AD_down_mito|AD_up_mito	TRUE	3	6	mixed	1	0	1	1	1	3	1.95
phase18_rpl11_deep_dive_v1	Excitatory_neurons	MRPL24	NA	3	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	4	0.2	3	F_e2|M_e2	AD_down_mito|AD_up_mito	TRUE	2	3	mixed	2	1	3	1	1	3	-4.29
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFA1	NA	3	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	15	0.75	11	F_e2|F_e4|M_e2	AD_down_mito|AD_up_mito	TRUE	8	13	mixed	1	1	2	1	1	3	-3.51
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFA12	NA	3	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	9	0.45	7	F_e2|F_e4|M_e2|M_e33	AD_down_mito|AD_up_mito	TRUE	5	8	mixed	2	1	3	1	1	3	-0.390000000000001
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFB3	NA	3	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	12	0.6	9	F_e2|F_e4|M_e2|M_e33	AD_down_mito|AD_up_mito	TRUE	7	6	mixed	1	2	3	1	1	3	0.39
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFB9	NA	2	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	13	0.65	9	F_e2|F_e4|M_e2	AD_down_mito|AD_up_mito	TRUE	6	11	mixed	1	3	4	2	2	2	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFS5	NA	3	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	16	0.8	11	F_e2|F_e4|M_e2|M_e33	AD_down_mito|AD_up_mito	TRUE	14	12	mixed	2	2	4	1	1	3	-2.73
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFS6	NA	3	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	8	0.4	6	F_e2|F_e4|M_e2	AD_down_mito|AD_up_mito	TRUE	5	6	mixed	1	0	1	1	1	3	1.17
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PDHB	NA	3	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	6	0.3	6	M_e2|M_e33	AD_down_mito|AD_up_mito	TRUE	2	9	mixed	3	1	4	1	1	3	4.29
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	NA	2	downstream	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0			TRUE	6	9	mixed	2	11	13	3	2	2	0.779999999999999
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL10A	NA	2	downstream	FALSE	FALSE	FALSE	TRUE	TRUE	0	0	0			TRUE	1	11	mixed	1	2	3	2	1	2	3.12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	NA	NA	driver	TRUE	FALSE	FALSE	TRUE	FALSE	0	0	0			TRUE	2	10	mixed	0	9	9	6	21	0	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL13	NA	3	downstream	FALSE	FALSE	TRUE	TRUE	FALSE	14	0.7	10	F_e2|F_e4|M_e2|M_e33	AD_down_mito|AD_up_mito	TRUE	4	11	mixed	1	5	6	1	1	3	-1.95
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL30	NA	1	downstream	FALSE	FALSE	FALSE	TRUE	TRUE	0	0	0			TRUE	1	4	mixed	1	5	6	2	1	1	-1.17
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL6	NA	1	downstream	FALSE	FALSE	FALSE	TRUE	TRUE	0	0	0			TRUE	4	10	mixed	1	5	6	2	3	1	-0.39
