schema_version	network	target_gene	null_model	control_rank	control_gene	matching_distance	caliper_pass	control_aggregate_acat_p	control_conservative_support_count	control_supporting_fine_cell_type_count	control_is_cytosolic_ribosomal	target_out_degree	target_total_degree	target_log_layer1_size	target_log_layer2_size	target_log_layer3_size	target_coverage_fraction	control_out_degree	control_total_degree	control_log_layer1_size	control_log_layer2_size	control_log_layer3_size	control_coverage_fraction	target_log1p_counts_per_nucleus	target_detected_fraction	control_log1p_counts_per_nucleus	control_detected_fraction
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology	1	NRXN1	0.280137204797682	FALSE	0.986626991632161	0	0	FALSE	9	9	2.39789527279837	3.8286413964891	4.75359019110636	1	9	9	2.39789527279837	3.78418963391826	5.03695260241363	1	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology	2	GIGYF2	0.425068359711584	FALSE	0.795938170155728	0	0	FALSE	9	9	2.39789527279837	3.8286413964891	4.75359019110636	1	9	9	2.39789527279837	3.80666248977032	4.31748811353631	1	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology	3	ACIN1	0.730681478171367	TRUE	0.607477725720494	0	0	FALSE	9	9	2.39789527279837	3.8286413964891	4.75359019110636	1	8	9	2.30258509299405	3.68887945411394	4.68213122712422	1	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology	4	VTI1A	0.768143519909587	FALSE	0.793772081575419	0	0	FALSE	9	9	2.39789527279837	3.8286413964891	4.75359019110636	1	8	9	2.30258509299405	3.68887945411394	4.49980967033027	1	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology	5	RPTOR	0.788193646142143	FALSE	0.761850853817527	0	0	FALSE	9	9	2.39789527279837	3.8286413964891	4.75359019110636	1	8	9	2.30258509299405	3.78418963391826	4.40671924726425	1	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology	6	SAMD12	0.836377997326876	FALSE	0.000784653345418254	1	1	FALSE	9	9	2.39789527279837	3.8286413964891	4.75359019110636	1	9	10	2.39789527279837	3.71357206670431	4.26267987704132	1	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology	7	MAP1LC3B	0.878418378945644	FALSE	0.429264734381362	0	0	FALSE	9	9	2.39789527279837	3.8286413964891	4.75359019110636	1	9	10	2.39789527279837	3.49650756146648	4.31748811353631	1	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology	8	RPS15	0.912584413766014	FALSE	0.000142844120229429	10	8	TRUE	9	9	2.39789527279837	3.8286413964891	4.75359019110636	1	8	9	2.30258509299405	3.49650756146648	4.30406509320417	1	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology	9	CDC42BPA	0.920889331226038	FALSE	0.896271193938597	0	0	FALSE	9	9	2.39789527279837	3.8286413964891	4.75359019110636	1	8	9	2.30258509299405	3.46573590279973	4.31748811353631	1	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology	10	BABAM2	0.956121166768273	FALSE	0.0372274073398521	0	0	FALSE	9	9	2.39789527279837	3.8286413964891	4.75359019110636	1	8	9	2.30258509299405	3.58351893845611	4.15888308335967	1	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology	11	RHBDD2	0.98232059768663	TRUE	0.844177257151767	0	0	FALSE	9	9	2.39789527279837	3.8286413964891	4.75359019110636	1	10	10	2.484906649788	3.93182563272433	4.77068462446567	1	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology	12	SNX13	0.984161310583534	FALSE	0.322591829588725	0	0	FALSE	9	9	2.39789527279837	3.8286413964891	4.75359019110636	1	9	10	2.39789527279837	3.61091791264422	4.06044301054642	1	NA	NA	NA	NA
