schema_version	broad_network	kda_run_id	fine_cell_type	signature_group	sex	apoe_group	signature_direction	final_layer	final_run_q	hit_gene
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_CHI3L1_M_e4_AD_down_mito	Ast CHI3L1	M_e4	Male	e4	AD_down_mito	2	0.0166781014250489	COX7C
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_CHI3L1_M_e4_AD_down_mito	Ast CHI3L1	M_e4	Male	e4	AD_down_mito	2	0.0166781014250489	PSAP
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_CHI3L1_M_e4_AD_down_mito	Ast CHI3L1	M_e4	Male	e4	AD_down_mito	2	0.0166781014250489	TOMM7
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_GRM3_M_e2_AD_down_mito	Ast GRM3	M_e2	Male	e2	AD_down_mito	3	1.89568006390114e-07	NDUFB4
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_GRM3_M_e2_AD_down_mito	Ast GRM3	M_e2	Male	e2	AD_down_mito	3	1.89568006390114e-07	COX7C
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_GRM3_M_e2_AD_down_mito	Ast GRM3	M_e2	Male	e2	AD_down_mito	3	1.89568006390114e-07	UQCRB
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_GRM3_M_e2_AD_down_mito	Ast GRM3	M_e2	Male	e2	AD_down_mito	3	1.89568006390114e-07	PSAP
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_GRM3_M_e2_AD_down_mito	Ast GRM3	M_e2	Male	e2	AD_down_mito	3	1.89568006390114e-07	ATP5F1E
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_GRM3_M_e2_AD_down_mito	Ast GRM3	M_e2	Male	e2	AD_down_mito	3	1.89568006390114e-07	ATP5PF
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_GRM3_M_e2_AD_down_mito	Ast GRM3	M_e2	Male	e2	AD_down_mito	3	1.89568006390114e-07	SLIRP
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_GRM3_M_e2_AD_down_mito	Ast GRM3	M_e2	Male	e2	AD_down_mito	3	1.89568006390114e-07	CYB5R3
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_GRM3_M_e2_AD_down_mito	Ast GRM3	M_e2	Male	e2	AD_down_mito	3	1.89568006390114e-07	UQCRH
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_GRM3_M_e2_AD_down_mito	Ast GRM3	M_e2	Male	e2	AD_down_mito	3	1.89568006390114e-07	ATP5ME
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_GRM3_M_e2_AD_down_mito	Ast GRM3	M_e2	Male	e2	AD_down_mito	3	1.89568006390114e-07	COX6C
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_GRM3_F_e2_AD_up_mito	Ast GRM3	F_e2	Female	e2	AD_up_mito	2	7.14522452634455e-06	COX7C
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_GRM3_F_e2_AD_up_mito	Ast GRM3	F_e2	Female	e2	AD_up_mito	2	7.14522452634455e-06	PSAP
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_GRM3_F_e2_AD_up_mito	Ast GRM3	F_e2	Female	e2	AD_up_mito	2	7.14522452634455e-06	NDUFB4
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_GRM3_F_e2_AD_up_mito	Ast GRM3	F_e2	Female	e2	AD_up_mito	2	7.14522452634455e-06	TOMM7
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_GRM3_F_e2_AD_up_mito	Ast GRM3	F_e2	Female	e2	AD_up_mito	2	7.14522452634455e-06	UQCRB
phase18_rpl11_deep_dive_v1	Astrocytes	primary_Ast_GRM3_F_e2_AD_up_mito	Ast GRM3	F_e2	Female	e2	AD_up_mito	2	7.14522452634455e-06	ATP5PF
