schema_version	check_id	status	blocking	observed	expected	message
phase18_rpl11_deep_dive_v1	canonical_row_count	PASS	TRUE	95557	95557	Canonical Phase 18 row count
phase18_rpl11_deep_dive_v1	canonical_run_count	PASS	TRUE	161	161	Included call_key_drivers runs
phase18_rpl11_deep_dive_v1	canonical_unique_keys	PASS	TRUE	0	0	Unique run × tested-driver rows
phase18_rpl11_deep_dive_v1	rpl11_case	PASS	TRUE	['non_mt_driver']	non_mt_driver	RPL11 case classification
phase18_rpl11_deep_dive_v1	Excitatory_neurons_node_count	PASS	TRUE	10441	10441	Full-network node count
phase18_rpl11_deep_dive_v1	Excitatory_neurons_edge_count	PASS	TRUE	13759	13759	Full-network edge count
phase18_rpl11_deep_dive_v1	Excitatory_neurons_dag	PASS	TRUE	TRUE	TRUE	Bayesian network is acyclic
phase18_rpl11_deep_dive_v1	Excitatory_neurons_edge_hygiene	PASS	TRUE	duplicate=0;self=0;empty=0	0	Input edges require no cleaning
phase18_rpl11_deep_dive_v1	Astrocytes_node_count	PASS	TRUE	8285	8285	Full-network node count
phase18_rpl11_deep_dive_v1	Astrocytes_edge_count	PASS	TRUE	8881	8881	Full-network edge count
phase18_rpl11_deep_dive_v1	Astrocytes_dag	PASS	TRUE	TRUE	TRUE	Bayesian network is acyclic
phase18_rpl11_deep_dive_v1	Astrocytes_edge_hygiene	PASS	TRUE	duplicate=0;self=0;empty=0	0	Input edges require no cleaning
phase18_rpl11_deep_dive_v1	annotation_rpl11	PASS	TRUE	TRUE	TRUE	RPL11 has Phase 9 annotation
phase18_rpl11_deep_dive_v1	expression_rpl11	PASS	TRUE	['Astrocytes', 'Excitatory_neurons']	['Excitatory_neurons', 'Astrocytes']	RPL11 has expression/detection matching features
phase18_rpl11_deep_dive_v1	support_run_manifest	PASS	TRUE	25	25	All RPL11 support runs occur in the run manifest
phase18_rpl11_deep_dive_v1	support_query_nonempty	PASS	TRUE	25	25	All support queries have effective members
phase18_rpl11_deep_dive_v1	support_background_nonempty	PASS	TRUE	25	25	All support runs have background members
phase18_rpl11_deep_dive_v1	primary_support_count	PASS	TRUE	23	23	Primary-network conservative-support rows
phase18_rpl11_deep_dive_v1	primary_run_reconstruction	PASS	TRUE	0	0	Run-specific query hits, neighborhoods, fold enrichment, and raw P reproduce canonical rows
phase18_rpl11_deep_dive_v1	support_layer_distribution	PASS	TRUE	{'Excitatory_neurons': 'L2=1;L3=19', 'Astrocytes': 'L2=2;L3=1'}	Exc L2=1/L3=19; Ast L2=2/L3=1	Supporting-run final-layer distribution
phase18_rpl11_deep_dive_v1	Excitatory_neurons_rpl11_indegree	PASS	TRUE	0	0	RPL11 full-network in-degree
