schema_version	network	gene	x	y
phase18_rpl11_deep_dive_v1	Excitatory_neurons	APOO	3	5.07
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5ME	3	-5.07
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5PF	2	-0.78
phase18_rpl11_deep_dive_v1	Excitatory_neurons	COX7C	1	-1.95
phase18_rpl11_deep_dive_v1	Excitatory_neurons	FUNDC2	3	-1.17
phase18_rpl11_deep_dive_v1	Excitatory_neurons	MRPL21	3	1.95
phase18_rpl11_deep_dive_v1	Excitatory_neurons	MRPL24	3	-4.29
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFA1	3	-3.51
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFA12	3	-0.390000000000001
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFB3	3	0.39
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFB9	2	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFS5	3	-2.73
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFS6	3	1.17
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PDHB	3	4.29
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	2	0.779999999999999
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL10A	2	3.12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	0	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL13	3	-1.95
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL30	1	-1.17
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL6	1	-0.39
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	2	-3.9
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS12	2	3.9
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS13	1	0.39
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS15	2	-3.12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	1	1.17
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS9	2	1.56
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RSL24D1	2	-1.56
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SLC25A5	2	2.34
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SMDT1	1	1.95
phase18_rpl11_deep_dive_v1	Excitatory_neurons	TXNRD1	3	3.51
phase18_rpl11_deep_dive_v1	Excitatory_neurons	UQCRFS1	3	2.73
phase18_rpl11_deep_dive_v1	Excitatory_neurons	UQCRQ	2	-2.34
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5PF	2	-1.56
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	1	-1.25
phase18_rpl11_deep_dive_v1	Astrocytes	NDUFB4	2	-0.78
phase18_rpl11_deep_dive_v1	Astrocytes	PRDX1	1	1.25
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	2	1.56
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	0	0
phase18_rpl11_deep_dive_v1	Astrocytes	RPLP1	-1	0
phase18_rpl11_deep_dive_v1	Astrocytes	RPS25	-2	0
phase18_rpl11_deep_dive_v1	Astrocytes	TOMM7	2	0
phase18_rpl11_deep_dive_v1	Astrocytes	UQCRB	2	0.78
