schema_version	network	target_gene	null_model	feature	target_value	control_median	source_median	source_robust_scale	absolute_standardized_difference	balance_status
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology	out_degree	9	8	2	1.4826	0.674490759476595	residual_difference
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology	total_degree	9	9	4	1.4826	0	balanced
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology	log_layer1_size	2.39789527279837	2.30258509299405	1.38629436111989	0.42651744061701	0.223461389214112	balanced
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology	log_layer2_size	3.8286413964891	3.2188758248682	1.79175946922805	0.89865694237335	0.67852986258639	residual_difference
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology	log_layer3_size	4.75359019110636	3.80666248977032	2.07944154167984	1.02766000989817	0.921440644002359	residual_difference
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology	coverage_fraction	1	1	0.979381443298969	0.0305690721649485	0	balanced
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology_expression	out_degree	9	7	2	1.4826	1.34898151895319	residual_difference
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology_expression	total_degree	9	9	4	1.4826	0	balanced
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology_expression	log_layer1_size	2.39789527279837	2.19722457733622	1.38629436111989	0.42651744061701	0.470486494460475	balanced
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology_expression	log_layer2_size	3.8286413964891	3.13549421592915	1.79175946922805	0.89865694237335	0.771314556063347	residual_difference
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology_expression	log_layer3_size	4.75359019110636	3.73766961828337	2.07944154167984	1.02766000989817	0.988576536050729	residual_difference
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology_expression	coverage_fraction	1	1	0.979381443298969	0.0305690721649485	0	balanced
