schema_version	scope	rds_id	sex	apoe_group	diagnosis	donors
cohort_group_counts_v1	global	NA	Female	e2	NCI	17
cohort_group_counts_v1	global	NA	Female	e2	AD	8
cohort_group_counts_v1	global	NA	Female	e33	NCI	45
cohort_group_counts_v1	global	NA	Female	e33	AD	37
cohort_group_counts_v1	global	NA	Female	e4	NCI	11
cohort_group_counts_v1	global	NA	Female	e4	AD	26
cohort_group_counts_v1	global	NA	Male	e2	NCI	6
cohort_group_counts_v1	global	NA	Male	e2	AD	7
cohort_group_counts_v1	global	NA	Male	e33	NCI	53
cohort_group_counts_v1	global	NA	Male	e33	AD	29
cohort_group_counts_v1	global	NA	Male	e4	NCI	10
cohort_group_counts_v1	global	NA	Male	e4	AD	27
cohort_group_counts_v1	rds	astrocytes	Female	e2	NCI	17
cohort_group_counts_v1	rds	astrocytes	Female	e2	AD	8
cohort_group_counts_v1	rds	astrocytes	Female	e33	NCI	45
cohort_group_counts_v1	rds	astrocytes	Female	e33	AD	37
cohort_group_counts_v1	rds	astrocytes	Female	e4	NCI	11
cohort_group_counts_v1	rds	astrocytes	Female	e4	AD	26
cohort_group_counts_v1	rds	astrocytes	Male	e2	NCI	6
cohort_group_counts_v1	rds	astrocytes	Male	e2	AD	7
cohort_group_counts_v1	rds	astrocytes	Male	e33	NCI	53
cohort_group_counts_v1	rds	astrocytes	Male	e33	AD	29
cohort_group_counts_v1	rds	astrocytes	Male	e4	NCI	10
cohort_group_counts_v1	rds	astrocytes	Male	e4	AD	27
cohort_group_counts_v1	rds	excitatory_set1	Female	e2	NCI	17
cohort_group_counts_v1	rds	excitatory_set1	Female	e2	AD	8
cohort_group_counts_v1	rds	excitatory_set1	Female	e33	NCI	45
cohort_group_counts_v1	rds	excitatory_set1	Female	e33	AD	37
cohort_group_counts_v1	rds	excitatory_set1	Female	e4	NCI	11
cohort_group_counts_v1	rds	excitatory_set1	Female	e4	AD	26
cohort_group_counts_v1	rds	excitatory_set1	Male	e2	NCI	6
cohort_group_counts_v1	rds	excitatory_set1	Male	e2	AD	7
cohort_group_counts_v1	rds	excitatory_set1	Male	e33	NCI	53
cohort_group_counts_v1	rds	excitatory_set1	Male	e33	AD	29
cohort_group_counts_v1	rds	excitatory_set1	Male	e4	NCI	10
cohort_group_counts_v1	rds	excitatory_set1	Male	e4	AD	27
cohort_group_counts_v1	rds	excitatory_set2	Female	e2	NCI	17
cohort_group_counts_v1	rds	excitatory_set2	Female	e2	AD	8
cohort_group_counts_v1	rds	excitatory_set2	Female	e33	NCI	45
cohort_group_counts_v1	rds	excitatory_set2	Female	e33	AD	37
cohort_group_counts_v1	rds	excitatory_set2	Female	e4	NCI	11
cohort_group_counts_v1	rds	excitatory_set2	Female	e4	AD	26
cohort_group_counts_v1	rds	excitatory_set2	Male	e2	NCI	6
cohort_group_counts_v1	rds	excitatory_set2	Male	e2	AD	7
cohort_group_counts_v1	rds	excitatory_set2	Male	e33	NCI	53
cohort_group_counts_v1	rds	excitatory_set2	Male	e33	AD	28
cohort_group_counts_v1	rds	excitatory_set2	Male	e4	NCI	10
cohort_group_counts_v1	rds	excitatory_set2	Male	e4	AD	27
cohort_group_counts_v1	rds	excitatory_set3	Female	e2	NCI	17
cohort_group_counts_v1	rds	excitatory_set3	Female	e2	AD	8
cohort_group_counts_v1	rds	excitatory_set3	Female	e33	NCI	45
cohort_group_counts_v1	rds	excitatory_set3	Female	e33	AD	37
cohort_group_counts_v1	rds	excitatory_set3	Female	e4	NCI	11
cohort_group_counts_v1	rds	excitatory_set3	Female	e4	AD	26
cohort_group_counts_v1	rds	excitatory_set3	Male	e2	NCI	6
cohort_group_counts_v1	rds	excitatory_set3	Male	e2	AD	7
cohort_group_counts_v1	rds	excitatory_set3	Male	e33	NCI	53
cohort_group_counts_v1	rds	excitatory_set3	Male	e33	AD	28
cohort_group_counts_v1	rds	excitatory_set3	Male	e4	NCI	10
cohort_group_counts_v1	rds	excitatory_set3	Male	e4	AD	27
cohort_group_counts_v1	rds	immune	Female	e2	NCI	17
cohort_group_counts_v1	rds	immune	Female	e2	AD	8
cohort_group_counts_v1	rds	immune	Female	e33	NCI	45
cohort_group_counts_v1	rds	immune	Female	e33	AD	37
cohort_group_counts_v1	rds	immune	Female	e4	NCI	11
cohort_group_counts_v1	rds	immune	Female	e4	AD	26
cohort_group_counts_v1	rds	immune	Male	e2	NCI	6
cohort_group_counts_v1	rds	immune	Male	e2	AD	7
cohort_group_counts_v1	rds	immune	Male	e33	NCI	53
cohort_group_counts_v1	rds	immune	Male	e33	AD	29
cohort_group_counts_v1	rds	immune	Male	e4	NCI	10
cohort_group_counts_v1	rds	immune	Male	e4	AD	27
cohort_group_counts_v1	rds	inhibitory	Female	e2	NCI	17
cohort_group_counts_v1	rds	inhibitory	Female	e2	AD	8
cohort_group_counts_v1	rds	inhibitory	Female	e33	NCI	45
cohort_group_counts_v1	rds	inhibitory	Female	e33	AD	37
cohort_group_counts_v1	rds	inhibitory	Female	e4	NCI	11
cohort_group_counts_v1	rds	inhibitory	Female	e4	AD	26
cohort_group_counts_v1	rds	inhibitory	Male	e2	NCI	6
cohort_group_counts_v1	rds	inhibitory	Male	e2	AD	7
cohort_group_counts_v1	rds	inhibitory	Male	e33	NCI	53
cohort_group_counts_v1	rds	inhibitory	Male	e33	AD	28
cohort_group_counts_v1	rds	inhibitory	Male	e4	NCI	10
cohort_group_counts_v1	rds	inhibitory	Male	e4	AD	27
cohort_group_counts_v1	rds	oligodendrocytes	Female	e2	NCI	17
cohort_group_counts_v1	rds	oligodendrocytes	Female	e2	AD	8
cohort_group_counts_v1	rds	oligodendrocytes	Female	e33	NCI	45
cohort_group_counts_v1	rds	oligodendrocytes	Female	e33	AD	37
cohort_group_counts_v1	rds	oligodendrocytes	Female	e4	NCI	11
cohort_group_counts_v1	rds	oligodendrocytes	Female	e4	AD	26
cohort_group_counts_v1	rds	oligodendrocytes	Male	e2	NCI	6
cohort_group_counts_v1	rds	oligodendrocytes	Male	e2	AD	7
cohort_group_counts_v1	rds	oligodendrocytes	Male	e33	NCI	53
cohort_group_counts_v1	rds	oligodendrocytes	Male	e33	AD	29
cohort_group_counts_v1	rds	oligodendrocytes	Male	e4	NCI	10
cohort_group_counts_v1	rds	oligodendrocytes	Male	e4	AD	27
cohort_group_counts_v1	rds	opcs	Female	e2	NCI	17
cohort_group_counts_v1	rds	opcs	Female	e2	AD	8
cohort_group_counts_v1	rds	opcs	Female	e33	NCI	45
cohort_group_counts_v1	rds	opcs	Female	e33	AD	37
cohort_group_counts_v1	rds	opcs	Female	e4	NCI	11
cohort_group_counts_v1	rds	opcs	Female	e4	AD	26
cohort_group_counts_v1	rds	opcs	Male	e2	NCI	6
cohort_group_counts_v1	rds	opcs	Male	e2	AD	7
cohort_group_counts_v1	rds	opcs	Male	e33	NCI	53
cohort_group_counts_v1	rds	opcs	Male	e33	AD	29
cohort_group_counts_v1	rds	opcs	Male	e4	NCI	10
cohort_group_counts_v1	rds	opcs	Male	e4	AD	27
cohort_group_counts_v1	rds	vasculature	Female	e2	NCI	17
cohort_group_counts_v1	rds	vasculature	Female	e2	AD	8
cohort_group_counts_v1	rds	vasculature	Female	e33	NCI	45
cohort_group_counts_v1	rds	vasculature	Female	e33	AD	36
cohort_group_counts_v1	rds	vasculature	Female	e4	NCI	11
cohort_group_counts_v1	rds	vasculature	Female	e4	AD	26
cohort_group_counts_v1	rds	vasculature	Male	e2	NCI	6
cohort_group_counts_v1	rds	vasculature	Male	e2	AD	7
cohort_group_counts_v1	rds	vasculature	Male	e33	NCI	52
cohort_group_counts_v1	rds	vasculature	Male	e33	AD	29
cohort_group_counts_v1	rds	vasculature	Male	e4	NCI	10
cohort_group_counts_v1	rds	vasculature	Male	e4	AD	27
