node_order	source_symbol
0	LINC01409
1	LINC00115
2	FAM41C
3	KLHL17
4	HES4
5	ISG15
6	AGRN
7	C1orf159
8	SDF4
9	B3GALT6
10	LINC01786
11	SCNN1D
12	ACAP3
13	PUSL1
14	INTS11
15	CPTP
16	DVL1
17	AURKAIP1
18	MRPL20-AS1
19	MRPL20
20	ANKRD65
21	VWA1
22	ATAD3C
23	ATAD3B
24	TMEM240
25	SSU72
26	FNDC10
27	MIB2
28	MMP23B
29	CDK11B
30	CDK11A
31	SLC35E2A
32	CFAP74
33	GABRD
34	FAAP20
35	MORN1
36	PEX10
37	PANK4
38	TNFRSF14
39	PRXL2B
40	TTC34
41	PRDM16
42	MEGF6
43	TPRG1L
44	WRAP73
45	LRRC47
46	C1orf174
47	LINC01134
48	CHD5
49	RPL22
50	RNF207
51	ICMT
52	GPR153
53	TNFRSF25
54	PLEKHG5
55	ZBTB48
56	KLHL21
57	PHF13
58	CAMTA1-DT
59	AL512330.1
60	PARK7
61	SLC45A1
62	RERE-AS1
63	ENO1
64	SLC2A5
65	GPR157
66	MIR34AHG
67	LNCTAM34A
68	H6PD
69	SPSB1
70	PIK3CD
71	NMNAT1
72	CORT
73	DFFA
74	CASZ1
75	MASP2
76	SRM
77	ANGPTL7
78	DISP3
79	FBXO2
80	FBXO44
81	FBXO6
82	MAD2L2
83	DRAXIN
84	C1orf167
85	KIAA2013
86	PLOD1
87	MIIP
88	DHRS3
89	LRRC38
90	PDPN
91	KAZN-AS1
92	TMEM51-AS1
93	TMEM51
94	FHAD1
95	EFHD2
96	CELA2B
97	AGMAT
98	SLC25A34
99	FBLIM1
100	UQCRHL
101	FAM131C
102	FBXO42
103	SPATA21
104	NECAP2
105	LINC01772
106	NBPF1
107	CROCC
108	PADI2
109	RCC2
110	IGSF21
111	PAX7
112	ALDH4A1
113	EMC1-AS1
114	MRTO4
115	AKR7A3
116	SLC66A1
117	MICOS10
118	NBL1
119	HTR6
120	TMCO4
121	VWA5B1
122	LINC01141
123	CAMK2N1
124	MUL1
125	FAM43B
126	PINK1
127	PINK1-AS
128	DDOST
129	KIF17
130	SH2D5
131	ECE1
132	HSPG2
133	LINC00339
134	CDC42-AS1
135	CDC42-IT1
136	WNT4
137	ZBTB40
138	EPHA8
139	C1QB
140	EPHB2
141	TEX46
142	LINC01355
143	ZNF436
144	ZNF436-AS1
145	TCEA3
146	ASAP3
147	RPL11
148	ELOA-AS1
149	PITHD1
150	LYPLA2
151	GALE
152	HMGCL
153	PNRC2
154	IFNLR1
155	STPG1
156	RCAN3
157	CLIC4
158	SYF2
159	RHD
160	RHCE
161	LDLRAP1
162	AUNIP
163	PAQR7
164	STMN1
165	PAFAH2
166	EXTL1
167	FAM110D
168	ZNF593
169	CNKSR1
170	SH3BGRL3
171	UBXN11
172	DHDDS
173	HMGN2
174	RPS6KA1
175	PIGV
176	GPATCH3
177	NUDC
178	SYTL1
179	MAP3K6
180	GPR3
181	IFI6
182	THEMIS2
183	XKR8
184	PTAFR
185	ATP5IF1
186	SESN2
187	MED18
188	RCC1
189	SNHG3
190	SNHG12
191	LINC01715
192	GMEB1
193	OPRD1
194	EPB41
195	SRSF4
196	MECR
197	PTPRU
198	LAPTM5
199	SDC3
200	NKAIN1
201	FABP3
202	PEF1
203	COL16A1
204	ADGRB2
205	PTP4A2
206	CCDC28B
207	IQCC
208	DCDC2B
209	EIF3I
210	MARCKSL1
211	TSSK3
212	FAM229A
213	ZBTB8B
214	ZBTB8A
215	SYNC
216	FNDC5
217	HPCA
218	TMEM54
219	AK2
220	ZSCAN20
221	CSMD2
222	CSMD2-AS1
223	C1orf94
224	SMIM12
225	TMEM35B
226	ZMYM1
227	ZMYM4-AS1
228	NCDN
229	TFAP2E
230	C1orf216
231	CLSPN
232	MAP7D1
233	LSM10
