schema_version	network	gene	included_reason	directed_depth_from_apoe	upstream_depth_to_apoe	is_direct_incoming_neighbor	is_direct_outgoing_neighbor	supporting_neighborhood_occurrence_count	supporting_neighborhood_occurrence_fraction	query_hit_occurrence_count	query_hit_occurrence_fraction	query_hit_display_threshold_count	query_hit_display_threshold_fraction	is_query_hit_meeting_display_threshold	is_core_mitocarta	hgnc_name	phase08_deg_class	phase08_up_count	phase08_down_count	in_degree_full	out_degree_full	in_degree_display	out_degree_display	layout_x	layout_y
phase18_apoe_astrocyte_consensus_v1	Astrocytes	AGT	query_hit_meeting_display_threshold	2.0		False	False	3	0.75	3	0.75	1	0.25	True	True	angiotensinogen	mixed	2	3	1	1	1	0	4.186639741402961	-2.823924162527272
phase18_apoe_astrocyte_consensus_v1	Astrocytes	APOE	driver	0.0		False	False	4	1.0	0	0.0	1	0.25	False	False	apolipoprotein E	mixed	5	4	2	11	2	11	0.0	0.0
phase18_apoe_astrocyte_consensus_v1	Astrocytes	ATP5F1A	query_hit_meeting_display_threshold	2.0		False	False	3	0.75	1	0.25	1	0.25	True	True	ATP synthase F1 subunit alpha	down_only	0	1	1	0	1	0	4.186639741402961	2.823924162527272
phase18_apoe_astrocyte_consensus_v1	Astrocytes	ATP5PB	all_direct_outgoing|query_hit_meeting_display_threshold	1.0		False	True	4	1.0	2	0.5	1	0.25	True	True	ATP synthase peripheral stalk-membrane subunit b	down_only	0	3	1	1	1	0	3.15	0.0
phase18_apoe_astrocyte_consensus_v1	Astrocytes	C1orf56	all_direct_outgoing	1.0		False	True	0	0.0	0	0.0	1	0.25	False	False	chromosome 1 open reading frame 56	not_deg	0	0	1	2	1	0	0.1099334146128784	-3.1480811051101516
phase18_apoe_astrocyte_consensus_v1	Astrocytes	CHCHD10	all_direct_outgoing|query_hit_meeting_display_threshold	1.0		False	True	4	1.0	1	0.25	1	0.25	True	True	coiled-coil-helix-coiled-coil-helix domain containing 10	up_only	2	0	1	2	1	0	3.0123599812835615	0.9209708698766208
phase18_apoe_astrocyte_consensus_v1	Astrocytes	CKB	upstream_context|all_direct_incoming		1.0	True	False	0	0.0	0	0.0	1	0.25	False	False	creatine kinase B	up_only	2	0	1	14	1	1	-2.45	1.22
phase18_apoe_astrocyte_consensus_v1	Astrocytes	CST3	all_direct_outgoing|shortest_path_connector	1.0		False	True	4	1.0	0	0.0	1	0.25	False	False	cystatin C	mixed	4	4	1	6	1	1	2.6114683535483816	-1.7614576459328528
phase18_apoe_astrocyte_consensus_v1	Astrocytes	DNASE2	all_direct_outgoing	1.0		False	True	0	0.0	0	0.0	1	0.25	False	False	deoxyribonuclease 2, lysosomal	not_deg	0	0	1	0	1	0	1.0773634514758568	-2.9600317554756113
phase18_apoe_astrocyte_consensus_v1	Astrocytes	GPX4	upstream_context		2.0	False	False	0	0.0	0	0.0	1	0.25	False	True	glutathione peroxidase 4	mixed	1	2	1	6	0	1	-4.45	1.78
phase18_apoe_astrocyte_consensus_v1	Astrocytes	HLA-A	all_direct_outgoing	1.0		False	True	4	1.0	0	0.0	1	0.25	False	False	major histocompatibility complex, class I, A	mixed	2	3	1	0	1	0	1.9393336472758236	-2.4822338738611744
phase18_apoe_astrocyte_consensus_v1	Astrocytes	ITM2B	upstream_context		2.0	False	False	0	0.0	0	0.0	1	0.25	False	False	integral membrane protein 2B	mixed	2	3	0	14	0	1	-4.45	-1.78
phase18_apoe_astrocyte_consensus_v1	Astrocytes	LAPTM4A	upstream_context|all_direct_incoming		1.0	True	False	0	0.0	0	0.0	1	0.25	False	False	lysosomal protein transmembrane 4 alpha	mixed	2	3	1	13	1	1	-2.45	-1.22
phase18_apoe_astrocyte_consensus_v1	Astrocytes	LDHB	all_direct_outgoing|query_hit_meeting_display_threshold	1.0		False	True	4	1.0	3	0.75	1	0.25	True	True	lactate dehydrogenase B	mixed	1	2	1	5	1	1	2.6114683535483816	1.7614576459328528
phase18_apoe_astrocyte_consensus_v1	Astrocytes	NME3	query_hit_meeting_display_threshold	2.0		False	False	3	0.75	1	0.25	1	0.25	True	True	NME/NM23 nucleoside diphosphate kinase 3	down_only	0	2	1	7	1	0	0.17624245834763044	5.046923676446434
phase18_apoe_astrocyte_consensus_v1	Astrocytes	PLTP	all_direct_outgoing	1.0		False	True	4	1.0	0	0.0	1	0.25	False	False	phospholipid transfer protein	up_only	4	0	1	0	1	0	3.0123599812835615	-0.9209708698766208
phase18_apoe_astrocyte_consensus_v1	Astrocytes	TEX264	all_direct_outgoing	1.0		False	True	2	0.5	0	0.0	1	0.25	False	False	testis expressed 264, ER-phagy receptor	not_deg	0	0	1	0	1	0	1.9393336472758236	2.4822338738611744
phase18_apoe_astrocyte_consensus_v1	Astrocytes	TRAPPC4	all_direct_outgoing	1.0		False	True	0	0.0	0	0.0	1	0.25	False	False	trafficking protein particle complex subunit 4	not_deg	0	0	1	0	1	0	1.0773634514758568	2.9600317554756113
phase18_apoe_astrocyte_consensus_v1	Astrocytes	TUFM	all_direct_outgoing|query_hit_meeting_display_threshold	1.0		False	True	4	1.0	4	1.0	1	0.25	True	True	Tu translation elongation factor, mitochondrial	mixed	2	3	1	5	1	1	0.1099334146128784	3.1480811051101516
