schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	contrast_name	cells_ad	cells_nci	donors_ad	donors_nci	tested_genes	latent_vars	min_pct	logfc_threshold	spearman_logfc_with_pseudobulk	overlap_genes	model_status	message
mast_model_diagnostics_v1	excitatory_set3	127	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_vs_NCI__Female__e2	Exc L5-6 RORB LINC02196	AD_vs_NCI__Female__e2	257	825	7	11	11950	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.832254680813098	11945	fitted	
mast_model_diagnostics_v1	excitatory_set3	128	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_vs_NCI__Female__e33	Exc L5-6 RORB LINC02196	AD_vs_NCI__Female__e33	2346	2637	30	42	11855	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.697415340749321	11855	fitted	
mast_model_diagnostics_v1	excitatory_set3	129	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_vs_NCI__Female__e4	Exc L5-6 RORB LINC02196	AD_vs_NCI__Female__e4	1178	683	21	11	12199	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.768042696330013	12196	fitted	
mast_model_diagnostics_v1	excitatory_set3	131	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_vs_NCI__Male__e33	Exc L5-6 RORB LINC02196	AD_vs_NCI__Male__e33	1487	3254	24	46	11521	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.706436746258589	11521	fitted	
mast_model_diagnostics_v1	excitatory_set3	132	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_vs_NCI__Male__e4	Exc L5-6 RORB LINC02196	AD_vs_NCI__Male__e4	1259	457	24	7	11585	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.811141178695107	11585	fitted	
mast_model_diagnostics_v1	excitatory_set3	141	excitatory_set3::Exc.L5.6.IT.Car3::AD_vs_NCI__Female__e2	Exc L5/6 IT Car3	AD_vs_NCI__Female__e2	141	664	5	13	12656	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.844703616089212	12638	fitted	
mast_model_diagnostics_v1	excitatory_set3	142	excitatory_set3::Exc.L5.6.IT.Car3::AD_vs_NCI__Female__e33	Exc L5/6 IT Car3	AD_vs_NCI__Female__e33	1889	1920	29	36	12230	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.791236191907562	12230	fitted	
mast_model_diagnostics_v1	excitatory_set3	143	excitatory_set3::Exc.L5.6.IT.Car3::AD_vs_NCI__Female__e4	Exc L5/6 IT Car3	AD_vs_NCI__Female__e4	1048	549	20	10	12546	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.719523710985053	12540	fitted	
mast_model_diagnostics_v1	excitatory_set3	145	excitatory_set3::Exc.L5.6.IT.Car3::AD_vs_NCI__Male__e33	Exc L5/6 IT Car3	AD_vs_NCI__Male__e33	1299	2399	21	39	11688	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.605831189059781	11688	fitted	
mast_model_diagnostics_v1	excitatory_set3	146	excitatory_set3::Exc.L5.6.IT.Car3::AD_vs_NCI__Male__e4	Exc L5/6 IT Car3	AD_vs_NCI__Male__e4	1080	398	22	7	12258	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.809277915178583	12257	fitted	
mast_model_diagnostics_v1	excitatory_set3	155	excitatory_set3::Exc.L5.6.NP::AD_vs_NCI__Female__e2	Exc L5/6 NP	AD_vs_NCI__Female__e2	189	562	6	10	11354	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.753460565284921	11316	fitted	
mast_model_diagnostics_v1	excitatory_set3	156	excitatory_set3::Exc.L5.6.NP::AD_vs_NCI__Female__e33	Exc L5/6 NP	AD_vs_NCI__Female__e33	1679	1997	28	39	11003	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.77490375845077	11003	fitted	
