schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	contrast_family	contrast_name	paper_matched	eligibility_status	terminal_status	genes_returned	cells_ad	cells_nci	donors_ad	donors_nci	message
mast_contrast_status_v1	opcs	673	opcs::OPC::AD_vs_NCI__Female__e2	OPC	AD_vs_NCI	AD_vs_NCI__Female__e2	TRUE	eligible	validated_complete	8808	1325	3716	8	15	
mast_contrast_status_v1	opcs	674	opcs::OPC::AD_vs_NCI__Female__e33	OPC	AD_vs_NCI	AD_vs_NCI__Female__e33	TRUE	eligible	validated_complete	8084	8923	10650	37	45	
mast_contrast_status_v1	opcs	675	opcs::OPC::AD_vs_NCI__Female__e4	OPC	AD_vs_NCI	AD_vs_NCI__Female__e4	TRUE	eligible	validated_complete	8624	5225	2760	24	11	
mast_contrast_status_v1	opcs	676	opcs::OPC::AD_vs_NCI__Male__e2	OPC	AD_vs_NCI	AD_vs_NCI__Male__e2	TRUE	eligible	validated_complete	7648	1320	1391	7	5	
mast_contrast_status_v1	opcs	677	opcs::OPC::AD_vs_NCI__Male__e33	OPC	AD_vs_NCI	AD_vs_NCI__Male__e33	TRUE	eligible	validated_complete	7652	4871	14431	28	53	
mast_contrast_status_v1	opcs	678	opcs::OPC::AD_vs_NCI__Male__e4	OPC	AD_vs_NCI	AD_vs_NCI__Male__e4	TRUE	eligible	validated_complete	7906	5095	2083	25	10	
mast_contrast_status_v1	opcs	679	opcs::OPC::AD_effect_Female_minus_Male__e2	OPC	sex_interaction	AD_effect_Female_minus_Male__e2	FALSE	eligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	opcs	680	opcs::OPC::AD_effect_Female_minus_Male__e33	OPC	sex_interaction	AD_effect_Female_minus_Male__e33	FALSE	eligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	opcs	681	opcs::OPC::AD_effect_Female_minus_Male__e4	OPC	sex_interaction	AD_effect_Female_minus_Male__e4	FALSE	eligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	opcs	682	opcs::OPC::AD_effect_e2_minus_e33__Female	OPC	apoe_interaction	AD_effect_e2_minus_e33__Female	FALSE	eligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	opcs	683	opcs::OPC::AD_effect_e4_minus_e33__Female	OPC	apoe_interaction	AD_effect_e4_minus_e33__Female	FALSE	eligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	opcs	684	opcs::OPC::AD_effect_e2_minus_e33__Male	OPC	apoe_interaction	AD_effect_e2_minus_e33__Male	FALSE	eligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	opcs	685	opcs::OPC::AD_effect_e4_minus_e33__Male	OPC	apoe_interaction	AD_effect_e4_minus_e33__Male	FALSE	eligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	opcs	686	opcs::OPC::AD_effect_heterogeneity_across_sex_APOE	OPC	global_heterogeneity	AD_effect_heterogeneity_across_sex_APOE	FALSE	eligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
