schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_family	contrast_name	analysis_population	manifest_modeling_status	terminal_status	genes_returned	paper_degs	cells_ad	cells_nci	donors_ad	donors_nci	message
yu_mast_contrast_status_v2	immune	1	immune::CAMs::AD_vs_NCI__Female__e2	CAMs	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	4213	0	23	85	6	12	
yu_mast_contrast_status_v2	immune	2	immune::CAMs::AD_vs_NCI__Female__e33	CAMs	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	4381	1	185	255	29	38	
yu_mast_contrast_status_v2	immune	3	immune::CAMs::AD_vs_NCI__Female__e4	CAMs	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	4232	2	139	65	24	11	
yu_mast_contrast_status_v2	immune	4	immune::CAMs::AD_vs_NCI__Male__e2	CAMs	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	not_estimable	not_estimable	0	0	45	1	5	1	seurat_min_cells_group_not_met:min_cells_group=3,arms=NCI(1)
yu_mast_contrast_status_v2	immune	5	immune::CAMs::AD_vs_NCI__Male__e33	CAMs	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	4037	13	119	397	24	50	
yu_mast_contrast_status_v2	immune	6	immune::CAMs::AD_vs_NCI__Male__e4	CAMs	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	4492	0	137	65	22	9	
yu_mast_contrast_status_v2	immune	7	immune::Mic MKI67::AD_vs_NCI__Female__e2	Mic MKI67	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	9155	0	16	8	5	3	
yu_mast_contrast_status_v2	immune	8	immune::Mic MKI67::AD_vs_NCI__Female__e33	Mic MKI67	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	8126	7	62	120	13	23	
yu_mast_contrast_status_v2	immune	9	immune::Mic MKI67::AD_vs_NCI__Female__e4	Mic MKI67	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	7665	9	54	45	8	8	
yu_mast_contrast_status_v2	immune	10	immune::Mic MKI67::AD_vs_NCI__Male__e2	Mic MKI67	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	not_estimable	not_estimable	0	0	2	9	2	3	seurat_min_cells_group_not_met:min_cells_group=3,arms=AD(2)
yu_mast_contrast_status_v2	immune	11	immune::Mic MKI67::AD_vs_NCI__Male__e33	Mic MKI67	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	6878	1	52	120	12	20	
yu_mast_contrast_status_v2	immune	12	immune::Mic MKI67::AD_vs_NCI__Male__e4	Mic MKI67	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	8404	0	29	7	9	4	
yu_mast_contrast_status_v2	immune	13	immune::Mic P2RY12::AD_vs_NCI__Female__e2	Mic P2RY12	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	4654	398	1012	2370	8	17	
yu_mast_contrast_status_v2	immune	14	immune::Mic P2RY12::AD_vs_NCI__Female__e33	Mic P2RY12	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	5145	97	6469	8698	37	45	
yu_mast_contrast_status_v2	immune	15	immune::Mic P2RY12::AD_vs_NCI__Female__e4	Mic P2RY12	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	5385	316	5261	2621	26	11	
yu_mast_contrast_status_v2	immune	16	immune::Mic P2RY12::AD_vs_NCI__Male__e2	Mic P2RY12	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	4337	1405	1175	390	7	6	
